complex,in_posebusters_v2
5S8I_2LY,0
5SAK_ZRY,1
5SD5_HWI,1
5SIS_JSM,1
6T88_MWQ,1
6TW5_9M2,1
6VTA_AKN,1
6XAF_GDP,0
6XG5_TOP,1
6XUM_30L,0
6Y7L_QMG,0
6YDY_K73,0
6YRV_PJ8,1
6YSP_PAL,1
6YT6_PKE,1
6Z0R_Q4H,1
6Z14_Q4Z,1
6Z5Z_BDF,0
6ZCY_QF8,1
6ZPB_3D1,1
7A1P_QW2,1
7AMC_73B,0
7AVI_S2Q,0
7BJ6_TVK,0
7BLG_GAL,0
7BNH_BEZ,1
7C8Q_DSG,1
7CIJ_G0C,1
7CNQ_G8X,1
7CUO_PHB,1
7D8Q_GZF,0
7E4L_MDN,1
7ECR_SIN,1
7ED2_A3P,1
7EN7_J79,0
7EPV_FDA,1
7F5D_EUO,1
7F8T_FAD,1
7FB7_8NF,1
7FRX_O88,1
7FT9_4MB,1
7JG0_GAR,1
7JGW_V9S,0
7JHQ_VAJ,1
7JMV_4NC,1
7K0V_VQP,1
7K41_VUA,0
7KFO_IAC,0
7KQU_YOF,1
7KRU_ATP,1
7L00_XCJ,1
7L5F_XNG,1
7L6D_BMF,0
7LB3_XXS,0
7LEV_0JO,1
7LJN_GTP,1
7LOE_Y84,1
7LOU_IFM,1
7LZQ_YJV,0
7M3H_YPV,1
7M6K_YRJ,1
7MFP_Z7P,1
7MMH_ZJY,1
7MRH_ZMJ,0
7MS7_ZQ1,0
7MYU_ZR7,1
7N7H_CTP,1
7NA4_1I9,0
7NF3_4LU,1
7NFB_GEN,1
7NLK_UHK,0
7NLV_UJE,1
7NML_I7B,0
7NPL_UKZ,1
7NR6_UO8,0
7NR8_UOE,1
7NTG_F6R,0
7NU0_DCL,1
7NXO_UU8,1
7O1T_5X8,1
7OCB_V88,0
7ODX_DGP,0
7OEO_V9Z,1
7OFF_VCB,1
7OFK_VCH,1
7OLI_8HG,1
7OMX_CNA,1
7OPG_06N,1
7ORW_7WA,0
7OSO_0V1,1
7OZ9_NGK,1
7OZC_G6S,1
7P1M_4IU,1
7P2I_MFU,1
7P2W_4QR,0
7P5T_5YG,1
7P85_5ZG,0
7PA4_C,0
7PIH_7QW,1
7Q19_DSM,0
7Q2B_M6H,1
7Q5I_I0F,1
7QE4_NGA,1
7QF4_RBF,1
7QHL_D5P,1
7QK0_EBL,0
7R3D_APR,1
7R7R_AWJ,1
7RC3_SAH,1
7REE_4LY,0
7RH3_59O,1
7RKW_5TV,1
7RSV_7IQ,1
7RUI_7QZ,0
7RWO_7WN,0
7RWS_4UR,1
7RZL_NPO,1
7SCW_GSP,1
7SED_8VD,0
7SNE_9XR,0
7SZA_DUI,1
7T0D_FPP,1
7T1D_E7K,1
7T9O_GEI,0
7TB0_UD1,1
7TH4_FFO,1
7THI_PGA,1
7TOM_5AD,1
7TS6_KMI,1
7TSF_H4B,1
7TUO_KL9,1
7TWC_CXS,0
7TXK_LW8,1
7U0U_FK5,1
7U3J_L6U,1
7UAS_MBU,1
7UAW_MF6,1
7UEY_N0R,0
7UF2_5SP,0
7UJ5_DGL,1
7USH_82V,1
7UTW_NAI,1
7UY4_SMI,1
7V14_ORU,1
7VB8_STL,1
7VBU_6I4,1
7VJT_7IJ,0
7VKZ_NOJ,1
7VWF_K55,1
7W05_GMP,1
7W06_ITN,1
7W6F_8I6,0
7WCF_ACP,1
7WKL_CAQ,1
7WL4_JFU,1
7WPW_F15,1
7WQQ_5Z6,1
7WUX_6OI,1
7WUY_76N,1
7X5N_5M5,1
7X9K_8OG,1
7XBV_APC,1
7XEK_9YX,0
7XFA_D9J,1
7XIJ_EJ3,0
7XQZ_FPF,1
7XRL_FWK,1
7YZU_DO7,1
7Z1Q_NIO,1
7Z2O_IAJ,1
7Z7F_IF3,1
7ZCC_OGA,1
7ZDY_6MJ,1
7ZHP_IQY,1
7ZL5_IWE,1
7ZTL_BCN,1
7ZZW_KKW,1
8A2D_KXY,1
8AEM_LVF,1
8AEU_M0L,0
8AIE_M7L,1
8AIJ_M9I,0
8AJX_FUM,0
8AP0_PRP,1
8AUH_L9I,1
8AY3_OE3,1
8BRO_R7E,0
8C5D_GTB,0
8C5M_MTA,1
8C7Y_TXV,0
8CGC_LMR,0
8CSD_C5P,1
8D39_QDB,1
8D5D_5DK,1
8DHG_T78,1
8DP2_UMA,1
8DZT_G4P,0
8EAB_VN2,1
8EAD_UY0,0
8ERS_WQO,0
8EX2_Q2Q,1
8EYE_X4I,1
8F8E_XJI,1
8FO5_Y4U,1
8FV9_80J,0
8HFN_XGC,1
8HO0_3ZI,1
8SLG_G5A,1
