satz,zelle,K,u_alle,k_alle,valid,u_pb,k_pb,leer
pb308,"SigmaDock, 25 Schritte",40,31.618892508143322,6.47557003257329,14.501628664495113,10.250814332247558,6.37785016286645,26
pb308,"SigmaFlow-Minimal, 25 Schritte",40,37.75244299674267,5.804560260586319,10.938110749185668,9.44299674267101,5.785016286644951,32
pb308,"SigmaFlow-Separate, 25 Schritte",40,37.0,6.289902280130293,11.589576547231271,9.625407166123779,6.257328990228013,35
pb308,"SigmaFlow-Minimal, 5 Schritte",200,178.45602605863192,19.123778501628664,41.78175895765472,30.41368078175896,18.742671009771986,23
pb308,"SigmaFlow-Separate, 5 Schritte",200,173.3355048859935,20.622149837133552,44.44625407166124,30.57328990228013,20.117263843648207,29
astex,"SigmaDock, 25 Schritte",40,27.08235294117647,8.68235294117647,19.729411764705883,11.717647058823529,8.552941176470588,4
astex,"SigmaFlow-Minimal, 25 Schritte",40,36.43529411764706,9.376470588235295,15.16470588235294,12.741176470588234,9.352941176470589,3
astex,"SigmaFlow-Separate, 25 Schritte",40,35.48235294117647,9.952941176470588,16.32941176470588,13.188235294117646,9.941176470588236,1
astex,"SigmaFlow-Minimal, 5 Schritte",200,168.9764705882353,31.49411764705882,61.01176470588236,42.23529411764706,30.764705882352942,1
astex,"SigmaFlow-Separate, 5 Schritte",200,161.27058823529413,33.03529411764706,65.55294117647058,41.96470588235294,32.03529411764706,0
