satz,arm,nfe,K,ziel,regel,mean,count,prozent
PB308,SigmaDock,25,1,acc,mixed,0.5053078175895768,307,50.53078175895768
PB308,SigmaDock,25,2,acc,mixed,0.5753169381107491,307,57.531693811074916
PB308,SigmaDock,25,3,acc,mixed,0.6092368078175894,307,60.92368078175894
PB308,SigmaDock,25,4,acc,mixed,0.6305273615635182,307,63.05273615635182
PB308,SigmaDock,25,5,acc,mixed,0.6454876221498366,307,64.54876221498365
PB308,SigmaDock,25,6,acc,mixed,0.6566032573289905,307,65.66032573289905
PB308,SigmaDock,25,7,acc,mixed,0.6651618892508141,307,66.51618892508141
PB308,SigmaDock,25,8,acc,mixed,0.6719306188925086,307,67.19306188925086
PB308,SigmaDock,25,9,acc,mixed,0.6774374592833877,307,67.74374592833877
PB308,SigmaDock,25,10,acc,mixed,0.6817381107491856,307,68.17381107491856
PB308,SigmaDock,25,11,acc,mixed,0.685371335504886,307,68.5371335504886
PB308,SigmaDock,25,12,acc,mixed,0.6883501628664493,307,68.83501628664493
PB308,SigmaDock,25,13,acc,mixed,0.6908293159609122,307,69.08293159609123
PB308,SigmaDock,25,14,acc,mixed,0.6930091205211726,307,69.30091205211725
PB308,SigmaDock,25,15,acc,mixed,0.6947465798045607,307,69.47465798045607
PB308,SigmaDock,25,16,acc,mixed,0.696201628664495,307,69.6201628664495
PB308,SigmaDock,25,17,acc,mixed,0.6974902280130295,307,69.74902280130296
PB308,SigmaDock,25,18,acc,mixed,0.6985671009771981,307,69.85671009771981
PB308,SigmaDock,25,19,acc,mixed,0.6995169381107488,307,69.95169381107488
PB308,SigmaDock,25,20,acc,mixed,0.7004068403908795,307,70.04068403908795
PB308,SigmaDock,25,21,acc,mixed,0.701078827361563,307,70.1078827361563
PB308,SigmaDock,25,22,acc,mixed,0.701782410423453,307,70.1782410423453
PB308,SigmaDock,25,23,acc,mixed,0.7022801302931596,307,70.22801302931596
PB308,SigmaDock,25,24,acc,mixed,0.7026410423452772,307,70.26410423452772
PB308,SigmaDock,25,25,acc,mixed,0.7029771986970685,307,70.29771986970685
PB308,SigmaDock,25,26,acc,mixed,0.703275895765472,307,70.3275895765472
PB308,SigmaDock,25,27,acc,mixed,0.7033889250814332,307,70.33889250814333
PB308,SigmaDock,25,28,acc,mixed,0.7035364820846906,307,70.35364820846905
PB308,SigmaDock,25,29,acc,mixed,0.7035853420195439,307,70.3585342019544
PB308,SigmaDock,25,30,acc,mixed,0.7035407166123776,307,70.35407166123775
PB308,SigmaDock,25,31,acc,mixed,0.7035133550488601,307,70.35133550488601
PB308,SigmaDock,25,32,acc,mixed,0.7033801302931595,307,70.33801302931595
PB308,SigmaDock,25,33,acc,mixed,0.7032169381107493,307,70.32169381107492
PB308,SigmaDock,25,34,acc,mixed,0.7029381107491853,307,70.29381107491854
PB308,SigmaDock,25,35,acc,mixed,0.7026035830618894,307,70.26035830618895
PB308,SigmaDock,25,36,acc,mixed,0.7022889250814331,307,70.22889250814332
PB308,SigmaDock,25,37,acc,mixed,0.7018576547231272,307,70.18576547231272
PB308,SigmaDock,25,38,acc,mixed,0.7013149837133549,307,70.13149837133548
PB308,SigmaDock,25,39,acc,mixed,0.7008798045602607,307,70.08798045602606
PB308,SigmaDock,25,40,acc,mixed,0.7003257328990228,307,70.03257328990227
PB308,SigmaDock,25,1,valid,mixed,0.3614423452768727,307,36.14423452768727
PB308,SigmaDock,25,2,valid,mixed,0.5015736156351794,307,50.157361563517945
PB308,SigmaDock,25,3,valid,mixed,0.5818068403908797,307,58.18068403908797
PB308,SigmaDock,25,4,valid,mixed,0.6344732899022804,307,63.44732899022804
PB308,SigmaDock,25,5,valid,mixed,0.6721508143322473,307,67.21508143322474
PB308,SigmaDock,25,6,valid,mixed,0.7006576547231268,307,70.06576547231268
PB308,SigmaDock,25,7,valid,mixed,0.7231521172638431,307,72.3152117263843
PB308,SigmaDock,25,8,valid,mixed,0.7413758957654721,307,74.13758957654721
PB308,SigmaDock,25,9,valid,mixed,0.7565133550488599,307,75.65133550488599
PB308,SigmaDock,25,10,valid,mixed,0.769353094462541,307,76.9353094462541
PB308,SigmaDock,25,11,valid,mixed,0.7801557003257327,307,78.01557003257327
PB308,SigmaDock,25,12,valid,mixed,0.7895811074918562,307,78.95811074918562
PB308,SigmaDock,25,13,valid,mixed,0.7978947882736157,307,79.78947882736158
PB308,SigmaDock,25,14,valid,mixed,0.8051680781758961,307,80.51680781758961
PB308,SigmaDock,25,15,valid,mixed,0.8117915309446251,307,81.1791530944625
PB308,SigmaDock,25,16,valid,mixed,0.8175925081433223,307,81.75925081433223
PB308,SigmaDock,25,17,valid,mixed,0.8229605863192183,307,82.29605863192184
PB308,SigmaDock,25,18,valid,mixed,0.8278182410423447,307,82.78182410423447
PB308,SigmaDock,25,19,valid,mixed,0.832232899022801,307,83.2232899022801
PB308,SigmaDock,25,20,valid,mixed,0.8362599348534201,307,83.62599348534201
PB308,SigmaDock,25,21,valid,mixed,0.8399201954397396,307,83.99201954397397
PB308,SigmaDock,25,22,valid,mixed,0.8433133550488597,307,84.33133550488597
PB308,SigmaDock,25,23,valid,mixed,0.846428990228013,307,84.6428990228013
PB308,SigmaDock,25,24,valid,mixed,0.849245928338762,307,84.9245928338762
PB308,SigmaDock,25,25,valid,mixed,0.852028990228013,307,85.2028990228013
PB308,SigmaDock,25,26,valid,mixed,0.8545136807817588,307,85.45136807817588
PB308,SigmaDock,25,27,valid,mixed,0.8568306188925079,307,85.6830618892508
PB308,SigmaDock,25,28,valid,mixed,0.8591504885993486,307,85.91504885993486
PB308,SigmaDock,25,29,valid,mixed,0.8612250814332247,307,86.12250814332248
PB308,SigmaDock,25,30,valid,mixed,0.8632429967426712,307,86.32429967426712
PB308,SigmaDock,25,31,valid,mixed,0.8651508143322475,307,86.51508143322475
PB308,SigmaDock,25,32,valid,mixed,0.8669130293159608,307,86.69130293159608
PB308,SigmaDock,25,33,valid,mixed,0.8686022801302928,307,86.86022801302929
PB308,SigmaDock,25,34,valid,mixed,0.8702485342019539,307,87.0248534201954
PB308,SigmaDock,25,35,valid,mixed,0.8718524429967427,307,87.18524429967427
PB308,SigmaDock,25,36,valid,mixed,0.8734472312703577,307,87.34472312703578
PB308,SigmaDock,25,37,valid,mixed,0.8749908794788273,307,87.49908794788273
PB308,SigmaDock,25,38,valid,mixed,0.8765133550488599,307,87.65133550488599
PB308,SigmaDock,25,39,valid,mixed,0.8779895765472314,307,87.79895765472314
PB308,SigmaDock,25,40,valid,mixed,0.8794788273615635,307,87.94788273615634
PB308,SigmaDock,25,1,both,mixed,0.2409827361563517,307,24.098273615635172
PB308,SigmaDock,25,2,both,mixed,0.3490231270358307,307,34.90231270358307
PB308,SigmaDock,25,3,both,mixed,0.4133781758957656,307,41.33781758957656
PB308,SigmaDock,25,4,both,mixed,0.45686970684039074,307,45.686970684039075
PB308,SigmaDock,25,5,both,mixed,0.48845276872964116,307,48.845276872964114
PB308,SigmaDock,25,6,both,mixed,0.5123459283387619,307,51.23459283387619
