complex,n_frag,stabil,n_atome,bemerkung
1G9V_RQ3,5,True,25,
1GKC_NFH,7,True,22,
1GM8_SOX,4,True,24,
1GPK_HUP,1,True,18,
1HNN_SKF,2,True,14,
1HP0_AD3,3,True,19,
1HQ2_PH2,2,True,14,
1HVY_D16,7,True,32,
1HWI_115,6,True,30,
1HWW_SWA,1,True,12,
1IA1_TQ3,2,True,19,
1IG3_VIB,3,True,18,
1J3J_CP6,3,True,17,
1JD0_AZM,3,True,13,
1JJE_BYS,4,True,25,
1JLA_TNK,5,True,27,
1K3U_IAD,4,True,21,
1KE5_LS1,4,True,23,
1KZK_JE2,8,False,41,"schwankt {8: 6, 9: 2}"
1L2S_STC,3,True,19,
1L7F_BCZ,6,True,23,
1LPZ_CMB,5,True,32,
1LRH_NLA,2,True,14,
1M2Z_DEX,3,True,28,
1MEH_MOA,4,True,23,
1MMV_3AR,6,True,15,
1MZC_BNE,5,True,35,
1N1M_A3M,3,True,12,
1N2J_PAF,4,True,10,
1N2V_BDI,2,True,15,
1N46_PFA,4,True,27,
1NAV_IH5,4,True,23,
1OF1_SCT,3,True,18,
1OF6_DTY,3,True,13,
1OPK_P16,4,True,29,
1OQ5_CEL,5,True,26,
1OWE_675,4,True,22,
1OYT_FSN,4,True,30,
1P2Y_NCT,2,True,12,
1P62_GEO,3,True,18,
1PMN_984,6,True,33,
1Q1G_MTI,3,True,20,
1Q41_IXM,1,True,21,
1Q4G_BFL,3,True,17,
1R1H_BIR,7,True,29,
1R55_097,7,True,23,
1R58_AO5,7,True,23,
1R9O_FLP,3,True,18,
1S19_MC9,4,True,30,
1S3V_TQD,6,True,27,
1SG0_STL,3,True,17,
1SJ0_E4D,5,True,33,
1SQ5_PAU,6,True,15,
1SQN_NDR,1,True,22,
1T40_ID5,4,True,28,
1T46_STI,5,True,37,
1T9B_1CS,5,True,23,
1TOW_CRZ,3,True,19,
1TT1_KAI,4,True,15,
1TZ8_DES,4,True,20,
1U1C_BAU,4,True,20,
1U4D_DBQ,1,True,18,
1UML_FR4,7,True,33,
1UNL_RRC,5,True,26,
1UOU_CMU,2,True,16,
1V0P_PVB,6,True,30,
1V48_HA1,4,True,22,
1V4S_MRK,4,True,23,
1VCJ_IBA,7,True,25,
1W1P_GIO,1,True,11,
1W2G_THM,3,True,17,
1X8X_TYR,3,True,13,
1XM6_5RM,4,True,19,
1XOQ_ROF,5,True,26,
1XOZ_CIA,2,True,29,
1Y6B_AAX,7,True,34,
1YGC_905,8,True,38,
1YQY_915,4,True,23,
1YV3_BIT,2,True,22,
1YVF_PH7,5,True,28,
1YWR_LI9,6,True,35,
1Z95_198,6,True,29,
2BM2_PM2,6,True,30,
2BR1_PFP,6,True,29,
2BSM_BSM,6,True,27,
