complex,n_frag,stabil,n_atome,bemerkung
5SAK_ZRY,2,True,18,
5SB2_1K2,5,True,30,
5SD5_HWI,7,True,29,
5SIS_JSM,7,True,32,
6M2B_EZO,5,True,25,
6M73_FNR,5,True,31,
6T88_MWQ,2,True,10,
6TW5_9M2,5,True,31,
6TW7_NZB,5,True,29,
6VTA_AKN,8,True,40,
6WTN_RXT,4,True,23,
6XBO_5MC,3,True,22,
6XCT_478,8,True,35,
6XG5_TOP,5,True,21,
6XHT_V2V,9,True,34,
6XM9_V55,3,True,11,
6YJA_2BA,3,True,44,
6YMS_OZH,9,False,35,"schwankt {9: 4, 10: 3, 11: 1}"
6YQV_8K2,2,True,10,
6YQW_82I,2,True,11,
6YR2_T1C,6,True,42,
6YRV_PJ8,8,False,17,"schwankt {8: 7, 9: 1}"
6YSP_PAL,4,True,16,
6YT6_PKE,4,True,31,
6YYO_Q1K,3,True,19,
6Z0R_Q4H,1,True,9,
6Z14_Q4Z,2,True,18,
6Z1C_7EY,4,True,22,
6Z2C_Q5E,4,True,26,
6Z4N_Q7B,3,True,20,
6ZAE_ACV,8,False,24,"schwankt {8: 5, 9: 3}"
6ZC3_JOR,3,True,15,
6ZCY_QF8,5,True,33,
6ZK5_IMH,3,True,19,
6ZPB_3D1,3,True,18,
7A1P_QW2,4,True,13,
7A9E_R4W,2,True,6,
7A9H_TPP,5,True,26,
7AFX_R9K,3,True,20,
7AKL_RK5,2,True,19,
7AN5_RDH,4,True,15,
7B2C_TP7,7,True,21,
7B94_ANP,5,True,31,
7BCP_GCO,5,True,13,
7BJJ_TVW,1,True,10,
7BKA_4JC,3,True,12,
7BMI_U4B,3,True,13,
7BNH_BEZ,2,True,9,
7BTT_F8R,8,True,40,
7C0U_FGO,6,True,43,
7C3U_AZG,1,True,11,
7C8Q_DSG,2,True,9,
7CD9_FVR,4,True,33,
7CIJ_G0C,5,True,21,
7CL8_TES,1,True,21,
7CNQ_G8X,2,True,9,
7CNS_PMV,4,True,14,
7CTM_BDP,2,True,13,
7CUO_PHB,2,True,10,
7D5C_GV6,6,True,31,
7D6O_MTE,2,True,24,
7DKT_GLF,2,True,12,
7DQL_4CL,1,True,9,
7DUA_HJ0,4,True,23,
7E4L_MDN,2,True,9,
7EBG_J0L,2,True,14,
7ECR_SIN,2,True,8,
7ED2_A3P,4,True,27,
7ELT_TYM,6,True,37,
7EPV_FDA,9,True,53,
7ES1_UDP,4,True,25,
7F51_BA7,8,False,44,"schwankt {8: 7, 9: 1}"
7F5D_EUO,4,True,21,
7F8T_FAD,9,True,53,
7FB7_8NF,1,True,9,
7FHA_ADX,4,True,27,
7FRX_O88,5,True,30,
7FT9_4MB,3,True,14,
7JG0_GAR,3,True,18,
7JHQ_VAJ,4,True,18,
7JMV_4NC,2,True,11,
7JXX_VP7,1,True,25,
7JY3_VUD,4,True,27,
7K0V_VQP,5,True,32,
7KB1_WBJ,4,True,22,
7KC5_BJZ,5,True,37,
7KM8_WPD,7,True,29,
7KQU_YOF,2,True,14,
7KRU_ATP,5,True,31,
7KZ9_XN7,4,True,11,
7L00_XCJ,5,True,27,
7L03_F9F,5,True,22,
7L5F_XNG,7,False,18,"schwankt {7: 5, 8: 3}"
7L7C_XQ1,4,True,21,
7LCU_XTA,6,True,39,
7LEV_0JO,5,True,21,
7LJN_GTP,5,True,32,
7LMO_NYO,6,True,37,
7LOE_Y84,1,True,11,
7LOU_IFM,2,True,10,
7LT0_ONJ,3,True,27,
7LZD_YHY,5,True,29,
7M31_TDR,1,True,9,
7M3H_YPV,5,True,24,
7M6K_YRJ,6,True,33,
7MFP_Z7P,8,True,50,
7MGT_ZD4,4,True,28,
7MGY_ZD1,4,True,23,
7MMH_ZJY,9,True,57,
7MOI_HPS,2,True,11,
7MSR_DCA,12,True,47,
7MWN_WI5,4,True,32,
7MWU_ZPM,2,True,7,
7MY1_IPE,4,True,14,
7MYU_ZR7,6,True,35,
7N03_ZRP,6,True,28,
7N4N_0BK,7,True,32,
7N4W_P4V,5,True,26,
7N6F_0I1,4,True,26,
7N7B_T3F,5,True,35,
7N7H_CTP,5,True,29,
7NF0_BYN,5,True,37,
7NF3_4LU,5,True,36,
7NFB_GEN,2,True,20,
7NGW_UAW,3,True,17,
7NLV_UJE,4,True,21,
7NP6_UK8,6,True,32,
7NPL_UKZ,5,True,27,
7NR8_UOE,8,True,45,
7NSW_HC4,3,True,12,
7NU0_DCL,3,True,8,
7NUT_GLP,2,True,16,
7NXO_UU8,5,True,34,
7O0N_CDP,4,True,25,
7O1T_5X8,4,True,25,
7ODY_DGI,4,True,27,
7OEO_V9Z,8,True,32,
7OFF_VCB,4,True,27,
7OFK_VCH,7,True,35,
7OLI_8HG,3,True,20,
7OMX_CNA,8,True,44,
7OP9_06K,1,True,11,
7OPG_06N,3,True,19,
7OSO_0V1,3,True,7,
7OZ9_NGK,4,True,19,
7OZC_G6S,2,True,16,
7P1F_KFN,5,True,17,
7P1M_4IU,4,True,24,
7P2I_MFU,2,True,12,
7P4C_5OV,2,True,16,
7P5T_5YG,4,True,23,
7PGX_FMN,5,True,31,
7PIH_7QW,3,True,24,
7PJQ_OWH,2,True,10,
7PK0_BYC,14,False,56,"schwankt {14: 7, 15: 1}"
7PL1_SFG,5,True,27,
7POM_7VZ,4,True,22,
7PRI_7TI,4,True,20,
7PRM_81I,6,True,32,
7PT3_3KK,14,False,54,"schwankt {14: 5, 15: 3}"
7PUV_84Z,5,True,24,
7Q25_8J9,9,False,33,"schwankt {9: 4, 10: 4}"
7Q27_8KC,9,False,35,"schwankt {9: 7, 10: 1}"
7Q2B_M6H,2,True,12,
7Q5I_I0F,5,True,27,
7QE4_NGA,3,True,15,
7QF4_RBF,5,True,27,
7QFM_AY3,3,True,20,
7QGP_DJ8,3,True,35,
7QHG_T3B,10,True,42,
7QHL_D5P,5,True,30,
7QPP_VDX,5,True,30,
7QTA_URI,3,True,17,
7R3D_APR,6,True,36,
7R59_I5F,1,True,13,
7R6J_2I7,5,True,33,
7R7R_AWJ,5,True,33,
7R9N_F97,5,True,31,
7RC3_SAH,5,True,26,
7RH3_59O,8,True,34,
7RKW_5TV,4,True,25,
7RNI_60I,5,True,31,
7ROR_69X,6,True,35,
7ROU_66I,7,True,39,
7RSV_7IQ,2,True,20,
7RWS_4UR,3,True,45,
7RZL_NPO,2,True,10,
7SCW_GSP,5,True,32,
7SDD_4IP,5,True,28,
7SFO_98L,3,True,25,
7SIU_9ID,6,True,31,
7SUC_COM,2,True,7,
7SZA_DUI,2,True,20,
7T0D_FPP,5,True,24,
7T1D_E7K,5,True,34,
7T3E_SLB,6,True,21,
7TB0_UD1,7,True,39,
7TBU_S3P,3,True,16,
7TE8_P0T,5,True,23,
7TH4_FFO,7,True,34,
7THI_PGA,2,True,9,
7TM6_GPJ,3,True,10,
7TOM_5AD,2,True,18,
7TS6_KMI,3,True,17,
7TSF_H4B,3,True,17,
7TUO_KL9,5,True,30,
7TXK_LW8,3,True,15,
7TYP_KUR,7,True,37,
7U0U_FK5,7,True,57,
7U3J_L6U,11,False,38,"schwankt {10: 1, 11: 6, 12: 1}"
7UAS_MBU,7,True,40,
7UAW_MF6,2,True,35,
7UJ4_OQ4,9,True,44,
7UJ5_DGL,3,True,10,
7UJF_R3V,5,True,32,
7ULC_56B,4,True,33,
7UMW_NAD,8,True,44,
7UQ3_O2U,2,True,12,
7USH_82V,3,True,26,
7UTW_NAI,8,True,44,
7UXS_OJC,2,True,35,
7UY4_SMI,3,True,24,
7UYB_OK0,6,True,31,
7V14_ORU,6,True,35,
7V3N_AKG,3,True,10,
7V3S_5I9,6,True,38,
7V43_C4O,1,True,8,
7VB8_STL,3,True,17,
7VBU_6I4,2,True,17,
7VC5_9SF,3,True,22,
7VKZ_NOJ,2,True,11,
7VQ9_ISY,4,True,14,
7VWF_K55,8,False,33,"schwankt {8: 7, 9: 1}"
7VYJ_CA0,4,True,26,
7W05_GMP,3,True,20,
7W06_ITN,3,True,9,
7WCF_ACP,5,True,31,
7WDT_NGS,3,True,19,
7WJB_BGC,2,True,12,
7WKL_CAQ,1,True,8,
7WL4_JFU,5,True,34,
7WPW_F15,7,False,17,"schwankt {7: 4, 8: 4}"
7WQQ_5Z6,6,True,27,
7WUX_6OI,5,True,17,
7WUY_76N,4,True,30,
7WY1_D0L,7,False,26,"schwankt {7: 6, 8: 2}"
7X5N_5M5,5,True,30,
7X9K_8OG,3,True,24,
7XBV_APC,5,True,31,
7XFA_D9J,7,True,41,
7XG5_PLP,3,True,16,
7XI7_4RI,4,True,20,
7XJN_NSD,4,True,9,
7XPO_UPG,6,True,36,
7XQZ_FPF,5,True,25,
7XRL_FWK,3,True,19,
7YZU_DO7,3,True,16,
7Z1Q_NIO,2,True,9,
7Z2O_IAJ,2,True,14,
7Z7F_IF3,3,True,14,
7ZCC_OGA,3,True,10,
7ZDY_6MJ,2,True,11,
7ZF0_DHR,2,True,11,
7ZHP_IQY,3,True,27,
7ZL5_IWE,4,True,23,
7ZOC_T8E,4,True,15,
7ZTL_BCN,4,True,11,
7ZU2_DHT,1,True,21,
7ZXV_45D,11,True,42,
7ZZW_KKW,5,True,29,
8A1H_DLZ,5,True,23,
8A2D_KXY,7,True,49,
8AAU_LH0,6,True,27,
8AEM_LVF,2,True,13,
8AIE_M7L,4,True,23,
8AP0_PRP,4,True,22,
8AQL_PLG,4,True,20,
8AUH_L9I,4,True,11,
8AY3_OE3,4,True,25,
8B8H_OJQ,3,True,22,
8BOM_QU6,6,True,35,
8BTI_RFO,3,True,15,
8C3N_ADP,4,True,27,
8C5M_MTA,3,True,20,
8CNH_V6U,4,True,25,
8CSD_C5P,3,True,21,
8D19_GSH,6,True,20,
8D39_QDB,4,True,17,
8D5D_5DK,7,True,27,
8DHG_T78,8,True,35,
8DKO_TFB,2,True,8,
8DP2_UMA,10,False,49,"schwankt {10: 7, 11: 1}"
8DSC_NCA,2,True,9,
8EAB_VN2,10,True,49,
8EX2_Q2Q,4,True,26,
8EXL_799,5,True,34,
8EYE_X4I,6,True,33,
8F4J_PHO,13,True,64,
8F8E_XJI,5,True,29,
8FAV_4Y5,6,True,33,
8FLV_ZB9,5,True,29,
8FO5_Y4U,4,True,17,
8G0V_YHT,4,True,26,
8G6P_API,4,True,13,
8GFD_ZHR,5,True,26,
8HFN_XGC,6,True,24,
8HO0_3ZI,2,True,22,
8SLG_G5A,5,True,27,
