arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
SigmaDock,25,40,alle,307,RMSD<2,je Zug,50.53
SigmaDock,25,40,frag=1,14,RMSD<2,je Zug,40.0
SigmaDock,25,40,frag=2,49,RMSD<2,je Zug,58.83
SigmaDock,25,40,frag=3,52,RMSD<2,je Zug,54.42
SigmaDock,25,40,frag=4,56,RMSD<2,je Zug,53.66
SigmaDock,25,40,frag=5,61,RMSD<2,je Zug,55.29
SigmaDock,25,40,frag=6,25,RMSD<2,je Zug,58.0
SigmaDock,25,40,frag=7,18,RMSD<2,je Zug,31.11
SigmaDock,25,40,frag=8,15,RMSD<2,je Zug,32.0
SigmaDock,25,40,frag=9,8,RMSD<2,je Zug,25.62
SigmaDock,25,40,frag=10,3,RMSD<2,je Zug,18.33
SigmaDock,25,40,frag=11,2,RMSD<2,je Zug,32.68
SigmaDock,25,40,frag=12,1,RMSD<2,je Zug,37.5
SigmaDock,25,40,frag=13,1,RMSD<2,je Zug,2.5
SigmaDock,25,40,frag=14,2,RMSD<2,je Zug,3.75
SigmaDock,25,40,alle,307,RMSD<2,nur gnina,74.59
SigmaDock,25,40,frag=1,14,RMSD<2,nur gnina,78.57
SigmaDock,25,40,frag=2,49,RMSD<2,nur gnina,75.51
SigmaDock,25,40,frag=3,52,RMSD<2,nur gnina,73.08
SigmaDock,25,40,frag=4,56,RMSD<2,nur gnina,78.57
SigmaDock,25,40,frag=5,61,RMSD<2,nur gnina,81.97
SigmaDock,25,40,frag=6,25,RMSD<2,nur gnina,88.0
SigmaDock,25,40,frag=7,18,RMSD<2,nur gnina,61.11
SigmaDock,25,40,frag=8,15,RMSD<2,nur gnina,66.67
SigmaDock,25,40,frag=9,8,RMSD<2,nur gnina,50.0
SigmaDock,25,40,frag=10,3,RMSD<2,nur gnina,33.33
SigmaDock,25,40,frag=11,2,RMSD<2,nur gnina,50.0
SigmaDock,25,40,frag=12,1,RMSD<2,nur gnina,0.0
SigmaDock,25,40,frag=13,1,RMSD<2,nur gnina,0.0
SigmaDock,25,40,frag=14,2,RMSD<2,nur gnina,0.0
SigmaDock,25,40,alle,307,RMSD<2,Mixed Score (Paper),69.71
SigmaDock,25,40,frag=1,14,RMSD<2,Mixed Score (Paper),78.57
SigmaDock,25,40,frag=2,49,RMSD<2,Mixed Score (Paper),77.55
SigmaDock,25,40,frag=3,52,RMSD<2,Mixed Score (Paper),69.23
SigmaDock,25,40,frag=4,56,RMSD<2,Mixed Score (Paper),69.64
SigmaDock,25,40,frag=5,61,RMSD<2,Mixed Score (Paper),77.05
SigmaDock,25,40,frag=6,25,RMSD<2,Mixed Score (Paper),88.0
SigmaDock,25,40,frag=7,18,RMSD<2,Mixed Score (Paper),55.56
SigmaDock,25,40,frag=8,15,RMSD<2,Mixed Score (Paper),46.67
SigmaDock,25,40,frag=9,8,RMSD<2,Mixed Score (Paper),25.0
SigmaDock,25,40,frag=10,3,RMSD<2,Mixed Score (Paper),33.33
SigmaDock,25,40,frag=11,2,RMSD<2,Mixed Score (Paper),50.0
SigmaDock,25,40,frag=12,1,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,25,40,frag=13,1,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,25,40,frag=14,2,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,25,40,alle,307,RMSD<2,PB-Filter -> gnina,70.03
SigmaDock,25,40,frag=1,14,RMSD<2,PB-Filter -> gnina,78.57
SigmaDock,25,40,frag=2,49,RMSD<2,PB-Filter -> gnina,77.55
SigmaDock,25,40,frag=3,52,RMSD<2,PB-Filter -> gnina,69.23
SigmaDock,25,40,frag=4,56,RMSD<2,PB-Filter -> gnina,71.43
SigmaDock,25,40,frag=5,61,RMSD<2,PB-Filter -> gnina,78.69
SigmaDock,25,40,frag=6,25,RMSD<2,PB-Filter -> gnina,88.0
SigmaDock,25,40,frag=7,18,RMSD<2,PB-Filter -> gnina,55.56
SigmaDock,25,40,frag=8,15,RMSD<2,PB-Filter -> gnina,40.0
SigmaDock,25,40,frag=9,8,RMSD<2,PB-Filter -> gnina,25.0
SigmaDock,25,40,frag=10,3,RMSD<2,PB-Filter -> gnina,33.33
SigmaDock,25,40,frag=11,2,RMSD<2,PB-Filter -> gnina,50.0
SigmaDock,25,40,frag=12,1,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,25,40,frag=13,1,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,25,40,frag=14,2,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,25,40,alle,307,RMSD<2,Orakel,93.16
SigmaDock,25,40,frag=1,14,RMSD<2,Orakel,85.71
SigmaDock,25,40,frag=2,49,RMSD<2,Orakel,97.96
SigmaDock,25,40,frag=3,52,RMSD<2,Orakel,92.31
SigmaDock,25,40,frag=4,56,RMSD<2,Orakel,94.64
