arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
SigmaDock,25,40,alle,85,RMSD<2,je Zug,65.47
SigmaDock,25,40,frag=1,6,RMSD<2,je Zug,56.67
SigmaDock,25,40,frag=2,9,RMSD<2,je Zug,62.78
SigmaDock,25,40,frag=3,17,RMSD<2,je Zug,77.21
SigmaDock,25,40,frag=4,20,RMSD<2,je Zug,75.5
SigmaDock,25,40,frag=5,11,RMSD<2,je Zug,61.82
SigmaDock,25,40,frag=6,12,RMSD<2,je Zug,60.62
SigmaDock,25,40,frag=7,8,RMSD<2,je Zug,52.81
SigmaDock,25,40,frag=8,2,RMSD<2,je Zug,3.75
SigmaDock,25,40,alle,85,RMSD<2,nur gnina,77.65
SigmaDock,25,40,frag=1,6,RMSD<2,nur gnina,66.67
SigmaDock,25,40,frag=2,9,RMSD<2,nur gnina,77.78
SigmaDock,25,40,frag=3,17,RMSD<2,nur gnina,82.35
SigmaDock,25,40,frag=4,20,RMSD<2,nur gnina,85.0
SigmaDock,25,40,frag=5,11,RMSD<2,nur gnina,72.73
SigmaDock,25,40,frag=6,12,RMSD<2,nur gnina,75.0
SigmaDock,25,40,frag=7,8,RMSD<2,nur gnina,75.0
SigmaDock,25,40,frag=8,2,RMSD<2,nur gnina,50.0
SigmaDock,25,40,alle,85,RMSD<2,Mixed Score (Paper),78.82
SigmaDock,25,40,frag=1,6,RMSD<2,Mixed Score (Paper),66.67
SigmaDock,25,40,frag=2,9,RMSD<2,Mixed Score (Paper),77.78
SigmaDock,25,40,frag=3,17,RMSD<2,Mixed Score (Paper),82.35
SigmaDock,25,40,frag=4,20,RMSD<2,Mixed Score (Paper),90.0
SigmaDock,25,40,frag=5,11,RMSD<2,Mixed Score (Paper),72.73
SigmaDock,25,40,frag=6,12,RMSD<2,Mixed Score (Paper),75.0
SigmaDock,25,40,frag=7,8,RMSD<2,Mixed Score (Paper),87.5
SigmaDock,25,40,frag=8,2,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,25,40,alle,85,RMSD<2,PB-Filter -> gnina,78.82
SigmaDock,25,40,frag=1,6,RMSD<2,PB-Filter -> gnina,66.67
SigmaDock,25,40,frag=2,9,RMSD<2,PB-Filter -> gnina,77.78
SigmaDock,25,40,frag=3,17,RMSD<2,PB-Filter -> gnina,82.35
SigmaDock,25,40,frag=4,20,RMSD<2,PB-Filter -> gnina,90.0
SigmaDock,25,40,frag=5,11,RMSD<2,PB-Filter -> gnina,72.73
SigmaDock,25,40,frag=6,12,RMSD<2,PB-Filter -> gnina,75.0
SigmaDock,25,40,frag=7,8,RMSD<2,PB-Filter -> gnina,87.5
SigmaDock,25,40,frag=8,2,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,25,40,alle,85,RMSD<2,Orakel,95.29
SigmaDock,25,40,frag=1,6,RMSD<2,Orakel,100.0
SigmaDock,25,40,frag=2,9,RMSD<2,Orakel,88.89
SigmaDock,25,40,frag=3,17,RMSD<2,Orakel,94.12
SigmaDock,25,40,frag=4,20,RMSD<2,Orakel,95.0
SigmaDock,25,40,frag=5,11,RMSD<2,Orakel,90.91
SigmaDock,25,40,frag=6,12,RMSD<2,Orakel,100.0
SigmaDock,25,40,frag=7,8,RMSD<2,Orakel,100.0
SigmaDock,25,40,frag=8,2,RMSD<2,Orakel,100.0
SigmaDock,25,40,alle,85,PB-valide,je Zug,49.32
SigmaDock,25,40,frag=1,6,PB-valide,je Zug,54.17
SigmaDock,25,40,frag=2,9,PB-valide,je Zug,58.61
SigmaDock,25,40,frag=3,17,PB-valide,je Zug,56.76
SigmaDock,25,40,frag=4,20,PB-valide,je Zug,54.25
SigmaDock,25,40,frag=5,11,PB-valide,je Zug,43.41
SigmaDock,25,40,frag=6,12,PB-valide,je Zug,46.46
SigmaDock,25,40,frag=7,8,PB-valide,je Zug,28.75
SigmaDock,25,40,frag=8,2,PB-valide,je Zug,12.5
SigmaDock,25,40,alle,85,PB-valide,nur gnina,76.47
SigmaDock,25,40,frag=1,6,PB-valide,nur gnina,83.33
SigmaDock,25,40,frag=2,9,PB-valide,nur gnina,100.0
SigmaDock,25,40,frag=3,17,PB-valide,nur gnina,76.47
SigmaDock,25,40,frag=4,20,PB-valide,nur gnina,75.0
SigmaDock,25,40,frag=5,11,PB-valide,nur gnina,63.64
SigmaDock,25,40,frag=6,12,PB-valide,nur gnina,75.0
SigmaDock,25,40,frag=7,8,PB-valide,nur gnina,75.0
SigmaDock,25,40,frag=8,2,PB-valide,nur gnina,50.0
SigmaDock,25,40,alle,85,PB-valide,Mixed Score (Paper),94.12
SigmaDock,25,40,frag=1,6,PB-valide,Mixed Score (Paper),83.33
SigmaDock,25,40,frag=2,9,PB-valide,Mixed Score (Paper),100.0
SigmaDock,25,40,frag=3,17,PB-valide,Mixed Score (Paper),94.12
SigmaDock,25,40,frag=4,20,PB-valide,Mixed Score (Paper),95.0
SigmaDock,25,40,frag=5,11,PB-valide,Mixed Score (Paper),90.91
SigmaDock,25,40,frag=6,12,PB-valide,Mixed Score (Paper),100.0
SigmaDock,25,40,frag=7,8,PB-valide,Mixed Score (Paper),87.5
SigmaDock,25,40,frag=8,2,PB-valide,Mixed Score (Paper),100.0
SigmaDock,25,40,alle,85,PB-valide,PB-Filter -> gnina,95.29
SigmaDock,25,40,frag=1,6,PB-valide,PB-Filter -> gnina,83.33
SigmaDock,25,40,frag=2,9,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,25,40,frag=3,17,PB-valide,PB-Filter -> gnina,94.12
SigmaDock,25,40,frag=4,20,PB-valide,PB-Filter -> gnina,95.0
SigmaDock,25,40,frag=5,11,PB-valide,PB-Filter -> gnina,90.91
SigmaDock,25,40,frag=6,12,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,25,40,frag=7,8,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,25,40,frag=8,2,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,25,40,alle,85,PB-valide,Orakel,95.29
SigmaDock,25,40,frag=1,6,PB-valide,Orakel,83.33
SigmaDock,25,40,frag=2,9,PB-valide,Orakel,100.0
SigmaDock,25,40,frag=3,17,PB-valide,Orakel,94.12
SigmaDock,25,40,frag=4,20,PB-valide,Orakel,95.0
SigmaDock,25,40,frag=5,11,PB-valide,Orakel,90.91
SigmaDock,25,40,frag=6,12,PB-valide,Orakel,100.0
SigmaDock,25,40,frag=7,8,PB-valide,Orakel,100.0
SigmaDock,25,40,frag=8,2,PB-valide,Orakel,100.0
SigmaDock,25,40,alle,85,RMSD<2 & PB,je Zug,38.65
SigmaDock,25,40,frag=1,6,RMSD<2 & PB,je Zug,24.17
SigmaDock,25,40,frag=2,9,RMSD<2 & PB,je Zug,50.0
SigmaDock,25,40,frag=3,17,RMSD<2 & PB,je Zug,47.21
SigmaDock,25,40,frag=4,20,RMSD<2 & PB,je Zug,49.25
SigmaDock,25,40,frag=5,11,RMSD<2 & PB,je Zug,30.0
SigmaDock,25,40,frag=6,12,RMSD<2 & PB,je Zug,33.54
SigmaDock,25,40,frag=7,8,RMSD<2 & PB,je Zug,21.25
SigmaDock,25,40,frag=8,2,RMSD<2 & PB,je Zug,0.0
SigmaDock,25,40,alle,85,RMSD<2 & PB,nur gnina,61.18
SigmaDock,25,40,frag=1,6,RMSD<2 & PB,nur gnina,50.0
SigmaDock,25,40,frag=2,9,RMSD<2 & PB,nur gnina,77.78
SigmaDock,25,40,frag=3,17,RMSD<2 & PB,nur gnina,64.71
SigmaDock,25,40,frag=4,20,RMSD<2 & PB,nur gnina,65.0
SigmaDock,25,40,frag=5,11,RMSD<2 & PB,nur gnina,45.45
SigmaDock,25,40,frag=6,12,RMSD<2 & PB,nur gnina,58.33
SigmaDock,25,40,frag=7,8,RMSD<2 & PB,nur gnina,75.0
SigmaDock,25,40,frag=8,2,RMSD<2 & PB,nur gnina,0.0
SigmaDock,25,40,alle,85,RMSD<2 & PB,Mixed Score (Paper),74.12
SigmaDock,25,40,frag=1,6,RMSD<2 & PB,Mixed Score (Paper),50.0
SigmaDock,25,40,frag=2,9,RMSD<2 & PB,Mixed Score (Paper),77.78
SigmaDock,25,40,frag=3,17,RMSD<2 & PB,Mixed Score (Paper),76.47
SigmaDock,25,40,frag=4,20,RMSD<2 & PB,Mixed Score (Paper),85.0
SigmaDock,25,40,frag=5,11,RMSD<2 & PB,Mixed Score (Paper),72.73
SigmaDock,25,40,frag=6,12,RMSD<2 & PB,Mixed Score (Paper),75.0
SigmaDock,25,40,frag=7,8,RMSD<2 & PB,Mixed Score (Paper),75.0
SigmaDock,25,40,frag=8,2,RMSD<2 & PB,Mixed Score (Paper),0.0
SigmaDock,25,40,alle,85,RMSD<2 & PB,PB-Filter -> gnina,75.29
SigmaDock,25,40,frag=1,6,RMSD<2 & PB,PB-Filter -> gnina,50.0
SigmaDock,25,40,frag=2,9,RMSD<2 & PB,PB-Filter -> gnina,77.78
SigmaDock,25,40,frag=3,17,RMSD<2 & PB,PB-Filter -> gnina,76.47
SigmaDock,25,40,frag=4,20,RMSD<2 & PB,PB-Filter -> gnina,85.0
SigmaDock,25,40,frag=5,11,RMSD<2 & PB,PB-Filter -> gnina,72.73
SigmaDock,25,40,frag=6,12,RMSD<2 & PB,PB-Filter -> gnina,75.0
SigmaDock,25,40,frag=7,8,RMSD<2 & PB,PB-Filter -> gnina,87.5
SigmaDock,25,40,frag=8,2,RMSD<2 & PB,PB-Filter -> gnina,0.0
SigmaDock,25,40,alle,85,RMSD<2 & PB,Orakel,89.41
SigmaDock,25,40,frag=1,6,RMSD<2 & PB,Orakel,83.33
SigmaDock,25,40,frag=2,9,RMSD<2 & PB,Orakel,88.89
SigmaDock,25,40,frag=3,17,RMSD<2 & PB,Orakel,88.24
SigmaDock,25,40,frag=4,20,RMSD<2 & PB,Orakel,90.0
SigmaDock,25,40,frag=5,11,RMSD<2 & PB,Orakel,90.91
SigmaDock,25,40,frag=6,12,RMSD<2 & PB,Orakel,100.0
SigmaDock,25,40,frag=7,8,RMSD<2 & PB,Orakel,100.0
SigmaDock,25,40,frag=8,2,RMSD<2 & PB,Orakel,0.0
SigmaDock,5,40,alle,85,RMSD<2,je Zug,10.24
SigmaDock,5,40,frag=1,6,RMSD<2,je Zug,28.33
SigmaDock,5,40,frag=2,9,RMSD<2,je Zug,18.89
SigmaDock,5,40,frag=3,17,RMSD<2,je Zug,19.85
SigmaDock,5,40,frag=4,20,RMSD<2,je Zug,8.0
SigmaDock,5,40,frag=5,11,RMSD<2,je Zug,1.59
SigmaDock,5,40,frag=6,12,RMSD<2,je Zug,1.04
SigmaDock,5,40,frag=7,8,RMSD<2,je Zug,0.31
SigmaDock,5,40,frag=8,2,RMSD<2,je Zug,0.0
SigmaDock,5,40,alle,85,RMSD<2,nur gnina,40.0
SigmaDock,5,40,frag=1,6,RMSD<2,nur gnina,50.0
SigmaDock,5,40,frag=2,9,RMSD<2,nur gnina,66.67
SigmaDock,5,40,frag=3,17,RMSD<2,nur gnina,76.47
SigmaDock,5,40,frag=4,20,RMSD<2,nur gnina,45.0
SigmaDock,5,40,frag=5,11,RMSD<2,nur gnina,27.27
SigmaDock,5,40,frag=6,12,RMSD<2,nur gnina,0.0
SigmaDock,5,40,frag=7,8,RMSD<2,nur gnina,0.0
SigmaDock,5,40,frag=8,2,RMSD<2,nur gnina,0.0
SigmaDock,5,40,alle,85,RMSD<2,Mixed Score (Paper),29.41
SigmaDock,5,40,frag=1,6,RMSD<2,Mixed Score (Paper),33.33
SigmaDock,5,40,frag=2,9,RMSD<2,Mixed Score (Paper),44.44
SigmaDock,5,40,frag=3,17,RMSD<2,Mixed Score (Paper),52.94
SigmaDock,5,40,frag=4,20,RMSD<2,Mixed Score (Paper),30.0
SigmaDock,5,40,frag=5,11,RMSD<2,Mixed Score (Paper),27.27
SigmaDock,5,40,frag=6,12,RMSD<2,Mixed Score (Paper),8.33
SigmaDock,5,40,frag=7,8,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=8,2,RMSD<2,Mixed Score (Paper),0.0
SigmaDock,5,40,alle,85,RMSD<2,PB-Filter -> gnina,37.65
SigmaDock,5,40,frag=1,6,RMSD<2,PB-Filter -> gnina,33.33
SigmaDock,5,40,frag=2,9,RMSD<2,PB-Filter -> gnina,55.56
SigmaDock,5,40,frag=3,17,RMSD<2,PB-Filter -> gnina,76.47
SigmaDock,5,40,frag=4,20,RMSD<2,PB-Filter -> gnina,45.0
SigmaDock,5,40,frag=5,11,RMSD<2,PB-Filter -> gnina,27.27
SigmaDock,5,40,frag=6,12,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=7,8,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=8,2,RMSD<2,PB-Filter -> gnina,0.0
SigmaDock,5,40,alle,85,RMSD<2,Orakel,68.24
SigmaDock,5,40,frag=1,6,RMSD<2,Orakel,100.0
SigmaDock,5,40,frag=2,9,RMSD<2,Orakel,100.0
SigmaDock,5,40,frag=3,17,RMSD<2,Orakel,94.12
SigmaDock,5,40,frag=4,20,RMSD<2,Orakel,85.0
SigmaDock,5,40,frag=5,11,RMSD<2,Orakel,45.45
SigmaDock,5,40,frag=6,12,RMSD<2,Orakel,33.33
SigmaDock,5,40,frag=7,8,RMSD<2,Orakel,12.5
SigmaDock,5,40,frag=8,2,RMSD<2,Orakel,0.0
SigmaDock,5,40,alle,85,PB-valide,je Zug,1.94
SigmaDock,5,40,frag=1,6,PB-valide,je Zug,22.08
SigmaDock,5,40,frag=2,9,PB-valide,je Zug,2.78
SigmaDock,5,40,frag=3,17,PB-valide,je Zug,0.44
SigmaDock,5,40,frag=4,20,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=5,11,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=6,12,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=7,8,PB-valide,je Zug,0.0
SigmaDock,5,40,frag=8,2,PB-valide,je Zug,0.0
SigmaDock,5,40,alle,85,PB-valide,nur gnina,7.06
SigmaDock,5,40,frag=1,6,PB-valide,nur gnina,83.33
SigmaDock,5,40,frag=2,9,PB-valide,nur gnina,11.11
SigmaDock,5,40,frag=3,17,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=4,20,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=5,11,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=6,12,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=7,8,PB-valide,nur gnina,0.0
SigmaDock,5,40,frag=8,2,PB-valide,nur gnina,0.0
SigmaDock,5,40,alle,85,PB-valide,Mixed Score (Paper),15.29
SigmaDock,5,40,frag=1,6,PB-valide,Mixed Score (Paper),100.0
SigmaDock,5,40,frag=2,9,PB-valide,Mixed Score (Paper),44.44
SigmaDock,5,40,frag=3,17,PB-valide,Mixed Score (Paper),17.65
SigmaDock,5,40,frag=4,20,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=5,11,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=6,12,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=7,8,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,frag=8,2,PB-valide,Mixed Score (Paper),0.0
SigmaDock,5,40,alle,85,PB-valide,PB-Filter -> gnina,15.29
SigmaDock,5,40,frag=1,6,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,5,40,frag=2,9,PB-valide,PB-Filter -> gnina,44.44
SigmaDock,5,40,frag=3,17,PB-valide,PB-Filter -> gnina,17.65
SigmaDock,5,40,frag=4,20,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,5,40,frag=5,11,PB-valide,PB-Filter -> gnina,0.0
