file,molecule,position,mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,rmsd_â‰¤_2ã…
sigmadock_12h_pred\5S8I_2LY__5S8I_2LY_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False
sigmadock_12h_pred\5SAK_ZRY__5SAK_ZRY_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False
sigmadock_12h_pred\5SD5_HWI__5SD5_HWI_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False
sigmadock_12h_pred\5SIS_JSM__5SIS_JSM_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False
sigmadock_12h_pred\6T88_MWQ__6T88_MWQ_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
sigmadock_12h_pred\6TW5_9M2__6TW5_9M2_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False
sigmadock_12h_pred\6VTA_AKN__6VTA_AKN_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False
sigmadock_12h_pred\6XAF_GDP__6XAF_GDP_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True
sigmadock_12h_pred\6XG5_TOP__6XG5_TOP_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
sigmadock_12h_pred\6XUM_30L__6XUM_30L_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False
sigmadock_12h_pred\6Y7L_QMG__6Y7L_QMG_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False
sigmadock_12h_pred\6YDY_K73__6YDY_K73_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False
sigmadock_12h_pred\6YRV_PJ8__6YRV_PJ8_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False
sigmadock_12h_pred\6YSP_PAL__6YSP_PAL_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False
sigmadock_12h_pred\6YT6_PKE__6YT6_PKE_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False
sigmadock_12h_pred\6Z0R_Q4H__6Z0R_Q4H_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
sigmadock_12h_pred\6Z14_Q4Z__6Z14_Q4Z_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False
sigmadock_12h_pred\6Z5Z_BDF__6Z5Z_BDF_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
sigmadock_12h_pred\6ZCY_QF8__6ZCY_QF8_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False
sigmadock_12h_pred\6ZPB_3D1__6ZPB_3D1_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
sigmadock_12h_pred\7A1P_QW2__7A1P_QW2_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True
sigmadock_12h_pred\7AMC_73B__7AMC_73B_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False
sigmadock_12h_pred\7AVI_S2Q__7AVI_S2Q_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False
sigmadock_12h_pred\7BJ6_TVK__7BJ6_TVK_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False
sigmadock_12h_pred\7BLG_GAL__7BLG_GAL_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
sigmadock_12h_pred\7BNH_BEZ__7BNH_BEZ_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
sigmadock_12h_pred\7C8Q_DSG__7C8Q_DSG_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sigmadock_12h_pred\7CIJ_G0C__7CIJ_G0C_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False
sigmadock_12h_pred\7CNQ_G8X__7CNQ_G8X_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
sigmadock_12h_pred\7CUO_PHB__7CUO_PHB_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sigmadock_12h_pred\7D8Q_GZF__7D8Q_GZF_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False
sigmadock_12h_pred\7E4L_MDN__7E4L_MDN_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True
sigmadock_12h_pred\7ECR_SIN__7ECR_SIN_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False
sigmadock_12h_pred\7ED2_A3P__7ED2_A3P_ligands_seed0.sdf,,0,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False
