arm,n_steps,step,n_poses,rmsd_mean,rot_mean_deg,trans_mean_A,com_offset_A,step_rot_deg,step_trans_A
Minimal,25,0,2090,6.7433,126.1949,6.0223,3.3229,0.4598,0.2076
Minimal,25,1,2090,6.5835,126.1794,5.8589,3.1903,0.4418,0.1999
Minimal,25,2,2090,6.4327,126.1633,5.7042,3.0628,0.5541,0.1978
Minimal,25,3,2090,6.2874,126.1441,5.5543,2.9374,0.7503,0.1984
Minimal,25,4,2090,6.1474,126.1199,5.4088,2.8132,0.9621,0.1982
Minimal,25,5,2090,6.0147,126.0920,5.2702,2.6909,1.2341,0.2008
Minimal,25,6,2090,5.8887,126.0638,5.1380,2.5697,1.4145,0.1991
Minimal,25,7,2090,5.7717,126.0383,5.0145,2.4534,1.7352,0.2029
Minimal,25,8,2090,5.6628,126.0140,4.8989,2.3395,1.9289,0.2044
Minimal,25,9,2090,5.5611,125.9870,4.7899,2.2297,2.2125,0.2089
Minimal,25,10,2090,5.4658,125.9640,4.6870,2.1210,2.4428,0.2117
Minimal,25,11,2090,5.3791,125.9400,4.5921,2.0160,2.6506,0.2139
Minimal,25,12,2090,5.3010,125.9210,4.5054,1.9148,2.8806,0.2148
Minimal,25,13,2090,5.2319,125.9133,4.4275,1.8169,3.0985,0.2182
Minimal,25,14,2090,5.1715,125.9135,4.3579,1.7230,3.2210,0.2167
Minimal,25,15,2090,5.1204,125.9234,4.2973,1.6365,3.3324,0.2175
Minimal,25,16,2090,5.0805,125.9348,4.2477,1.5568,3.4818,0.2161
Minimal,25,17,2090,5.0507,125.9482,4.2092,1.4866,3.5928,0.2185
Minimal,25,18,2090,5.0316,125.9630,4.1819,1.4257,3.6956,0.2151
Minimal,25,19,2090,5.0239,125.9910,4.1667,1.3779,3.7856,0.2167
Minimal,25,20,2090,5.0282,126.0235,4.1649,1.3426,3.7700,0.2112
Minimal,25,21,2090,5.0444,126.0444,4.1768,1.3230,3.9159,0.2123
Minimal,25,22,2090,5.0735,126.0782,4.2043,1.3192,3.9783,0.2103
Minimal,25,23,2090,5.1170,126.1246,4.2498,1.3325,4.0203,0.2135
Minimal,25,24,2090,5.1776,126.1642,4.3155,1.3600,0.0000,0.0000
