complex,seed,step,n_frag,n_atoms,rmsd,rot_mean_deg,rot_max_deg,trans_mean_A,com_offset_A,step_rot_deg,step_trans_A
5S8I_2LY,0,0,2,13,8.7137,153.899,153.899,8.9181,7.2203,0.239,0.3566
5S8I_2LY,0,1,2,13,8.3690,153.975,153.975,8.5679,6.8668,0.237,0.3356
5S8I_2LY,0,2,2,13,8.0416,153.991,153.991,8.2379,6.5287,0.278,0.3311
5S8I_2LY,0,3,2,13,7.7179,154.027,154.027,7.9128,6.1904,0.299,0.3370
5S8I_2LY,0,4,2,13,7.3919,154.166,154.166,7.5823,5.8458,0.195,0.3319
5S8I_2LY,0,5,2,13,7.0742,154.331,154.331,7.2579,5.5058,0.241,0.3291
5S8I_2LY,0,6,2,13,6.7627,154.210,154.210,6.9398,5.1683,0.261,0.3054
5S8I_2LY,0,7,2,13,6.4764,154.284,154.284,6.6470,4.8498,0.277,0.3027
5S8I_2LY,0,8,2,13,6.1940,154.276,154.276,6.3577,4.5295,0.451,0.3032
5S8I_2LY,0,9,2,13,5.9236,154.474,154.474,6.0674,4.2168,0.601,0.3036
5S8I_2LY,0,10,2,13,5.6568,154.810,154.810,5.7760,3.8973,0.972,0.2966
5S8I_2LY,0,11,2,13,5.4088,155.464,155.464,5.4908,3.5905,1.730,0.2934
5S8I_2LY,0,12,2,13,5.1814,156.726,156.726,5.2137,3.2879,2.325,0.2963
5S8I_2LY,0,13,2,13,4.9684,158.316,158.316,4.9401,2.9792,2.968,0.2943
5S8I_2LY,0,14,2,13,4.7771,160.324,160.324,4.6788,2.6725,3.699,0.2887
5S8I_2LY,0,15,2,13,4.6104,162.753,162.753,4.4276,2.3748,4.185,0.3020
5S8I_2LY,0,16,2,13,4.4638,165.255,165.255,4.1849,2.0735,4.710,0.3029
5S8I_2LY,0,17,2,13,4.3482,167.674,167.674,3.9626,1.7855,5.347,0.3166
5S8I_2LY,0,18,2,13,4.2557,170.230,170.230,3.7457,1.5021,5.568,0.3131
5S8I_2LY,0,19,2,13,4.1882,172.356,172.356,3.5386,1.2558,6.042,0.3226
5S8I_2LY,0,20,2,13,4.1462,174.382,174.382,3.3467,1.0546,6.423,0.3106
5S8I_2LY,0,21,2,13,4.1333,176.310,176.310,3.1865,0.9316,7.075,0.2995
5S8I_2LY,0,22,2,13,4.1445,178.260,178.260,3.0584,0.8938,7.259,0.2771
5S8I_2LY,0,23,2,13,4.1758,179.705,179.705,2.9907,0.9498,7.345,0.2483
5S8I_2LY,0,24,2,13,4.2136,177.010,177.010,2.9946,1.0569,0.000,0.0000
5SAK_ZRY,0,0,2,18,7.2825,140.007,142.959,6.1034,4.6156,0.654,0.2653
5SAK_ZRY,0,1,2,18,7.0975,140.172,142.812,5.9088,4.4084,0.470,0.2528
5SAK_ZRY,0,2,2,18,6.9237,140.267,142.670,5.7274,4.2102,0.674,0.2478
5SAK_ZRY,0,3,2,18,6.7600,140.257,142.438,5.5587,4.0164,0.800,0.2384
5SAK_ZRY,0,4,2,18,6.6093,140.193,142.242,5.4044,3.8298,1.000,0.2340
5SAK_ZRY,0,5,2,18,6.4706,140.172,142.026,5.2648,3.6472,1.220,0.2362
