complex,n_frag,arm,nfe,n,zentroid_std,rmsf,paar_rmsd
6WTN_RXT,4,SigmaDock,25,40,0.08354573491257217,0.6561564373006953,0.8196457424714169
6WTN_RXT,4,SigmaDock,5,40,13.61803401232351,21.672919061287455,26.471868212636647
6WTN_RXT,4,Minimal,25,40,0.3825512091337734,1.8063310718816494,2.4731537850547713
6WTN_RXT,4,Minimal,5,201,0.3072286826854724,1.7226852682523561,2.314626279564952
6WTN_RXT,4,Separate,25,40,0.37297082644729374,1.7608980531821867,2.354659691010585
6WTN_RXT,4,Separate,5,201,0.2974428035759201,1.6563155159883551,2.1889348626116107
7LCU_XTA,6,SigmaDock,25,41,0.635760857468139,5.091675012598534,5.792780329378422
7LCU_XTA,6,SigmaDock,5,41,11.735412110847472,23.929630057352934,31.809844366368665
7LCU_XTA,6,Minimal,25,41,0.7783219803674405,5.247092072556849,6.348325929143344
7LCU_XTA,6,Minimal,5,202,0.6290312485409582,5.3356332788731375,6.434465874215541
7LCU_XTA,6,Separate,25,40,0.558471756964195,3.9646858407531798,4.389083829150856
7LCU_XTA,6,Separate,5,200,0.5170718198458941,3.013399238594449,3.208767732535286
8A1H_DLZ,5,SigmaDock,25,40,0.4407820268854262,2.5163291031591446,3.185938043694681
8A1H_DLZ,5,SigmaDock,5,40,14.577463517437684,21.56800826771059,27.456043151533912
8A1H_DLZ,5,Minimal,25,40,0.36718400835220266,1.6304642688496365,2.11611280148718
8A1H_DLZ,5,Minimal,5,200,0.3364024810370131,1.736755372337724,2.2286668984345352
8A1H_DLZ,5,Separate,25,40,0.5066328468506788,2.8752569516574726,3.7783423922044457
8A1H_DLZ,5,Separate,5,200,0.5233810978591386,2.8828382921629787,3.809934146272012
