arm,nfe,complex,mixed,f24+gnina,sz>=2,f24+sz>=2,sz>=3,f24+sz>=3,sz>=5,f24+sz>=5,top2,top3,sup^0.25,sup^0.5,sup^1.0,f24+sup^0.25,f24+sup^0.5
SigmaDock,25,1G9V_RQ3,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
SigmaDock,25,1GKC_NFH,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
SigmaDock,25,1GM8_SOX,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1GPK_HUP,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1HNN_SKF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1HP0_AD3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1HQ2_PH2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1HVY_D16,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
SigmaDock,25,1HWI_115,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1HWW_SWA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1IA1_TQ3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1IG3_VIB,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False
SigmaDock,25,1J3J_CP6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1JD0_AZM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1JJE_BYS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1JLA_TNK,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1K3U_IAD,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
SigmaDock,25,1KE5_LS1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1KZK_JE2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1L2S_STC,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
