arm,nfe,complex,mixed,f24+gnina,sz>=2,f24+sz>=2,sz>=3,f24+sz>=3,sz>=5,f24+sz>=5,top2,top3,sup^0.25,sup^0.5,sup^1.0,f24+sup^0.25,f24+sup^0.5
SigmaDock,25,5SAK_ZRY,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,5SB2_1K2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,5SD5_HWI,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False
SigmaDock,25,5SIS_JSM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6M2B_EZO,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6M73_FNR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6T88_MWQ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6TW5_9M2,True,True,False,False,False,False,True,True,True,True,True,False,False,True,False
SigmaDock,25,6TW7_NZB,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
SigmaDock,25,6VTA_AKN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,6WTN_RXT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6XBO_5MC,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6XCT_478,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True
SigmaDock,25,6XG5_TOP,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6XHT_V2V,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6XM9_V55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,6YJA_2BA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,6YMS_OZH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,6YQV_8K2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
SigmaDock,25,6YQW_82I,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False
SigmaDock,25,6YR2_T1C,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True
SigmaDock,25,6YRV_PJ8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6YSP_PAL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6YT6_PKE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,6YYO_Q1K,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6Z0R_Q4H,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False
SigmaDock,25,6Z14_Q4Z,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6Z1C_7EY,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6Z2C_Q5E,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6Z4N_Q7B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,6ZAE_ACV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,6ZC3_JOR,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
SigmaDock,25,6ZCY_QF8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,6ZK5_IMH,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
SigmaDock,25,6ZPB_3D1,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
SigmaDock,25,7A1P_QW2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,7A9E_R4W,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,7A9H_TPP,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,7AFX_R9K,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,7AKL_RK5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,7AN5_RDH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,7B2C_TP7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,7B94_ANP,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,7BCP_GCO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,7BJJ_TVW,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False
SigmaDock,25,7BKA_4JC,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True
SigmaDock,25,7BMI_U4B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
