complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
6TW5_9M2,5,SigmaDock,25,40,0.1,11,0.25,False,0.5673,0.1,0.308,0.578
6TW5_9M2,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,8.379
6TW5_9M2,5,Minimal,25,40,0.025,20,0.15,False,0.7603,0.05,0.2,0.613
6TW5_9M2,5,Minimal,5,200,0.055,67,0.12,False,0.713,0.03,0.374,0.616
6TW5_9M2,5,Separate,25,40,0.025,18,0.175,False,0.7056,0.025,0.41,0.615
6TW5_9M2,5,Separate,5,200,0.05,46,0.185,False,0.5787,0.045,0.311,0.592
6WTN_RXT,4,SigmaDock,25,40,1.0,2,0.95,True,0.0538,0.95,0.197,
6WTN_RXT,4,SigmaDock,5,40,0.2,33,0.1,True,0.9154,0.1,0.525,11.932
6WTN_RXT,4,Minimal,25,40,0.3,5,0.375,False,0.3769,0.3,0.354,0.451
6WTN_RXT,4,Minimal,5,201,0.472636815920398,7,0.4478,True,0.2469,0.4478,0.34,0.419
6WTN_RXT,4,Separate,25,40,0.425,5,0.4,True,0.3418,0.4,0.366,0.503
6WTN_RXT,4,Separate,5,201,0.5621890547263682,4,0.5174,True,0.2159,0.5174,0.332,0.458
7C3U_AZG,1,SigmaDock,25,41,0.0,5,0.561,False,0.3248,,,0.489
7C3U_AZG,1,SigmaDock,5,41,0.0,18,0.2683,False,0.643,,,23.262
7C3U_AZG,1,Minimal,25,41,0.0,3,0.5366,False,0.2723,,,0.595
7C3U_AZG,1,Minimal,5,201,0.014925373134328358,9,0.5224,False,0.2492,0.01,0.951,0.49
7C3U_AZG,1,Separate,25,40,0.0,4,0.45,False,0.3336,,,0.401
7C3U_AZG,1,Separate,5,200,0.025,8,0.5,False,0.2179,0.025,0.52,0.39
7CD9_FVR,4,SigmaDock,25,40,0.0,19,0.275,False,0.6897,,,2.148
7CD9_FVR,4,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,14.427
7CD9_FVR,4,Minimal,25,40,0.0,29,0.2,False,0.8497,,,1.812
7CD9_FVR,4,Minimal,5,200,0.0,82,0.155,False,0.7228,,,1.753
7CD9_FVR,4,Separate,25,40,0.0,22,0.2,False,0.7557,,,1.991
7CD9_FVR,4,Separate,5,201,0.0,49,0.3483,False,0.5349,,,1.909
7D5C_GV6,6,SigmaDock,25,40,0.95,3,0.875,True,0.1191,0.875,0.325,0.493
7D5C_GV6,6,SigmaDock,5,40,0.025,40,0.025,False,1.0,0.025,0.858,10.697
7D5C_GV6,6,Minimal,25,40,0.525,6,0.45,True,0.3244,0.45,0.394,0.667
7D5C_GV6,6,Minimal,5,201,0.6069651741293532,23,0.4677,True,0.3029,0.4677,0.383,0.55
7D5C_GV6,6,Separate,25,40,0.525,11,0.45,True,0.4806,0.45,0.339,0.675
7D5C_GV6,6,Separate,5,201,0.5223880597014925,26,0.4279,True,0.3758,0.4279,0.364,0.527
7F8T_FAD,9,SigmaDock,25,40,0.0,29,0.075,False,0.8931,,,1.161
7F8T_FAD,9,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,9.437
7F8T_FAD,9,Minimal,25,40,0.0,40,0.025,False,1.0,,,1.277
7F8T_FAD,9,Minimal,5,200,0.01,168,0.02,False,0.9539,0.015,0.27,1.134
7F8T_FAD,9,Separate,25,40,0.0,37,0.05,False,0.9718,,,1.423
7F8T_FAD,9,Separate,5,200,0.0,172,0.02,False,0.9601,,,1.281
7JG0_GAR,3,SigmaDock,25,40,0.875,3,0.925,True,0.0852,0.925,0.413,1.154
7JG0_GAR,3,SigmaDock,5,40,0.025,40,0.025,False,1.0,0.025,0.832,15.331
7JG0_GAR,3,Minimal,25,40,0.625,7,0.525,True,0.3688,0.525,0.504,1.154
7JG0_GAR,3,Minimal,5,200,0.69,22,0.51,True,0.3235,0.51,0.419,1.005
7JG0_GAR,3,Separate,25,40,0.775,7,0.775,True,0.2468,0.775,0.385,0.812
7JG0_GAR,3,Separate,5,202,0.7722772277227723,14,0.7426,True,0.2071,0.7426,0.342,0.955
7KB1_WBJ,4,SigmaDock,25,40,0.7,3,0.7,True,0.1889,0.7,0.322,0.233
7KB1_WBJ,4,SigmaDock,5,40,0.075,37,0.05,False,0.9718,0.05,0.366,12.205
7KB1_WBJ,4,Minimal,25,40,0.925,4,0.875,True,0.1343,0.875,0.352,0.432
7KB1_WBJ,4,Minimal,5,201,0.8855721393034826,9,0.7861,True,0.1427,0.7861,0.309,0.427
7KB1_WBJ,4,Separate,25,40,0.9,4,0.825,True,0.1635,0.825,0.373,0.287
7KB1_WBJ,4,Separate,5,200,0.845,9,0.785,True,0.1596,0.785,0.313,0.276
7LCU_XTA,6,SigmaDock,25,41,0.2926829268292683,6,0.3902,False,0.3869,0.1707,0.652,0.815
7LCU_XTA,6,SigmaDock,5,41,0.0,41,0.0244,False,1.0,,,10.854
7LCU_XTA,6,Minimal,25,41,0.2926829268292683,14,0.2195,True,0.6362,0.2195,0.745,0.969
7LCU_XTA,6,Minimal,5,202,0.3564356435643564,43,0.198,True,0.5247,0.198,0.758,1.01
7LCU_XTA,6,Separate,25,40,0.625,15,0.35,True,0.5654,0.35,0.624,1.07
7LCU_XTA,6,Separate,5,200,0.7,26,0.365,True,0.3791,0.365,0.771,1.293
7N6F_0I1,4,SigmaDock,25,40,0.65,6,0.65,True,0.2699,0.65,0.724,1.099
7N6F_0I1,4,SigmaDock,5,40,0.05,38,0.05,False,0.9812,0.05,0.551,12.701
7N6F_0I1,4,Minimal,25,40,0.675,9,0.8,True,0.2484,0.8,0.7,0.916
7N6F_0I1,4,Minimal,5,203,0.8325123152709359,20,0.8424,True,0.1651,0.8424,0.793,0.875
7N6F_0I1,4,Separate,25,40,0.375,11,0.375,False,0.4555,0.35,0.771,0.756
7N6F_0I1,4,Separate,5,200,0.39,36,0.405,True,0.3848,0.405,0.636,0.748
7NFB_GEN,2,SigmaDock,25,40,0.725,2,0.725,True,0.1594,0.725,0.287,0.309
7NFB_GEN,2,SigmaDock,5,40,0.275,26,0.275,True,0.7667,0.275,0.563,15.367
7NFB_GEN,2,Minimal,25,40,0.45,3,0.525,False,0.2141,0.45,0.188,0.282
7NFB_GEN,2,Minimal,5,200,0.515,4,0.5,True,0.1493,0.5,0.163,0.195
7NFB_GEN,2,Separate,25,40,0.35,2,0.65,False,0.1755,0.35,0.259,0.257
7NFB_GEN,2,Separate,5,201,0.24378109452736318,6,0.7363,False,0.1306,0.2388,0.216,0.197
7NLV_UJE,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.384,
7NLV_UJE,4,SigmaDock,5,40,0.075,38,0.075,True,0.9777,0.075,0.496,15.512
7NLV_UJE,4,Minimal,25,40,0.925,4,0.925,True,0.0945,0.925,0.431,1.022
7NLV_UJE,4,Minimal,5,202,0.9158415841584159,7,0.8812,True,0.0944,0.8812,0.426,0.641
7NLV_UJE,4,Separate,25,40,0.975,2,0.975,True,0.0317,0.975,0.423,0.923
7NLV_UJE,4,Separate,5,201,0.9303482587064676,7,0.9254,True,0.0702,0.9254,0.417,0.57
7NR8_UOE,8,SigmaDock,25,40,0.525,12,0.45,True,0.4453,0.45,0.315,1.833
