complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
6TW5_9M2,5,SigmaDock,25,40,0.1,7,0.475,False,0.4211,0.15,0.308,0.578
6TW5_9M2,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,8.379
6TW5_9M2,5,Minimal,25,40,0.025,7,0.4,False,0.4193,0.175,0.2,0.613
6TW5_9M2,5,Minimal,5,200,0.055,16,0.355,False,0.3843,0.13,0.374,0.616
6TW5_9M2,5,Separate,25,40,0.025,7,0.575,False,0.3749,0.15,0.41,0.615
6TW5_9M2,5,Separate,5,200,0.05,9,0.53,False,0.2771,0.16,0.311,0.592
6WTN_RXT,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.197,
6WTN_RXT,4,SigmaDock,5,40,0.2,27,0.325,True,0.7646,0.325,0.525,11.932
6WTN_RXT,4,Minimal,25,40,0.3,2,0.55,False,0.1865,0.45,0.354,0.451
6WTN_RXT,4,Minimal,5,201,0.472636815920398,1,1.0,False,-0.0,1.0,0.34,0.419
6WTN_RXT,4,Separate,25,40,0.425,2,0.55,True,0.1865,0.55,0.366,0.503
6WTN_RXT,4,Separate,5,201,0.5621890547263682,1,1.0,True,-0.0,1.0,0.332,0.458
7C3U_AZG,1,SigmaDock,25,41,0.0,2,0.9268,False,0.0705,,,0.489
7C3U_AZG,1,SigmaDock,5,41,0.0,16,0.5854,False,0.4774,,,23.262
7C3U_AZG,1,Minimal,25,41,0.0,1,1.0,False,-0.0,,,0.595
7C3U_AZG,1,Minimal,5,201,0.014925373134328358,2,0.9055,False,0.059,0.0945,0.951,0.49
7C3U_AZG,1,Separate,25,40,0.0,1,1.0,False,-0.0,,,0.401
7C3U_AZG,1,Separate,5,200,0.025,3,0.875,False,0.0751,0.12,0.52,0.39
7CD9_FVR,4,SigmaDock,25,40,0.0,10,0.35,False,0.4742,,,2.148
7CD9_FVR,4,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,14.427
7CD9_FVR,4,Minimal,25,40,0.0,13,0.475,False,0.5234,,,1.812
7CD9_FVR,4,Minimal,5,200,0.0,20,0.42,False,0.3994,,,1.753
7CD9_FVR,4,Separate,25,40,0.0,6,0.775,False,0.2316,,,1.991
7CD9_FVR,4,Separate,5,201,0.0,9,0.796,False,0.1581,,,1.909
7D5C_GV6,6,SigmaDock,25,40,0.95,1,1.0,True,-0.0,1.0,0.325,0.493
7D5C_GV6,6,SigmaDock,5,40,0.025,40,0.025,False,1.0,0.025,0.858,10.697
7D5C_GV6,6,Minimal,25,40,0.525,3,0.875,True,0.1191,0.875,0.394,0.667
7D5C_GV6,6,Minimal,5,201,0.6069651741293532,3,0.8657,True,0.0784,0.8657,0.383,0.55
7D5C_GV6,6,Separate,25,40,0.525,3,0.775,True,0.1658,0.775,0.339,0.675
7D5C_GV6,6,Separate,5,201,0.5223880597014925,5,0.8308,True,0.1012,0.8308,0.364,0.527
7F8T_FAD,9,SigmaDock,25,40,0.0,18,0.2,False,0.7192,,,1.161
7F8T_FAD,9,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,9.437
7F8T_FAD,9,Minimal,25,40,0.0,29,0.075,False,0.8896,,,1.277
7F8T_FAD,9,Minimal,5,200,0.01,83,0.075,False,0.7607,0.03,0.27,1.134
7F8T_FAD,9,Separate,25,40,0.0,29,0.075,False,0.886,,,1.423
7F8T_FAD,9,Separate,5,200,0.0,95,0.13,False,0.7851,,,1.281
7JG0_GAR,3,SigmaDock,25,40,0.875,2,0.975,True,0.0317,0.975,0.413,1.154
7JG0_GAR,3,SigmaDock,5,40,0.025,39,0.05,False,0.9906,0.05,0.832,15.331
7JG0_GAR,3,Minimal,25,40,0.625,2,0.975,True,0.0317,0.975,0.504,1.154
7JG0_GAR,3,Minimal,5,200,0.69,5,0.965,True,0.0371,0.965,0.419,1.005
7JG0_GAR,3,Separate,25,40,0.775,1,1.0,True,-0.0,1.0,0.385,0.812
7JG0_GAR,3,Separate,5,202,0.7722772277227723,2,0.995,True,0.0059,0.995,0.342,0.955
7KB1_WBJ,4,SigmaDock,25,40,0.7,2,0.7,True,0.1656,0.7,0.322,0.233
7KB1_WBJ,4,SigmaDock,5,40,0.075,32,0.125,True,0.8985,0.125,0.366,12.205
7KB1_WBJ,4,Minimal,25,40,0.925,1,1.0,True,-0.0,1.0,0.352,0.432
7KB1_WBJ,4,Minimal,5,201,0.8855721393034826,2,0.99,True,0.0105,0.99,0.309,0.427
7KB1_WBJ,4,Separate,25,40,0.9,2,0.975,True,0.0317,0.975,0.373,0.287
7KB1_WBJ,4,Separate,5,200,0.845,2,0.9,True,0.0614,0.9,0.313,0.276
7LCU_XTA,6,SigmaDock,25,41,0.2926829268292683,3,0.6829,False,0.1914,0.2927,0.652,0.815
7LCU_XTA,6,SigmaDock,5,41,0.0,41,0.0244,False,1.0,,,10.854
7LCU_XTA,6,Minimal,25,41,0.2926829268292683,4,0.561,False,0.235,0.3902,0.745,0.969
7LCU_XTA,6,Minimal,5,202,0.3564356435643564,8,0.495,False,0.1722,0.4604,0.758,1.01
7LCU_XTA,6,Separate,25,40,0.625,2,0.85,True,0.1146,0.85,0.624,1.07
7LCU_XTA,6,Separate,5,200,0.7,5,0.915,True,0.071,0.915,0.771,1.293
7N6F_0I1,4,SigmaDock,25,40,0.65,5,0.65,True,0.2471,0.65,0.724,1.099
7N6F_0I1,4,SigmaDock,5,40,0.05,36,0.075,True,0.9589,0.075,0.551,12.701
7N6F_0I1,4,Minimal,25,40,0.675,3,0.9,True,0.1034,0.9,0.7,0.916
7N6F_0I1,4,Minimal,5,203,0.8325123152709359,7,0.9163,True,0.0775,0.9163,0.793,0.875
7N6F_0I1,4,Separate,25,40,0.375,7,0.425,True,0.3541,0.425,0.771,0.756
7N6F_0I1,4,Separate,5,200,0.39,14,0.475,True,0.2712,0.475,0.636,0.748
7NFB_GEN,2,SigmaDock,25,40,0.725,1,1.0,True,-0.0,1.0,0.287,0.309
7NFB_GEN,2,SigmaDock,5,40,0.275,24,0.425,True,0.6736,0.425,0.563,15.367
7NFB_GEN,2,Minimal,25,40,0.45,2,0.975,False,0.0317,0.975,0.188,0.282
7NFB_GEN,2,Minimal,5,200,0.515,2,0.98,True,0.0185,0.98,0.163,0.195
7NFB_GEN,2,Separate,25,40,0.35,1,1.0,False,-0.0,1.0,0.259,0.257
7NFB_GEN,2,Separate,5,201,0.24378109452736318,2,0.99,False,0.0105,0.99,0.216,0.197
7NLV_UJE,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.384,
7NLV_UJE,4,SigmaDock,5,40,0.075,36,0.125,True,0.9455,0.125,0.496,15.512
7NLV_UJE,4,Minimal,25,40,0.925,2,0.975,True,0.0317,0.975,0.431,1.022
7NLV_UJE,4,Minimal,5,202,0.9158415841584159,2,0.995,True,0.0059,0.995,0.426,0.641
7NLV_UJE,4,Separate,25,40,0.975,1,1.0,True,-0.0,1.0,0.423,0.923
7NLV_UJE,4,Separate,5,201,0.9303482587064676,1,1.0,True,-0.0,1.0,0.417,0.57
7NR8_UOE,8,SigmaDock,25,40,0.525,5,0.8,True,0.2073,0.8,0.315,1.833
7NR8_UOE,8,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,15.367
