complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
1G9V_RQ3,5,SigmaDock,25,40,0.55,9,0.325,True,0.478,0.325,0.75,2.725
1G9V_RQ3,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,15.107
1G9V_RQ3,5,Minimal,25,40,0.475,15,0.15,False,0.6764,0.15,0.635,1.344
1G9V_RQ3,5,Minimal,5,200,0.5,32,0.25,True,0.5046,0.25,0.787,1.456
1G9V_RQ3,5,Separate,25,40,0.7,10,0.475,True,0.4648,0.475,0.58,1.348
1G9V_RQ3,5,Separate,5,200,0.72,17,0.42,True,0.3352,0.42,0.669,1.373
1GKC_NFH,7,SigmaDock,25,40,0.2,11,0.2,False,0.5795,0.2,38.784,39.618
1GKC_NFH,7,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,48.799
1GKC_NFH,7,Minimal,25,40,0.625,14,0.625,True,0.4323,0.625,38.565,39.194
1GKC_NFH,7,Minimal,5,200,0.54,30,0.5,True,0.4026,0.5,38.615,39.168
1GKC_NFH,7,Separate,25,40,0.4,15,0.4,True,0.5866,0.4,38.525,39.237
1GKC_NFH,7,Separate,5,200,0.4,46,0.39,True,0.4982,0.39,38.603,39.086
1GM8_SOX,4,SigmaDock,25,40,0.725,3,0.725,True,0.1948,0.725,0.811,0.876
1GM8_SOX,4,SigmaDock,5,40,0.1,38,0.05,True,0.9812,0.05,0.761,10.471
1GM8_SOX,4,Minimal,25,40,0.325,7,0.275,False,0.4374,0.175,0.669,0.867
1GM8_SOX,4,Minimal,5,200,0.365,18,0.35,False,0.3457,0.245,0.701,0.782
1GM8_SOX,4,Separate,25,40,0.475,7,0.275,True,0.465,0.275,0.735,0.983
1GM8_SOX,4,Separate,5,200,0.4,16,0.465,True,0.3327,0.465,0.721,0.978
1GPK_HUP,1,SigmaDock,25,40,0.2,2,0.8,False,0.1357,0.2,0.652,0.572
1GPK_HUP,1,SigmaDock,5,40,0.175,20,0.325,False,0.6748,0.125,0.672,26.787
1GPK_HUP,1,Minimal,25,40,0.325,5,0.6,False,0.2571,0.325,0.313,0.475
1GPK_HUP,1,Minimal,5,200,0.295,14,0.49,False,0.2671,0.33,0.347,0.432
