complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
6TW5_9M2,5,SigmaDock,25,40,0.1,11,0.25,False,0.5673,0.1,0.308,0.578
6TW5_9M2,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,8.379
6TW5_9M2,5,Minimal,25,40,0.025,20,0.15,False,0.7603,0.05,0.2,0.613
6TW5_9M2,5,Minimal,5,200,0.055,67,0.12,False,0.713,0.03,0.374,0.616
6TW5_9M2,5,Separate,25,40,0.025,18,0.175,False,0.7056,0.025,0.41,0.615
6TW5_9M2,5,Separate,5,200,0.05,46,0.185,False,0.5787,0.045,0.311,0.592
6TW7_NZB,5,SigmaDock,25,40,0.325,12,0.325,True,0.5156,0.325,0.538,1.044
6TW7_NZB,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,14.301
6TW7_NZB,5,Minimal,25,40,0.1,14,0.275,False,0.6281,0.1,0.526,1.104
6TW7_NZB,5,Minimal,5,200,0.14,54,0.205,False,0.5694,0.14,0.648,1.169
6TW7_NZB,5,Separate,25,40,0.375,11,0.4,True,0.5067,0.4,0.606,0.89
6TW7_NZB,5,Separate,5,200,0.285,33,0.32,True,0.3965,0.32,0.629,0.971
6VTA_AKN,8,SigmaDock,25,40,0.0,39,0.05,False,0.9906,,,2.491
6VTA_AKN,8,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,25.228
6VTA_AKN,8,Minimal,25,40,0.0,40,0.025,False,1.0,,,1.719
6VTA_AKN,8,Minimal,5,203,0.0,201,0.0099,False,0.9974,,,1.533
6VTA_AKN,8,Separate,25,40,0.0,40,0.025,False,1.0,,,1.669
6VTA_AKN,8,Separate,5,200,0.0,188,0.01,False,0.9843,,,1.579
6WTN_RXT,4,SigmaDock,25,40,1.0,2,0.95,True,0.0538,0.95,0.197,
6WTN_RXT,4,SigmaDock,5,40,0.2,33,0.1,True,0.9154,0.1,0.525,11.932
6WTN_RXT,4,Minimal,25,40,0.3,5,0.375,False,0.3769,0.3,0.354,0.451
6WTN_RXT,4,Minimal,5,201,0.472636815920398,7,0.4478,True,0.2469,0.4478,0.34,0.419
6WTN_RXT,4,Separate,25,40,0.425,5,0.4,True,0.3418,0.4,0.366,0.503
6WTN_RXT,4,Separate,5,201,0.5621890547263682,4,0.5174,True,0.2159,0.5174,0.332,0.458
6Z4N_Q7B,3,SigmaDock,25,40,0.025,11,0.375,False,0.5191,0.025,0.726,1.192
6Z4N_Q7B,3,SigmaDock,5,40,0.0,39,0.05,False,0.9906,,,14.081
6Z4N_Q7B,3,Minimal,25,40,0.1,19,0.175,False,0.7409,0.075,0.435,1.051
6Z4N_Q7B,3,Minimal,5,200,0.095,60,0.21,False,0.6488,0.035,0.492,0.859
6Z4N_Q7B,3,Separate,25,40,0.075,19,0.175,False,0.7143,0.05,0.4,1.025
6Z4N_Q7B,3,Separate,5,200,0.09,54,0.085,False,0.6699,0.075,0.58,1.053
6ZPB_3D1,3,SigmaDock,25,40,0.425,3,0.45,False,0.2665,0.425,0.577,0.431
6ZPB_3D1,3,SigmaDock,5,40,0.15,34,0.15,True,0.9177,0.15,0.57,12.113
6ZPB_3D1,3,Minimal,25,40,0.225,6,0.525,False,0.3575,0.225,0.425,0.547
6ZPB_3D1,3,Minimal,5,201,0.32338308457711445,9,0.6318,False,0.177,0.3035,0.419,0.454
6ZPB_3D1,3,Separate,25,40,0.725,2,0.75,True,0.1524,0.75,0.43,0.56
6ZPB_3D1,3,Separate,5,201,0.6368159203980099,6,0.6517,True,0.1508,0.6517,0.392,0.487
7B2C_TP7,7,SigmaDock,25,41,0.43902439024390244,5,0.6098,True,0.2838,0.6098,0.978,1.472
7B2C_TP7,7,SigmaDock,5,41,0.024390243902439025,40,0.0488,False,0.9909,0.0244,0.467,7.703
7B2C_TP7,7,Minimal,25,41,0.34146341463414637,9,0.2439,True,0.5185,0.2439,0.797,1.135
7B2C_TP7,7,Minimal,5,203,0.39408866995073893,10,0.4187,True,0.2966,0.4187,0.792,1.083
7B2C_TP7,7,Separate,25,41,0.5609756097560976,6,0.8049,True,0.2149,0.8049,1.064,1.533
7B2C_TP7,7,Separate,5,202,0.5148514851485149,10,0.7624,True,0.188,0.7624,0.884,1.491
7BTT_F8R,8,SigmaDock,25,40,0.35,16,0.35,True,0.6168,0.35,0.446,0.99
7BTT_F8R,8,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,8.729
7BTT_F8R,8,Minimal,25,40,0.2,19,0.25,True,0.6783,0.25,0.652,0.825
7BTT_F8R,8,Minimal,5,200,0.155,63,0.175,True,0.6384,0.175,0.599,0.854
7BTT_F8R,8,Separate,25,40,0.3,13,0.475,True,0.4893,0.475,0.728,1.082
7BTT_F8R,8,Separate,5,200,0.24,54,0.385,True,0.5201,0.385,0.677,0.995
7C3U_AZG,1,SigmaDock,25,41,0.0,5,0.561,False,0.3248,,,0.489
7C3U_AZG,1,SigmaDock,5,41,0.0,18,0.2683,False,0.643,,,23.262
7C3U_AZG,1,Minimal,25,41,0.0,3,0.5366,False,0.2723,,,0.595
7C3U_AZG,1,Minimal,5,201,0.014925373134328358,9,0.5224,False,0.2492,0.01,0.951,0.49
7C3U_AZG,1,Separate,25,40,0.0,4,0.45,False,0.3336,,,0.401
7C3U_AZG,1,Separate,5,200,0.025,8,0.5,False,0.2179,0.025,0.52,0.39
7C8Q_DSG,2,SigmaDock,25,40,0.4,2,0.525,False,0.1876,0.475,0.532,0.561
7C8Q_DSG,2,SigmaDock,5,40,0.15,32,0.125,False,0.8909,0.125,0.607,11.986
7C8Q_DSG,2,Minimal,25,40,0.65,4,0.7,True,0.2116,0.7,0.526,0.75
7C8Q_DSG,2,Minimal,5,201,0.7810945273631841,4,0.8109,True,0.1077,0.8109,0.575,0.739
7C8Q_DSG,2,Separate,25,40,0.25,5,0.5,False,0.3362,0.25,0.483,0.637
7C8Q_DSG,2,Separate,5,200,0.3,7,0.38,False,0.2613,0.36,0.505,0.677
7CD9_FVR,4,SigmaDock,25,40,0.0,19,0.275,False,0.6897,,,2.148
7CD9_FVR,4,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,14.427
7CD9_FVR,4,Minimal,25,40,0.0,29,0.2,False,0.8497,,,1.812
7CD9_FVR,4,Minimal,5,200,0.0,82,0.155,False,0.7228,,,1.753
7CD9_FVR,4,Separate,25,40,0.0,22,0.2,False,0.7557,,,1.991
7CD9_FVR,4,Separate,5,201,0.0,49,0.3483,False,0.5349,,,1.909
7CIJ_G0C,5,SigmaDock,25,40,0.4,3,0.575,False,0.2106,0.4,0.407,1.097
7CIJ_G0C,5,SigmaDock,5,40,0.05,40,0.025,False,1.0,0.025,0.65,12.021
7CIJ_G0C,5,Minimal,25,40,0.1,6,0.625,False,0.3249,0.1,0.489,1.092
7CIJ_G0C,5,Minimal,5,203,0.12807881773399016,9,0.734,False,0.1713,0.133,0.462,1.033
7CIJ_G0C,5,Separate,25,40,0.425,5,0.525,False,0.2661,0.4,0.387,1.125
7CIJ_G0C,5,Separate,5,200,0.365,9,0.5,False,0.2308,0.355,0.323,1.135
7D5C_GV6,6,SigmaDock,25,40,0.95,3,0.875,True,0.1191,0.875,0.325,0.493
