bench,arm,nfe,K,both,acc
PB308,SigmaDock,25,1,23.87,49.43
PB308,SigmaDock,25,2,34.62,56.59
PB308,SigmaDock,25,3,41.04,60.05
PB308,SigmaDock,25,5,48.54,63.76
PB308,SigmaDock,25,10,56.62,67.45
PB308,SigmaDock,25,20,61.72,69.25
PB308,SigmaDock,25,40,64.17,69.06
PB308,SigmaFlow-Minimal,25,1,16.55,43.75
PB308,SigmaFlow-Minimal,25,2,25.82,51.0
PB308,SigmaFlow-Minimal,25,3,32.18,54.9
PB308,SigmaFlow-Minimal,25,5,40.5,59.39
PB308,SigmaFlow-Minimal,25,10,51.13,65.02
PB308,SigmaFlow-Minimal,25,20,60.14,70.12
PB308,SigmaFlow-Minimal,25,40,67.75,74.27
PB308,SigmaFlow-Separate,25,1,18.97,46.8
PB308,SigmaFlow-Separate,25,2,28.88,54.02
PB308,SigmaFlow-Separate,25,3,35.33,57.65
PB308,SigmaFlow-Separate,25,5,43.32,61.55
PB308,SigmaFlow-Separate,25,10,52.76,65.76
PB308,SigmaFlow-Separate,25,20,60.1,68.91
PB308,SigmaFlow-Separate,25,40,65.15,71.34
PB308,SigmaDock,5,1,0.6,6.69
PB308,SigmaDock,5,2,0.99,9.45
PB308,SigmaDock,5,3,1.37,11.48
PB308,SigmaDock,5,5,2.02,14.35
PB308,SigmaDock,5,10,3.24,18.47
PB308,SigmaDock,5,20,4.85,22.15
PB308,SigmaDock,5,40,6.51,24.43
PB308,SigmaFlow-Minimal,5,1,12.76,42.94
PB308,SigmaFlow-Minimal,5,2,20.39,49.77
PB308,SigmaFlow-Minimal,5,3,25.83,53.5
PB308,SigmaFlow-Minimal,5,5,33.22,57.62
PB308,SigmaFlow-Minimal,5,10,43.01,62.31
PB308,SigmaFlow-Minimal,5,20,51.51,66.38
PB308,SigmaFlow-Minimal,5,40,58.72,70.02
PB308,SigmaFlow-Minimal,5,60,62.48,71.95
PB308,SigmaFlow-Minimal,5,100,66.75,74.21
PB308,SigmaFlow-Minimal,5,140,69.33,75.69
PB308,SigmaFlow-Minimal,5,200,71.99,77.2
PB308,SigmaFlow-Separate,5,1,14.92,45.99
PB308,SigmaFlow-Separate,5,2,23.28,52.9
PB308,SigmaFlow-Separate,5,3,29.04,56.46
PB308,SigmaFlow-Separate,5,5,36.64,60.31
PB308,SigmaFlow-Separate,5,10,46.39,64.68
PB308,SigmaFlow-Separate,5,20,54.37,68.26
PB308,SigmaFlow-Separate,5,40,60.44,71.13
PB308,SigmaFlow-Separate,5,60,63.35,72.6
PB308,SigmaFlow-Separate,5,100,66.5,74.26
PB308,SigmaFlow-Separate,5,140,68.34,75.28
PB308,SigmaFlow-Separate,5,200,70.03,76.55
AX85,SigmaDock,25,1,38.35,64.65
AX85,SigmaDock,25,2,49.35,71.3
AX85,SigmaDock,25,3,54.82,73.73
AX85,SigmaDock,25,5,60.86,75.89
AX85,SigmaDock,25,10,67.54,77.84
AX85,SigmaDock,25,20,72.39,79.12
AX85,SigmaDock,25,40,74.12,78.82
AX85,SigmaFlow-Minimal,25,1,28.09,59.94
AX85,SigmaFlow-Minimal,25,2,42.18,68.56
AX85,SigmaFlow-Minimal,25,3,50.56,72.65
AX85,SigmaFlow-Minimal,25,5,60.07,76.63
AX85,SigmaFlow-Minimal,25,10,70.37,80.43
AX85,SigmaFlow-Minimal,25,20,77.34,83.03
AX85,SigmaFlow-Minimal,25,40,81.18,85.88
AX85,SigmaFlow-Separate,25,1,31.26,62.68
AX85,SigmaFlow-Separate,25,2,45.57,70.49
AX85,SigmaFlow-Separate,25,3,53.8,73.94
AX85,SigmaFlow-Separate,25,5,63.12,77.38
AX85,SigmaFlow-Separate,25,10,73.29,81.24
AX85,SigmaFlow-Separate,25,20,79.65,84.09
AX85,SigmaFlow-Separate,25,40,81.18,84.71
AX85,SigmaDock,5,1,0.94,10.0
AX85,SigmaDock,5,2,1.6,14.33
AX85,SigmaDock,5,3,2.21,17.42
AX85,SigmaDock,5,5,3.19,21.6
AX85,SigmaDock,5,10,4.69,26.7
AX85,SigmaDock,5,20,6.1,29.53
AX85,SigmaDock,5,40,8.24,29.41
AX85,SigmaFlow-Minimal,5,1,22.96,60.29
AX85,SigmaFlow-Minimal,5,2,35.99,68.37
AX85,SigmaFlow-Minimal,5,3,44.29,72.26
AX85,SigmaFlow-Minimal,5,5,54.1,75.97
AX85,SigmaFlow-Minimal,5,10,64.92,79.28
AX85,SigmaFlow-Minimal,5,20,72.8,81.53
AX85,SigmaFlow-Minimal,5,40,78.24,83.49
AX85,SigmaFlow-Minimal,5,60,80.64,84.61
AX85,SigmaFlow-Minimal,5,100,83.34,86.14
AX85,SigmaFlow-Minimal,5,140,84.9,87.24
AX85,SigmaFlow-Minimal,5,200,85.88,88.24
AX85,SigmaFlow-Separate,5,1,26.03,63.43
AX85,SigmaFlow-Separate,5,2,39.67,71.07
AX85,SigmaFlow-Separate,5,3,48.01,74.59
AX85,SigmaFlow-Separate,5,5,57.67,78.05
AX85,SigmaFlow-Separate,5,10,68.41,81.57
AX85,SigmaFlow-Separate,5,20,76.51,84.16
AX85,SigmaFlow-Separate,5,40,81.99,86.23
AX85,SigmaFlow-Separate,5,60,84.49,87.38
AX85,SigmaFlow-Separate,5,100,87.33,88.96
AX85,SigmaFlow-Separate,5,140,89.21,90.17
AX85,SigmaFlow-Separate,5,200,91.76,91.76
