bench,arm,nfe,K,beides,acc
pb308,SigmaDock,25,1,24.03,50.58
pb308,SigmaDock,25,2,35.09,58.0
pb308,SigmaDock,25,3,41.75,61.44
pb308,SigmaDock,25,5,49.55,64.93
pb308,SigmaDock,25,10,58.15,68.33
pb308,SigmaDock,25,20,63.82,70.06
pb308,SigmaDock,25,40,67.1,70.03
pb308,Minimal,25,1,16.64,44.67
pb308,Minimal,25,2,26.27,51.99
pb308,Minimal,25,3,32.91,55.78
pb308,Minimal,25,5,41.69,60.37
pb308,Minimal,25,10,52.61,65.84
pb308,Minimal,25,20,61.89,70.39
pb308,Minimal,25,40,69.38,73.29
pb308,Separate,25,1,19.14,47.88
pb308,Separate,25,2,29.54,55.06
pb308,Separate,25,3,36.32,58.66
pb308,Separate,25,5,44.71,62.49
pb308,Separate,25,10,54.57,66.39
pb308,Separate,25,20,61.74,69.19
pb308,Separate,25,40,65.8,71.34
pb308,SigmaDock,5,1,0.58,7.02
pb308,SigmaDock,5,2,1.1,10.59
pb308,SigmaDock,5,3,1.55,12.94
pb308,SigmaDock,5,5,2.3,16.35
pb308,SigmaDock,5,10,3.7,21.32
pb308,SigmaDock,5,20,5.58,26.74
pb308,SigmaDock,5,40,7.49,32.25
pb308,Minimal,5,1,12.93,44.05
pb308,Minimal,5,2,20.94,51.21
pb308,Minimal,5,3,26.67,55.03
pb308,Minimal,5,5,34.49,59.17
pb308,Minimal,5,10,44.75,63.76
pb308,Minimal,5,20,53.41,67.5
pb308,Minimal,5,40,60.66,70.58
pb308,Minimal,5,60,64.43,72.18
pb308,Minimal,5,100,68.59,73.98
pb308,Minimal,5,140,71.05,75.06
pb308,Minimal,5,200,73.62,76.22
pb308,Separate,5,1,15.12,47.03
pb308,Separate,5,2,23.83,54.42
pb308,Separate,5,3,29.79,58.03
pb308,Separate,5,5,37.65,61.91
pb308,Separate,5,10,47.69,66.03
pb308,Separate,5,20,55.78,69.33
pb308,Separate,5,40,61.92,72.05
pb308,Separate,5,60,64.88,73.49
pb308,Separate,5,100,67.98,74.97
pb308,Separate,5,140,69.61,75.61
pb308,Separate,5,200,71.01,76.22
astex,SigmaDock,25,1,38.51,65.26
astex,SigmaDock,25,2,49.73,72.36
astex,SigmaDock,25,3,55.44,74.86
astex,SigmaDock,25,5,61.73,76.97
astex,SigmaDock,25,10,68.61,78.86
astex,SigmaDock,25,20,73.35,80.04
astex,SigmaDock,25,40,75.29,78.82
astex,Minimal,25,1,28.24,60.46
astex,Minimal,25,2,42.63,69.07
astex,Minimal,25,3,51.2,73.03
astex,Minimal,25,5,61.25,77.05
astex,Minimal,25,10,71.72,80.78
astex,Minimal,25,20,78.71,83.09
astex,Minimal,25,40,82.35,84.71
astex,Separate,25,1,31.28,63.41
astex,Separate,25,2,46.03,71.38
astex,Separate,25,3,54.63,74.95
astex,Separate,25,5,64.12,78.27
astex,Separate,25,10,74.03,81.62
astex,Separate,25,20,80.41,83.8
astex,Separate,25,40,82.35,83.53
astex,SigmaDock,5,1,0.93,10.21
astex,SigmaDock,5,2,1.71,15.39
astex,SigmaDock,5,3,2.41,19.0
astex,SigmaDock,5,5,3.52,23.88
astex,SigmaDock,5,10,5.2,29.4
astex,SigmaDock,5,20,6.68,33.05
astex,SigmaDock,5,40,8.24,37.65
astex,Minimal,5,1,23.31,61.05
astex,Minimal,5,2,36.67,69.11
astex,Minimal,5,3,44.98,73.06
astex,Minimal,5,5,54.68,76.85
astex,Minimal,5,10,65.84,80.46
astex,Minimal,5,20,74.18,82.84
astex,Minimal,5,40,79.92,84.58
astex,Minimal,5,60,82.67,85.67
astex,Minimal,5,100,85.75,87.16
astex,Minimal,5,140,87.78,88.37
astex,Minimal,5,200,89.41,89.41
astex,Separate,5,1,26.36,64.17
astex,Separate,5,2,40.42,71.97
astex,Separate,5,3,48.86,75.66
astex,Separate,5,5,58.53,79.11
astex,Separate,5,10,69.46,82.32
astex,Separate,5,20,77.53,84.39
astex,Separate,5,40,83.03,86.18
astex,Separate,5,60,85.4,87.19
astex,Separate,5,100,88.33,88.89
astex,Separate,5,140,90.26,90.4
astex,Separate,5,200,92.94,92.94
