bench,arm,nfe,K,beides,acc
pb308,SigmaDock,25,1,24.02,50.56
pb308,SigmaDock,25,2,36.2,64.45
pb308,SigmaDock,25,3,44.01,71.35
pb308,SigmaDock,25,5,53.68,78.45
pb308,SigmaDock,25,10,64.97,85.49
pb308,SigmaDock,25,20,73.38,90.15
pb308,SigmaDock,25,40,79.15,93.16
pb308,Minimal,25,1,16.64,44.71
pb308,Minimal,25,2,27.5,61.37
pb308,Minimal,25,3,35.21,70.03
pb308,Minimal,25,5,45.67,78.7
pb308,Minimal,25,10,59.07,86.54
pb308,Minimal,25,20,70.17,91.33
pb308,Minimal,25,40,78.5,93.49
pb308,Separate,25,1,19.16,47.9
pb308,Separate,25,2,30.77,64.01
pb308,Separate,25,3,38.68,71.79
pb308,Separate,25,5,48.84,79.34
pb308,Separate,25,10,61.21,86.14
pb308,Separate,25,20,70.51,91.02
pb308,Separate,25,40,77.2,94.79
pb308,SigmaDock,5,1,0.63,7.12
pb308,SigmaDock,5,2,1.17,12.69
pb308,SigmaDock,5,3,1.69,17.23
pb308,SigmaDock,5,5,2.6,24.53
pb308,SigmaDock,5,10,4.47,36.71
pb308,SigmaDock,5,20,7.23,49.66
pb308,SigmaDock,5,40,10.75,60.59
pb308,Minimal,5,1,12.89,44.09
pb308,Minimal,5,2,21.71,60.27
pb308,Minimal,5,3,28.32,68.7
pb308,Minimal,5,5,37.47,77.2
pb308,Minimal,5,10,50.06,85.22
pb308,Minimal,5,20,61.1,90.55
pb308,Minimal,5,40,70.09,94.05
pb308,Minimal,5,60,74.63,95.41
pb308,Minimal,5,100,79.57,96.67
pb308,Minimal,5,140,82.35,97.29
pb308,Minimal,5,200,85.02,97.72
pb308,Separate,5,1,15.02,47.03
pb308,Separate,5,2,24.69,62.6
pb308,Separate,5,3,31.48,70.29
pb308,Separate,5,5,40.7,77.97
pb308,Separate,5,10,52.78,84.84
pb308,Separate,5,20,62.7,89.51
pb308,Separate,5,40,70.26,92.96
pb308,Separate,5,60,73.96,94.59
pb308,Separate,5,100,78.14,96.22
pb308,Separate,5,140,80.43,97.02
pb308,Separate,5,200,82.41,97.72
astex,SigmaDock,25,1,38.43,65.56
astex,SigmaDock,25,2,51.35,78.68
astex,SigmaDock,25,3,58.25,84.19
astex,SigmaDock,25,5,66.52,89.0
astex,SigmaDock,25,10,76.44,92.71
astex,SigmaDock,25,20,84.13,94.28
astex,SigmaDock,25,40,89.41,95.29
astex,Minimal,25,1,28.37,60.58
astex,Minimal,25,2,44.43,78.6
astex,Minimal,25,3,54.5,86.48
astex,Minimal,25,5,66.43,93.23
astex,Minimal,25,10,79.82,97.65
astex,Minimal,25,20,88.32,98.75
astex,Minimal,25,40,91.76,98.82
astex,Separate,25,1,31.56,63.52
astex,Separate,25,2,47.58,78.99
astex,Separate,25,3,57.17,85.36
astex,Separate,25,5,68.43,91.08
astex,Separate,25,10,81.08,95.69
astex,Separate,25,20,90.11,97.97
astex,Separate,25,40,94.12,98.82
astex,SigmaDock,5,1,0.95,10.19
astex,SigmaDock,5,2,1.81,18.12
astex,SigmaDock,5,3,2.6,24.4
astex,SigmaDock,5,5,3.92,33.57
astex,SigmaDock,5,10,6.3,46.54
astex,SigmaDock,5,20,8.87,58.11
astex,SigmaDock,5,40,11.76,68.24
astex,Minimal,5,1,23.07,60.96
astex,Minimal,5,2,37.43,78.92
astex,Minimal,5,3,47.11,86.59
astex,Minimal,5,5,59.11,92.91
astex,Minimal,5,10,73.01,96.68
astex,Minimal,5,20,83.24,97.81
astex,Minimal,5,40,90.3,98.31
astex,Minimal,5,60,93.41,98.55
astex,Minimal,5,100,96.3,98.75
astex,Minimal,5,140,97.75,98.82
astex,Minimal,5,200,98.82,98.82
astex,Separate,5,1,26.18,63.9
astex,Separate,5,2,40.82,80.07
astex,Separate,5,3,50.16,86.6
astex,Separate,5,5,61.3,91.99
astex,Separate,5,10,73.98,95.89
astex,Separate,5,20,83.95,97.63
astex,Separate,5,40,90.73,98.69
astex,Separate,5,60,93.7,99.08
astex,Separate,5,100,96.59,99.43
astex,Separate,5,140,97.87,99.65
astex,Separate,5,200,98.82,100.0
