arm,nfe,complex,mixed,f24+gnina,A a0.25@0.5,A a0.5@0.5,A a1.0@0.5,A a2.0@0.5,A a4.0@0.5,B a0.5@0.5,B a1.0@0.5,B a2.0@0.5,B a4.0@0.5,C b0.1@0.5,C b0.25@0.5,C b0.5@0.5,D q0.25@0.5,D q0.5@0.5,D q0.75@0.5,D q1.0@0.5,E w0.5@0.5,E w0.75@0.5,E w0.9@0.5,F g0.1@0.5,F g0.25@0.5,F g0.5@0.5,AC 0.5/0.1@0.5,AC 1.0/0.1@0.5,AC 0.5/0.25@0.5,A a0.25@1.0,A a0.5@1.0,A a1.0@1.0,A a2.0@1.0,A a4.0@1.0,B a0.5@1.0,B a1.0@1.0,B a2.0@1.0,B a4.0@1.0,C b0.1@1.0,C b0.25@1.0,C b0.5@1.0,D q0.25@1.0,D q0.5@1.0,D q0.75@1.0,D q1.0@1.0,E w0.5@1.0,E w0.75@1.0,E w0.9@1.0,F g0.1@1.0,F g0.25@1.0,F g0.5@1.0,AC 0.5/0.1@1.0,AC 1.0/0.1@1.0,AC 0.5/0.25@1.0,A a0.25@2.0,A a0.5@2.0,A a1.0@2.0,A a2.0@2.0,A a4.0@2.0,B a0.5@2.0,B a1.0@2.0,B a2.0@2.0,B a4.0@2.0,C b0.1@2.0,C b0.25@2.0,C b0.5@2.0,D q0.25@2.0,D q0.5@2.0,D q0.75@2.0,D q1.0@2.0,E w0.5@2.0,E w0.75@2.0,E w0.9@2.0,F g0.1@2.0,F g0.25@2.0,F g0.5@2.0,AC 0.5/0.1@2.0,AC 1.0/0.1@2.0,AC 0.5/0.25@2.0
SigmaDock,25,1G9V_RQ3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True
SigmaDock,25,1GKC_NFH,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True
SigmaDock,25,1GM8_SOX,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1GPK_HUP,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1HNN_SKF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
SigmaDock,25,1HP0_AD3,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1HQ2_PH2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1HVY_D16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,True,True,True
SigmaDock,25,1HWI_115,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1HWW_SWA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
