arm,nfe,K,ziehungen,konz,konz_trifft,konz_daneben,moden,entropie,auc,auc_sd,top1
Minimal,5,2,1000,0.6778,0.761,0.5974,1.64,0.6445,0.6645,0.0518,49.1
Minimal,5,3,1000,0.6142,0.7188,0.5009,2.16,0.6103,0.734,0.0518,52.0
Minimal,5,5,1000,0.5575,0.6643,0.4231,3.0,0.5702,0.7705,0.0476,55.73
Minimal,5,10,1000,0.5121,0.6193,0.3543,4.63,0.5191,0.7978,0.0433,59.54
Minimal,5,20,1000,0.4887,0.5902,0.3147,7.18,0.4734,0.8055,0.044,63.13
Minimal,5,40,1000,0.4746,0.5648,0.2895,11.35,0.4351,0.8022,0.0417,67.23
Minimal,5,60,1000,0.4697,0.5506,0.2827,14.96,0.415,0.7931,0.0423,69.79
Minimal,5,100,1000,0.4654,0.5356,0.2757,21.33,0.3925,0.784,0.0434,72.99
Minimal,5,140,1000,0.4639,0.5291,0.2681,27.0,0.3788,0.7847,0.0382,75.03
Minimal,5,200,1,0.4612,0.5313,0.2378,34.79,0.3665,0.8094,,76.12
Separate,5,2,1000,0.688,0.7699,0.6023,1.62,0.6239,0.6687,0.0511,51.13
Separate,5,3,1000,0.6278,0.7293,0.5078,2.12,0.5907,0.7381,0.0498,54.15
Separate,5,5,1000,0.5745,0.6819,0.4295,2.92,0.5505,0.7805,0.0471,57.45
Separate,5,10,1000,0.5311,0.6378,0.3591,4.47,0.4997,0.8083,0.042,61.72
Separate,5,20,1000,0.5097,0.6141,0.317,6.9,0.4551,0.8229,0.0406,64.84
Separate,5,40,1000,0.4982,0.6011,0.293,10.9,0.4173,0.8293,0.037,66.61
Separate,5,60,1000,0.4943,0.5939,0.2847,14.37,0.3981,0.8266,0.0341,67.78
Separate,5,100,1000,0.4916,0.5872,0.2765,20.51,0.3759,0.8243,0.0294,69.22
Separate,5,140,1000,0.491,0.5819,0.2758,26.03,0.3625,0.8173,0.0245,70.31
Separate,5,200,1,0.4907,0.5748,0.2782,33.58,0.3492,0.807,,71.64
