fragments,state_dimension,n_ligands,pct,cum_pct,sigmaflow_oracle10_pct,sigmadock_oracle10_pct,sigmaflow_median_best_rmsd,sigmadock_median_best_rmsd
1,6,5,2.4,2.4,60.0,100.0,1.24,1.12
2,12,34,16.3,18.8,64.7,79.4,1.71,1.45
3,18,41,19.7,38.5,48.8,68.3,2.02,1.72
4,24,29,13.9,52.4,17.2,44.8,2.68,2.22
5,30,42,20.2,72.6,21.4,40.5,2.69,2.05
6,36,18,8.7,81.2,22.2,33.3,2.68,2.44
7,42,16,7.7,88.9,0.0,12.5,3.40,3.38
8,48,15,7.2,96.2,0.0,6.7,4.01,3.29
9,54,5,2.4,98.6,0.0,0.0,5.06,3.89
10,60,1,0.5,99.0,0.0,0.0,2.97,3.71
11,66,2,1.0,100.0,0.0,0.0,4.08,3.70
