arm,score_bias,pb_exponent,k,hit_rmsd_lt_2A_pct
Minimal,0.0,0.5,80,25.3589
Minimal,0.0,1.0,80,26.3158
Minimal,0.0,2.0,80,27.7512
Minimal,0.0,4.0,80,27.2727
Minimal,0.25,0.5,80,24.8804
Minimal,0.25,1.0,80,25.8373
Minimal,0.25,2.0,80,27.7512
Minimal,0.25,4.0,80,28.2297
Minimal,0.5,0.5,80,24.8804
Minimal,0.5,1.0,80,25.3589
Minimal,0.5,2.0,80,27.2727
Minimal,0.5,4.0,80,28.2297
Minimal,1.0,0.5,80,25.3589
Minimal,1.0,1.0,80,25.3589
Minimal,1.0,2.0,80,25.8373
Minimal,1.0,4.0,80,27.7512
Minimal,2.0,0.5,80,25.3589
Minimal,2.0,1.0,80,24.8804
Minimal,2.0,2.0,80,25.3589
Minimal,2.0,4.0,80,26.3158
Minimal,4.0,0.5,80,25.3589
Minimal,4.0,1.0,80,25.3589
Minimal,4.0,2.0,80,24.8804
Minimal,4.0,4.0,80,25.3589
Separate,0.0,0.5,80,25.3589
Separate,0.0,1.0,80,26.3158
Separate,0.0,2.0,80,24.8804
Separate,0.0,4.0,80,26.7943
Separate,0.25,0.5,80,25.3589
Separate,0.25,1.0,80,25.8373
Separate,0.25,2.0,80,25.3589
Separate,0.25,4.0,80,26.3158
Separate,0.5,0.5,80,25.3589
Separate,0.5,1.0,80,25.3589
Separate,0.5,2.0,80,25.3589
Separate,0.5,4.0,80,24.8804
Separate,1.0,0.5,80,25.3589
Separate,1.0,1.0,80,25.3589
Separate,1.0,2.0,80,26.3158
Separate,1.0,4.0,80,25.3589
Separate,2.0,0.5,80,25.3589
Separate,2.0,1.0,80,25.3589
Separate,2.0,2.0,80,25.3589
Separate,2.0,4.0,80,25.8373
Separate,4.0,0.5,80,25.3589
Separate,4.0,1.0,80,25.3589
Separate,4.0,2.0,80,25.3589
Separate,4.0,4.0,80,25.3589
SigmaDock,0.0,0.5,80,37.7990
SigmaDock,0.0,1.0,80,37.7990
SigmaDock,0.0,2.0,80,38.2775
SigmaDock,0.0,4.0,80,37.7990
SigmaDock,0.25,0.5,80,37.3206
SigmaDock,0.25,1.0,80,37.7990
SigmaDock,0.25,2.0,80,37.3206
SigmaDock,0.25,4.0,80,36.8421
SigmaDock,0.5,0.5,80,37.3206
SigmaDock,0.5,1.0,80,37.3206
SigmaDock,0.5,2.0,80,37.3206
SigmaDock,0.5,4.0,80,37.3206
SigmaDock,1.0,0.5,80,37.3206
SigmaDock,1.0,1.0,80,37.3206
SigmaDock,1.0,2.0,80,37.7990
SigmaDock,1.0,4.0,80,37.7990
SigmaDock,2.0,0.5,80,37.7990
SigmaDock,2.0,1.0,80,37.3206
SigmaDock,2.0,2.0,80,37.3206
SigmaDock,2.0,4.0,80,37.7990
SigmaDock,4.0,0.5,80,37.3206
SigmaDock,4.0,1.0,80,37.7990
SigmaDock,4.0,2.0,80,37.3206
SigmaDock,4.0,4.0,80,37.3206
