arm,score_bias,pb_exponent,k,hit_rmsd_lt_2A_pct
Minimal,0.0,0.5,80,25.8373
Minimal,0.0,1.0,80,26.3158
Minimal,0.0,2.0,80,26.7943
Minimal,0.0,4.0,80,25.8373
Minimal,0.25,0.5,80,26.3158
Minimal,0.25,1.0,80,26.7943
Minimal,0.25,2.0,80,25.8373
Minimal,0.25,4.0,80,25.3589
Minimal,0.5,0.5,80,26.3158
Minimal,0.5,1.0,80,25.8373
Minimal,0.5,2.0,80,26.3158
Minimal,0.5,4.0,80,25.3589
Minimal,1.0,0.5,80,26.3158
Minimal,1.0,1.0,80,25.8373
Minimal,1.0,2.0,80,26.3158
Minimal,1.0,4.0,80,25.8373
Minimal,2.0,0.5,80,26.3158
Minimal,2.0,1.0,80,26.3158
Minimal,2.0,2.0,80,25.8373
Minimal,2.0,4.0,80,26.3158
Minimal,4.0,0.5,80,26.3158
Minimal,4.0,1.0,80,26.3158
Minimal,4.0,2.0,80,26.3158
Minimal,4.0,4.0,80,25.8373
Separate,0.0,0.5,80,28.7081
Separate,0.0,1.0,80,29.1866
Separate,0.0,2.0,80,28.7081
Separate,0.0,4.0,80,30.1435
Separate,0.25,0.5,80,27.2727
Separate,0.25,1.0,80,29.1866
Separate,0.25,2.0,80,28.7081
Separate,0.25,4.0,80,29.6651
Separate,0.5,0.5,80,26.7943
Separate,0.5,1.0,80,28.2297
Separate,0.5,2.0,80,28.7081
Separate,0.5,4.0,80,28.7081
Separate,1.0,0.5,80,27.2727
Separate,1.0,1.0,80,28.2297
Separate,1.0,2.0,80,29.1866
Separate,1.0,4.0,80,29.1866
Separate,2.0,0.5,80,27.2727
Separate,2.0,1.0,80,26.7943
Separate,2.0,2.0,80,28.7081
Separate,2.0,4.0,80,28.7081
Separate,4.0,0.5,80,27.2727
Separate,4.0,1.0,80,27.2727
Separate,4.0,2.0,80,26.7943
Separate,4.0,4.0,80,29.1866
SigmaDock,0.0,0.5,80,22.4880
SigmaDock,0.0,1.0,80,22.0096
SigmaDock,0.0,2.0,80,23.4450
SigmaDock,0.0,4.0,80,24.4019
SigmaDock,0.25,0.5,80,22.9665
SigmaDock,0.25,1.0,80,22.4880
SigmaDock,0.25,2.0,80,23.9234
SigmaDock,0.25,4.0,80,24.4019
SigmaDock,0.5,0.5,80,22.4880
SigmaDock,0.5,1.0,80,22.9665
SigmaDock,0.5,2.0,80,22.9665
SigmaDock,0.5,4.0,80,24.4019
SigmaDock,1.0,0.5,80,22.4880
SigmaDock,1.0,1.0,80,22.4880
SigmaDock,1.0,2.0,80,22.4880
SigmaDock,1.0,4.0,80,23.4450
SigmaDock,2.0,0.5,80,22.9665
SigmaDock,2.0,1.0,80,22.4880
SigmaDock,2.0,2.0,80,22.9665
SigmaDock,2.0,4.0,80,22.0096
SigmaDock,4.0,0.5,80,22.9665
SigmaDock,4.0,1.0,80,22.9665
SigmaDock,4.0,2.0,80,22.4880
SigmaDock,4.0,4.0,80,22.9665
