arm,score_bias,pb_exponent,k,hit_rmsd_lt_2A_pct
Minimal,0.0,0.5,40,19.6172
Minimal,0.0,1.0,40,20.0957
Minimal,0.0,2.0,40,19.6172
Minimal,0.0,4.0,40,19.6172
Minimal,0.25,0.5,40,19.1388
Minimal,0.25,1.0,40,19.6172
Minimal,0.25,2.0,40,20.0957
Minimal,0.25,4.0,40,20.0957
Minimal,0.5,0.5,40,19.1388
Minimal,0.5,1.0,40,19.6172
Minimal,0.5,2.0,40,20.0957
Minimal,0.5,4.0,40,20.0957
Minimal,1.0,0.5,40,19.1388
Minimal,1.0,1.0,40,19.6172
Minimal,1.0,2.0,40,20.0957
Minimal,1.0,4.0,40,20.0957
Minimal,2.0,0.5,40,19.1388
Minimal,2.0,1.0,40,19.1388
Minimal,2.0,2.0,40,19.6172
Minimal,2.0,4.0,40,20.0957
Minimal,4.0,0.5,40,19.6172
Minimal,4.0,1.0,40,19.1388
Minimal,4.0,2.0,40,19.1388
Minimal,4.0,4.0,40,19.6172
Separate,0.0,0.5,40,22.4880
Separate,0.0,1.0,40,22.0096
Separate,0.0,2.0,40,22.4880
Separate,0.0,4.0,40,22.9665
Separate,0.25,0.5,40,22.9665
Separate,0.25,1.0,40,22.0096
Separate,0.25,2.0,40,22.4880
Separate,0.25,4.0,40,22.4880
Separate,0.5,0.5,40,22.9665
Separate,0.5,1.0,40,22.0096
Separate,0.5,2.0,40,22.0096
Separate,0.5,4.0,40,22.0096
Separate,1.0,0.5,40,22.4880
Separate,1.0,1.0,40,22.4880
Separate,1.0,2.0,40,22.0096
Separate,1.0,4.0,40,21.5311
Separate,2.0,0.5,40,22.9665
Separate,2.0,1.0,40,22.9665
Separate,2.0,2.0,40,22.0096
Separate,2.0,4.0,40,22.0096
Separate,4.0,0.5,40,22.9665
Separate,4.0,1.0,40,22.4880
Separate,4.0,2.0,40,22.9665
Separate,4.0,4.0,40,22.4880
SigmaDock,0.0,0.5,40,2.3923
SigmaDock,0.0,1.0,40,1.9139
SigmaDock,0.0,2.0,40,1.9139
SigmaDock,0.0,4.0,40,1.9139
SigmaDock,0.25,0.5,40,2.3923
SigmaDock,0.25,1.0,40,2.3923
SigmaDock,0.25,2.0,40,1.9139
SigmaDock,0.25,4.0,40,1.9139
SigmaDock,0.5,0.5,40,2.3923
SigmaDock,0.5,1.0,40,2.3923
SigmaDock,0.5,2.0,40,1.9139
SigmaDock,0.5,4.0,40,1.9139
SigmaDock,1.0,0.5,40,2.3923
SigmaDock,1.0,1.0,40,2.3923
SigmaDock,1.0,2.0,40,1.9139
SigmaDock,1.0,4.0,40,1.9139
SigmaDock,2.0,0.5,40,2.3923
SigmaDock,2.0,1.0,40,2.3923
SigmaDock,2.0,2.0,40,2.3923
SigmaDock,2.0,4.0,40,1.9139
SigmaDock,4.0,0.5,40,2.3923
SigmaDock,4.0,1.0,40,2.3923
SigmaDock,4.0,2.0,40,2.3923
SigmaDock,4.0,4.0,40,2.3923
