arm,metric,pct,ci_lo,ci_hi,n_poses
Minimal,rmsd_lt_1.0A,0.3828,0.2999,0.4885,16720
Minimal,rmsd_lt_2.0A,5.4306,5.0972,5.7845,16720
Minimal,rmsd_lt_2.5A,11.5371,11.0616,12.0302,16720
Minimal,rmsd_lt_3.0A,19.7189,19.1228,20.3289,16720
Minimal,pb_valid_no_protein,33.8935,33.1798,34.6147,16720
Minimal,pb_valid_with_protein,6.8900,6.5158,7.2839,16720
Minimal,lt2A_and_valid_no_protein,4.0072,3.7203,4.3152,16720
Minimal,lt2A_and_valid_with_protein,1.3876,1.2211,1.5764,16720
Separate,rmsd_lt_1.0A,0.4246,0.3368,0.5352,16720
Separate,rmsd_lt_2.0A,5.8553,5.5094,6.2214,16720
Separate,rmsd_lt_2.5A,12.0754,11.5901,12.5780,16720
Separate,rmsd_lt_3.0A,20.5144,19.9091,21.1332,16720
Separate,pb_valid_no_protein,35.0179,34.2984,35.7444,16720
Separate,pb_valid_with_protein,6.9677,6.5916,7.3636,16720
Separate,lt2A_and_valid_no_protein,4.3122,4.0146,4.6307,16720
Separate,lt2A_and_valid_with_protein,1.3696,1.2043,1.5573,16720
SigmaDock,rmsd_lt_1.0A,0.8313,0.7046,0.9807,16720
SigmaDock,rmsd_lt_2.0A,10.3409,9.8884,10.8116,16720
SigmaDock,rmsd_lt_2.5A,18.3373,17.7580,18.9311,16720
SigmaDock,rmsd_lt_3.0A,27.3923,26.7216,28.0735,16720
SigmaDock,pb_valid_no_protein,28.4330,27.7543,29.1217,16720
SigmaDock,pb_valid_with_protein,6.1902,5.8349,6.5656,16720
SigmaDock,lt2A_and_valid_no_protein,5.7117,5.3700,6.0738,16720
SigmaDock,lt2A_and_valid_with_protein,1.6447,1.4628,1.8489,16720
