arm,metric,pct,ci_lo,ci_hi,n_poses
Minimal,rmsd_lt_1.0A,0.2871,0.1930,0.4268,8360
Minimal,rmsd_lt_2.0A,4.8445,4.4046,5.3258,8360
Minimal,rmsd_lt_2.5A,10.9211,10.2703,11.6077,8360
Minimal,rmsd_lt_3.0A,18.8038,17.9806,19.6557,8360
Minimal,pb_valid_no_protein,16.4474,15.6682,17.2574,8360
Minimal,pb_valid_with_protein,4.5096,4.0852,4.9757,8360
Minimal,lt2A_and_valid_no_protein,2.2129,1.9188,2.5509,8360
Minimal,lt2A_and_valid_with_protein,0.8373,0.6633,1.0565,8360
Separate,rmsd_lt_1.0A,0.3349,0.2318,0.4836,8360
Separate,rmsd_lt_2.0A,5.4904,5.0223,5.9995,8360
Separate,rmsd_lt_2.5A,11.6029,10.9339,12.3071,8360
Separate,rmsd_lt_3.0A,20.8493,19.9920,21.7334,8360
Separate,pb_valid_no_protein,16.7823,15.9965,17.5986,8360
Separate,pb_valid_with_protein,4.5694,4.1422,5.0383,8360
Separate,lt2A_and_valid_no_protein,2.3445,2.0414,2.6914,8360
Separate,lt2A_and_valid_with_protein,0.8493,0.6739,1.0698,8360
SigmaDock,rmsd_lt_1.0A,0.0718,0.0329,0.1565,8360
SigmaDock,rmsd_lt_2.0A,0.7297,0.5685,0.9361,8360
SigmaDock,rmsd_lt_2.5A,1.6268,1.3770,1.9210,8360
SigmaDock,rmsd_lt_3.0A,3.0861,2.7364,3.4789,8360
SigmaDock,pb_valid_no_protein,5.4426,4.9764,5.9497,8360
SigmaDock,pb_valid_with_protein,0.6220,0.4747,0.8147,8360
SigmaDock,lt2A_and_valid_no_protein,0.3589,0.2515,0.5118,8360
SigmaDock,lt2A_and_valid_with_protein,0.1196,0.0650,0.2201,8360
