arm,metric,pct,ci_lo,ci_hi,n_poses
Minimal,rmsd_lt_1.0A,0.3469,0.2685,0.4481,16720
Minimal,rmsd_lt_2.0A,5.4486,5.1146,5.8030,16720
Minimal,rmsd_lt_2.5A,11.5311,11.0558,12.0241,16720
Minimal,rmsd_lt_3.0A,19.7847,19.1878,20.3955,16720
Minimal,pb_valid_no_protein,33.7141,33.0014,34.4343,16720
Minimal,pb_valid_with_protein,6.6208,6.2538,7.0078,16720
Minimal,lt2A_and_valid_no_protein,3.9773,3.6915,4.2842,16720
Minimal,lt2A_and_valid_with_protein,1.2261,1.0701,1.4044,16720
Separate,rmsd_lt_1.0A,0.3888,0.3052,0.4952,16720
Separate,rmsd_lt_2.0A,5.8373,5.4920,6.2029,16720
Separate,rmsd_lt_2.5A,12.0873,11.6019,12.5902,16720
Separate,rmsd_lt_3.0A,20.4964,19.8913,21.1150,16720
Separate,pb_valid_no_protein,34.8864,34.1675,35.6122,16720
Separate,pb_valid_with_protein,7.1651,6.7839,7.5659,16720
Separate,lt2A_and_valid_no_protein,4.3002,4.0031,4.6184,16720
Separate,lt2A_and_valid_with_protein,1.4414,1.2716,1.6335,16720
SigmaDock,rmsd_lt_1.0A,0.4366,0.3474,0.5486,16720
SigmaDock,rmsd_lt_2.0A,6.2859,5.9279,6.6639,16720
SigmaDock,rmsd_lt_2.5A,12.3206,11.8310,12.8274,16720
SigmaDock,rmsd_lt_3.0A,20.3110,19.7080,20.9276,16720
SigmaDock,pb_valid_no_protein,28.2775,27.5999,28.9651,16720
SigmaDock,pb_valid_with_protein,5.8373,5.4920,6.2029,16720
SigmaDock,lt2A_and_valid_no_protein,3.6722,3.3976,3.9681,16720
SigmaDock,lt2A_and_valid_with_protein,1.0885,0.9421,1.2574,16720
