arm,metric,pct,ci_lo,ci_hi,n_poses
Minimal,rmsd_lt_1.0A,0.2033,0.1270,0.3254,8360
Minimal,rmsd_lt_2.0A,5.4187,4.9535,5.9247,8360
Minimal,rmsd_lt_2.5A,11.7943,11.1203,12.5033,8360
Minimal,rmsd_lt_3.0A,20.6699,19.8154,21.5513,8360
Minimal,pb_valid_no_protein,16.2799,15.5040,17.0868,8360
Minimal,pb_valid_with_protein,4.0191,3.6188,4.4617,8360
Minimal,lt2A_and_valid_no_protein,2.5718,2.2536,2.9335,8360
Minimal,lt2A_and_valid_with_protein,0.8014,0.6316,1.0165,8360
Separate,rmsd_lt_1.0A,0.3110,0.2123,0.4553,8360
Separate,rmsd_lt_2.0A,5.5144,5.0452,6.0244,8360
Separate,rmsd_lt_2.5A,12.0813,11.4001,12.7974,8360
Separate,rmsd_lt_3.0A,21.1005,20.2392,21.9883,8360
Separate,pb_valid_no_protein,16.9976,16.2076,17.8179,8360
Separate,pb_valid_with_protein,4.9641,4.5188,5.4508,8360
Separate,lt2A_and_valid_no_protein,2.6316,2.3096,2.9971,8360
Separate,lt2A_and_valid_with_protein,1.0048,0.8124,1.2422,8360
SigmaDock,rmsd_lt_1.0A,0.0120,0.0021,0.0677,8360
SigmaDock,rmsd_lt_2.0A,0.5383,0.4025,0.7194,8360
SigmaDock,rmsd_lt_2.5A,1.3995,1.1691,1.6746,8360
SigmaDock,rmsd_lt_3.0A,2.6077,2.2872,2.9717,8360
SigmaDock,pb_valid_no_protein,5.1555,4.7017,5.6505,8360
SigmaDock,pb_valid_with_protein,0.6100,0.4643,0.8011,8360
SigmaDock,lt2A_and_valid_no_protein,0.2990,0.2026,0.4411,8360
SigmaDock,lt2A_and_valid_with_protein,0.0598,0.0255,0.1399,8360
