arm,ranker,k,hit_rmsd_lt_2A_pct
Minimal,random,1,5.3852
Minimal,random,2,5.4043
Minimal,random,3,5.3660
Minimal,random,5,5.4330
Minimal,random,10,5.2703
Minimal,random,20,4.9821
Minimal,random,40,4.7859
Minimal,random,80,3.8278
Minimal,affinity_vinardo,1,5.4318
Minimal,affinity_vinardo,2,7.5191
Minimal,affinity_vinardo,3,9.0179
Minimal,affinity_vinardo,5,11.0323
Minimal,affinity_vinardo,10,14.2368
Minimal,affinity_vinardo,20,17.6734
Minimal,affinity_vinardo,40,21.6208
Minimal,affinity_vinardo,80,25.3589
Minimal,pb_all,1,5.4940
Minimal,pb_all,2,7.0311
Minimal,pb_all,3,7.7392
Minimal,pb_all,5,8.8684
Minimal,pb_all,10,10.2799
Minimal,pb_all,20,11.6866
Minimal,pb_all,40,12.8266
Minimal,pb_all,80,13.4342
Minimal,pb_intrinsic,1,5.4856
Minimal,pb_intrinsic,2,6.3014
Minimal,pb_intrinsic,3,6.6136
Minimal,pb_intrinsic,5,7.0490
Minimal,pb_intrinsic,10,7.4976
Minimal,pb_intrinsic,20,7.8242
Minimal,pb_intrinsic,40,7.9976
Minimal,pb_intrinsic,80,8.0490
Minimal,pb_protein,1,5.3876
Minimal,pb_protein,2,6.8218
Minimal,pb_protein,3,7.3828
Minimal,pb_protein,5,8.2404
Minimal,pb_protein,10,9.1902
Minimal,pb_protein,20,10.1818
Minimal,pb_protein,40,10.3612
Minimal,pb_protein,80,11.0036
Minimal,oracle,1,5.3505
Minimal,oracle,2,9.9055
Minimal,oracle,3,13.9510
Minimal,oracle,5,20.2775
Minimal,oracle,10,31.8433
Minimal,oracle,20,44.6842
Minimal,oracle,40,56.3744
Minimal,oracle,80,65.5502
Separate,random,1,5.8122
Separate,random,2,5.6902
Separate,random,3,5.6782
Separate,random,5,5.3768
Separate,random,10,4.9928
Separate,random,20,4.6603
Separate,random,40,5.0251
Separate,random,80,5.7416
Separate,affinity_vinardo,1,5.7799
Separate,affinity_vinardo,2,8.0263
Separate,affinity_vinardo,3,9.3194
Separate,affinity_vinardo,5,11.2500
Separate,affinity_vinardo,10,14.3900
Separate,affinity_vinardo,20,17.8708
Separate,affinity_vinardo,40,21.3995
Separate,affinity_vinardo,80,24.8804
Separate,pb_all,1,6.0646
Separate,pb_all,2,7.5598
Separate,pb_all,3,8.2249
Separate,pb_all,5,9.2978
Separate,pb_all,10,10.8230
Separate,pb_all,20,11.9007
Separate,pb_all,40,13.4928
Separate,pb_all,80,14.5467
Separate,pb_intrinsic,1,5.9569
Separate,pb_intrinsic,2,6.6531
Separate,pb_intrinsic,3,7.0837
Separate,pb_intrinsic,5,7.6926
Separate,pb_intrinsic,10,8.1053
Separate,pb_intrinsic,20,8.5120
Separate,pb_intrinsic,40,8.5861
Separate,pb_intrinsic,80,8.6591
Separate,pb_protein,1,5.9821
Separate,pb_protein,2,6.9258
Separate,pb_protein,3,7.7919
Separate,pb_protein,5,8.6172
Separate,pb_protein,10,9.6328
Separate,pb_protein,20,10.4773
Separate,pb_protein,40,11.1364
Separate,pb_protein,80,11.4952
Separate,oracle,1,5.8935
Separate,oracle,2,10.7057
Separate,oracle,3,14.8744
Separate,oracle,5,21.8134
Separate,oracle,10,33.5598
Separate,oracle,20,47.3146
Separate,oracle,40,59.9988
Separate,oracle,80,70.8134
SigmaDock,random,1,10.3612
SigmaDock,random,2,10.0550
SigmaDock,random,3,10.1388
SigmaDock,random,5,10.1687
SigmaDock,random,10,10.0239
SigmaDock,random,20,10.0455
SigmaDock,random,40,9.8577
SigmaDock,random,80,10.0478
SigmaDock,affinity_vinardo,1,10.4617
SigmaDock,affinity_vinardo,2,14.1495
SigmaDock,affinity_vinardo,3,16.9605
SigmaDock,affinity_vinardo,5,20.0849
SigmaDock,affinity_vinardo,10,24.5383
SigmaDock,affinity_vinardo,20,28.3720
SigmaDock,affinity_vinardo,40,32.0144
SigmaDock,affinity_vinardo,80,36.3636
SigmaDock,pb_all,1,10.4773
SigmaDock,pb_all,2,12.9486
SigmaDock,pb_all,3,14.4701
SigmaDock,pb_all,5,16.7177
SigmaDock,pb_all,10,18.6340
SigmaDock,pb_all,20,21.0431
SigmaDock,pb_all,40,22.5550
SigmaDock,pb_all,80,24.3840
SigmaDock,pb_intrinsic,1,10.4055
SigmaDock,pb_intrinsic,2,12.0813
SigmaDock,pb_intrinsic,3,12.9055
SigmaDock,pb_intrinsic,5,13.6902
SigmaDock,pb_intrinsic,10,14.3158
SigmaDock,pb_intrinsic,20,14.5694
SigmaDock,pb_intrinsic,40,14.5634
SigmaDock,pb_intrinsic,80,14.5646
SigmaDock,pb_protein,1,10.3182
SigmaDock,pb_protein,2,12.3935
SigmaDock,pb_protein,3,13.7644
SigmaDock,pb_protein,5,14.8433
SigmaDock,pb_protein,10,16.9258
SigmaDock,pb_protein,20,18.7105
SigmaDock,pb_protein,40,19.6902
SigmaDock,pb_protein,80,20.6244
SigmaDock,oracle,1,10.2596
SigmaDock,oracle,2,18.3433
SigmaDock,oracle,3,24.5251
SigmaDock,oracle,5,33.9366
SigmaDock,oracle,10,47.1962
SigmaDock,oracle,20,59.1519
SigmaDock,oracle,40,68.6471
SigmaDock,oracle,80,76.0766
