arm,ranker,k,hit_rmsd_lt_2A_pct
Minimal,random,1,5.3864
Minimal,random,2,5.3911
Minimal,random,3,5.3768
Minimal,random,5,5.3720
Minimal,random,10,5.4019
Minimal,random,20,5.3254
Minimal,random,40,5.3373
Minimal,affinity_vinardo,1,5.4079
Minimal,affinity_vinardo,2,7.5837
Minimal,affinity_vinardo,3,8.7919
Minimal,affinity_vinardo,5,10.5813
Minimal,affinity_vinardo,10,13.6065
Minimal,affinity_vinardo,20,16.2811
Minimal,affinity_vinardo,40,20.0957
Minimal,pb_all,1,5.3433
Minimal,pb_all,2,6.6842
Minimal,pb_all,3,7.4450
Minimal,pb_all,5,8.7273
Minimal,pb_all,10,10.1244
Minimal,pb_all,20,11.7548
Minimal,pb_all,40,13.2225
Minimal,pb_intrinsic,1,5.3636
Minimal,pb_intrinsic,2,6.0825
Minimal,pb_intrinsic,3,6.4522
Minimal,pb_intrinsic,5,6.9617
Minimal,pb_intrinsic,10,7.3385
Minimal,pb_intrinsic,20,7.6962
Minimal,pb_intrinsic,40,7.7679
Minimal,pb_protein,1,5.3289
Minimal,pb_protein,2,6.3660
Minimal,pb_protein,3,6.9605
Minimal,pb_protein,5,7.4342
Minimal,pb_protein,10,8.6411
Minimal,pb_protein,20,9.7679
Minimal,pb_protein,40,10.8254
Minimal,oracle,1,5.3768
Minimal,oracle,2,9.9163
Minimal,oracle,3,14.0335
Minimal,oracle,5,20.8385
Minimal,oracle,10,32.7632
Minimal,oracle,20,46.7380
Minimal,oracle,40,59.8086
Separate,random,1,6.0012
Separate,random,2,5.7775
Separate,random,3,5.8959
Separate,random,5,5.7309
Separate,random,10,5.9007
Separate,random,20,5.9629
Separate,random,40,5.8565
Separate,affinity_vinardo,1,5.8708
Separate,affinity_vinardo,2,7.8840
Separate,affinity_vinardo,3,9.6089
Separate,affinity_vinardo,5,11.5383
Separate,affinity_vinardo,10,15.2153
Separate,affinity_vinardo,20,20.0514
Separate,affinity_vinardo,40,25.3589
Separate,pb_all,1,5.8720
Separate,pb_all,2,7.3911
Separate,pb_all,3,8.3600
Separate,pb_all,5,9.6160
Separate,pb_all,10,11.0945
Separate,pb_all,20,12.3182
Separate,pb_all,40,13.2333
Separate,pb_intrinsic,1,6.0036
Separate,pb_intrinsic,2,6.8325
Separate,pb_intrinsic,3,7.1459
Separate,pb_intrinsic,5,7.4785
Separate,pb_intrinsic,10,7.9474
Separate,pb_intrinsic,20,8.6005
Separate,pb_intrinsic,40,8.4821
Separate,pb_protein,1,5.8122
Separate,pb_protein,2,7.0969
Separate,pb_protein,3,7.8110
Separate,pb_protein,5,8.5108
Separate,pb_protein,10,9.5897
Separate,pb_protein,20,10.3469
Separate,pb_protein,40,11.2045
Separate,oracle,1,5.8409
Separate,oracle,2,10.7404
Separate,oracle,3,14.7344
Separate,oracle,5,21.3409
Separate,oracle,10,33.2010
Separate,oracle,20,46.7584
Separate,oracle,40,59.3301
SigmaDock,random,1,5.8493
SigmaDock,random,2,5.7488
SigmaDock,random,3,5.7691
SigmaDock,random,5,5.8720
SigmaDock,random,10,5.7883
SigmaDock,random,20,5.8660
SigmaDock,random,40,5.7488
SigmaDock,affinity_vinardo,1,5.7632
SigmaDock,affinity_vinardo,2,8.0502
SigmaDock,affinity_vinardo,3,9.7141
SigmaDock,affinity_vinardo,5,11.6447
SigmaDock,affinity_vinardo,10,14.6818
SigmaDock,affinity_vinardo,20,17.4199
SigmaDock,affinity_vinardo,40,18.6603
SigmaDock,pb_all,1,5.7572
SigmaDock,pb_all,2,7.2189
SigmaDock,pb_all,3,7.7703
SigmaDock,pb_all,5,8.5514
SigmaDock,pb_all,10,9.3170
SigmaDock,pb_all,20,10.4522
SigmaDock,pb_all,40,11.4414
SigmaDock,pb_intrinsic,1,5.7978
SigmaDock,pb_intrinsic,2,6.6148
SigmaDock,pb_intrinsic,3,6.8624
SigmaDock,pb_intrinsic,5,7.1734
SigmaDock,pb_intrinsic,10,7.2380
SigmaDock,pb_intrinsic,20,7.4510
SigmaDock,pb_intrinsic,40,7.3565
SigmaDock,pb_protein,1,5.7907
SigmaDock,pb_protein,2,6.8218
SigmaDock,pb_protein,3,7.5108
SigmaDock,pb_protein,5,8.3888
SigmaDock,pb_protein,10,9.4067
SigmaDock,pb_protein,20,10.2608
SigmaDock,pb_protein,40,11.1926
SigmaDock,oracle,1,5.8385
SigmaDock,oracle,2,10.6555
SigmaDock,oracle,3,14.7309
SigmaDock,oracle,5,21.8923
SigmaDock,oracle,10,33.5825
SigmaDock,oracle,20,46.4629
SigmaDock,oracle,40,57.4163
