arm,ranker,k,hit_rmsd_lt_2A_pct
Minimal,random,1,5.4749
Minimal,random,2,5.4916
Minimal,random,3,5.4976
Minimal,random,5,5.3457
Minimal,random,10,5.4079
Minimal,random,20,5.3660
Minimal,random,40,5.4641
Minimal,affinity_vinardo,1,5.3062
Minimal,affinity_vinardo,2,7.5694
Minimal,affinity_vinardo,3,8.7524
Minimal,affinity_vinardo,5,10.8266
Minimal,affinity_vinardo,10,13.5144
Minimal,affinity_vinardo,20,16.5359
Minimal,affinity_vinardo,40,20.0957
Minimal,pb_all,1,5.4043
Minimal,pb_all,2,7.0682
Minimal,pb_all,3,7.8301
Minimal,pb_all,5,9.2596
Minimal,pb_all,10,10.9282
Minimal,pb_all,20,12.2739
Minimal,pb_all,40,13.0586
Minimal,pb_intrinsic,1,5.4366
Minimal,pb_intrinsic,2,6.6220
Minimal,pb_intrinsic,3,7.0694
Minimal,pb_intrinsic,5,8.0586
Minimal,pb_intrinsic,10,9.0084
Minimal,pb_intrinsic,20,9.3002
Minimal,pb_intrinsic,40,9.1483
Minimal,pb_protein,1,5.3636
Minimal,pb_protein,2,6.4641
Minimal,pb_protein,3,7.0048
Minimal,pb_protein,5,7.6950
Minimal,pb_protein,10,8.3804
Minimal,pb_protein,20,9.4701
Minimal,pb_protein,40,9.6483
Minimal,oracle,1,5.5156
Minimal,oracle,2,9.9737
Minimal,oracle,3,14.0299
Minimal,oracle,5,20.5012
Minimal,oracle,10,31.4390
Minimal,oracle,20,43.5287
Minimal,oracle,40,54.0670
Separate,random,1,5.5622
Separate,random,2,5.4904
Separate,random,3,5.5574
Separate,random,5,5.5658
Separate,random,10,5.5634
Separate,random,20,5.6065
Separate,random,40,5.5383
Separate,affinity_vinardo,1,5.4856
Separate,affinity_vinardo,2,7.2811
Separate,affinity_vinardo,3,8.6950
Separate,affinity_vinardo,5,10.4342
Separate,affinity_vinardo,10,13.3959
Separate,affinity_vinardo,20,17.3744
Separate,affinity_vinardo,40,22.9665
Separate,pb_all,1,5.6017
Separate,pb_all,2,6.9103
Separate,pb_all,3,7.7129
Separate,pb_all,5,8.9055
Separate,pb_all,10,10.4282
Separate,pb_all,20,11.9486
Separate,pb_all,40,14.7213
Separate,pb_intrinsic,1,5.4868
Separate,pb_intrinsic,2,6.4916
Separate,pb_intrinsic,3,7.1256
Separate,pb_intrinsic,5,7.7440
Separate,pb_intrinsic,10,8.7560
Separate,pb_intrinsic,20,9.4139
Separate,pb_intrinsic,40,9.6818
Separate,pb_protein,1,5.4976
Separate,pb_protein,2,6.3732
Separate,pb_protein,3,6.9234
Separate,pb_protein,5,7.4569
Separate,pb_protein,10,8.0718
Separate,pb_protein,20,8.4378
Separate,pb_protein,40,9.5538
Separate,oracle,1,5.5431
Separate,oracle,2,10.0837
Separate,oracle,3,14.0873
Separate,oracle,5,20.3481
Separate,oracle,10,31.6280
Separate,oracle,20,44.4689
Separate,oracle,40,57.4163
SigmaDock,random,1,0.5993
SigmaDock,random,2,0.5574
SigmaDock,random,3,0.5311
SigmaDock,random,5,0.5407
SigmaDock,random,10,0.5299
SigmaDock,random,20,0.5335
SigmaDock,random,40,0.5443
SigmaDock,affinity_vinardo,1,0.5993
SigmaDock,affinity_vinardo,2,0.8014
SigmaDock,affinity_vinardo,3,0.9450
SigmaDock,affinity_vinardo,5,1.1065
SigmaDock,affinity_vinardo,10,1.5514
SigmaDock,affinity_vinardo,20,2.1112
SigmaDock,affinity_vinardo,40,2.8708
SigmaDock,pb_all,1,0.5335
SigmaDock,pb_all,2,0.7321
SigmaDock,pb_all,3,0.9318
SigmaDock,pb_all,5,1.0837
SigmaDock,pb_all,10,1.4067
SigmaDock,pb_all,20,1.5718
SigmaDock,pb_all,40,1.5108
SigmaDock,pb_intrinsic,1,0.5550
SigmaDock,pb_intrinsic,2,0.6507
SigmaDock,pb_intrinsic,3,0.8385
SigmaDock,pb_intrinsic,5,0.9809
SigmaDock,pb_intrinsic,10,1.2356
SigmaDock,pb_intrinsic,20,1.5455
SigmaDock,pb_intrinsic,40,1.8744
SigmaDock,pb_protein,1,0.5395
SigmaDock,pb_protein,2,0.6555
SigmaDock,pb_protein,3,0.7632
SigmaDock,pb_protein,5,0.8062
SigmaDock,pb_protein,10,0.8385
SigmaDock,pb_protein,20,0.8469
SigmaDock,pb_protein,40,0.8014
SigmaDock,oracle,1,0.5167
SigmaDock,oracle,2,1.0718
SigmaDock,oracle,3,1.4916
SigmaDock,oracle,5,2.4892
SigmaDock,oracle,10,4.4354
SigmaDock,oracle,20,7.4833
SigmaDock,oracle,40,12.4402
