arm,metric,k,random_pct,top1_affinity_pct,oracle_pct
Minimal,rmsd_lt_1.0A,1,0.3672,0.3672,0.3672
Minimal,rmsd_lt_1.0A,2,0.3816,0.6591,0.7488
Minimal,rmsd_lt_1.0A,3,0.3947,0.9354,1.1471
Minimal,rmsd_lt_1.0A,5,0.3766,1.2787,1.7428
Minimal,rmsd_lt_1.0A,10,0.3854,1.9414,3.2739
Minimal,rmsd_lt_1.0A,20,0.3839,2.7356,5.6806
Minimal,rmsd_lt_1.0A,40,0.3855,3.6065,9.3995
Minimal,rmsd_lt_1.0A,80,0.3828,3.8278,14.3541
Minimal,rmsd_lt_2.0A,1,5.3876,5.3876,5.3876
Minimal,rmsd_lt_2.0A,2,5.4193,7.5837,9.9581
Minimal,rmsd_lt_2.0A,3,5.4039,8.9737,13.9390
Minimal,rmsd_lt_2.0A,5,5.3799,11.0574,20.2428
Minimal,rmsd_lt_2.0A,10,5.4348,14.2452,31.7859
Minimal,rmsd_lt_2.0A,20,5.4365,17.7081,44.8122
Minimal,rmsd_lt_2.0A,40,5.4259,21.7572,56.4581
Minimal,rmsd_lt_2.0A,80,5.4306,25.3589,65.5502
Minimal,rmsd_lt_2.5A,1,11.7105,11.7105,11.7105
Minimal,rmsd_lt_2.5A,2,11.4551,14.4234,20.3050
Minimal,rmsd_lt_2.5A,3,11.5435,16.5096,27.3218
Minimal,rmsd_lt_2.5A,5,11.5775,19.0957,37.8768
Minimal,rmsd_lt_2.5A,10,11.5766,22.8254,53.6579
Minimal,rmsd_lt_2.5A,20,11.5144,26.8612,66.7572
Minimal,rmsd_lt_2.5A,40,11.5324,30.6998,76.1890
Minimal,rmsd_lt_2.5A,80,11.5371,33.0144,82.7751
Minimal,rmsd_lt_3.0A,1,19.9522,19.9522,19.9522
Minimal,rmsd_lt_3.0A,2,19.7458,23.2309,32.7356
Minimal,rmsd_lt_3.0A,3,19.7644,25.4773,42.1112
Minimal,rmsd_lt_3.0A,5,19.6957,28.6627,54.3553
Minimal,rmsd_lt_3.0A,10,19.6944,32.6770,69.1794
Minimal,rmsd_lt_3.0A,20,19.7249,36.9462,79.5550
Minimal,rmsd_lt_3.0A,40,19.7226,41.1112,86.0060
Minimal,rmsd_lt_3.0A,80,19.7189,44.0191,90.4306
Minimal,pb_valid_no_protein,1,34.1053,34.1053,34.1053
Minimal,pb_valid_no_protein,2,33.8606,34.4234,45.2141
Minimal,pb_valid_no_protein,3,33.8513,34.8947,51.6902
Minimal,pb_valid_no_protein,5,33.9502,35.3074,59.5443
Minimal,pb_valid_no_protein,10,33.8939,35.4701,69.3696
Minimal,pb_valid_no_protein,20,33.8429,35.8565,77.4701
Minimal,pb_valid_no_protein,40,33.8816,36.9067,83.9103
Minimal,pb_valid_no_protein,80,33.8935,38.7560,88.9952
Minimal,pb_valid_with_protein,1,6.7644,6.7644,6.7644
Minimal,pb_valid_with_protein,2,6.8313,10.5419,11.6435
Minimal,pb_valid_with_protein,3,6.9143,13.1962,15.5730
Minimal,pb_valid_with_protein,5,6.8385,16.2285,21.0144
Minimal,pb_valid_with_protein,10,6.8871,20.3086,29.6842
Minimal,pb_valid_with_protein,20,6.8856,23.5455,39.0000
Minimal,pb_valid_with_protein,40,6.8871,26.2871,47.8230
Minimal,pb_valid_with_protein,80,6.8900,29.6651,55.9809
Minimal,lt2A_and_valid_no_protein,1,4.0359,4.0359,4.0359
Minimal,lt2A_and_valid_no_protein,2,4.0305,5.5622,7.4988
Minimal,lt2A_and_valid_no_protein,3,3.9617,6.3098,10.2273
Minimal,lt2A_and_valid_no_protein,5,4.0153,7.7679,15.1806
Minimal,lt2A_and_valid_no_protein,10,3.9952,9.8337,23.6172
Minimal,lt2A_and_valid_no_protein,20,4.0170,12.5754,34.2548
Minimal,lt2A_and_valid_no_protein,40,4.0066,15.5467,44.6687
Minimal,lt2A_and_valid_no_protein,80,4.0072,19.1388,54.5455
Minimal,lt2A_and_valid_with_protein,1,1.4043,1.4043,1.4043
Minimal,lt2A_and_valid_with_protein,2,1.3475,2.2344,2.5610
Minimal,lt2A_and_valid_with_protein,3,1.3844,3.0000,3.7739
Minimal,lt2A_and_valid_with_protein,5,1.3993,4.1794,5.8349
Minimal,lt2A_and_valid_with_protein,10,1.3699,5.9545,9.4797
Minimal,lt2A_and_valid_with_protein,20,1.3904,8.4270,15.1172
Minimal,lt2A_and_valid_with_protein,40,1.3932,11.0000,22.7368
Minimal,lt2A_and_valid_with_protein,80,1.3876,13.8756,32.0574
Separate,rmsd_lt_1.0A,1,0.3947,0.3947,0.3947
Separate,rmsd_lt_1.0A,2,0.4372,0.7560,0.8612
Separate,rmsd_lt_1.0A,3,0.4215,0.9617,1.2225
Separate,rmsd_lt_1.0A,5,0.4292,1.3684,2.0012
Separate,rmsd_lt_1.0A,10,0.4239,2.0801,3.6555
Separate,rmsd_lt_1.0A,20,0.4248,3.1675,6.3768
Separate,rmsd_lt_1.0A,40,0.4237,4.2895,10.2608
Separate,rmsd_lt_1.0A,80,0.4246,5.2632,15.3110
Separate,rmsd_lt_2.0A,1,5.8301,5.8301,5.8301
Separate,rmsd_lt_2.0A,2,5.8469,8.0167,10.7859
Separate,rmsd_lt_2.0A,3,5.8628,9.3768,14.9378
