arm,metric,k,random_pct,oracle_pct
Minimal,rmsd_lt_1.0A,1,0.2751,0.2751
Minimal,rmsd_lt_1.0A,2,0.2781,0.5467
Minimal,rmsd_lt_1.0A,3,0.2895,0.8158
Minimal,rmsd_lt_1.0A,5,0.2897,1.2907
Minimal,rmsd_lt_1.0A,10,0.2892,2.2919
Minimal,rmsd_lt_1.0A,20,0.2847,3.8361
Minimal,rmsd_lt_1.0A,40,0.2871,6.6986
Minimal,rmsd_lt_2.0A,1,4.8888,4.8888
Minimal,rmsd_lt_2.0A,2,4.8606,9.0490
Minimal,rmsd_lt_2.0A,3,4.8676,12.7536
Minimal,rmsd_lt_2.0A,5,4.8476,18.9151
Minimal,rmsd_lt_2.0A,10,4.8440,30.0801
Minimal,rmsd_lt_2.0A,20,4.8438,43.8947
Minimal,rmsd_lt_2.0A,40,4.8445,57.8947
Minimal,rmsd_lt_2.5A,1,10.9426,10.9426
Minimal,rmsd_lt_2.5A,2,10.8917,19.2476
Minimal,rmsd_lt_2.5A,3,10.9286,25.8158
Minimal,rmsd_lt_2.5A,5,10.9809,35.9868
Minimal,rmsd_lt_2.5A,10,10.9213,50.5562
Minimal,rmsd_lt_2.5A,20,10.9190,64.0239
Minimal,rmsd_lt_2.5A,40,10.9211,73.6842
Minimal,rmsd_lt_3.0A,1,18.7548,18.7548
Minimal,rmsd_lt_3.0A,2,18.6998,31.1089
Minimal,rmsd_lt_3.0A,3,18.8034,40.3433
Minimal,rmsd_lt_3.0A,5,18.7842,52.5024
Minimal,rmsd_lt_3.0A,10,18.7990,67.2201
Minimal,rmsd_lt_3.0A,20,18.8151,77.5275
Minimal,rmsd_lt_3.0A,40,18.8038,84.2105
Minimal,pb_valid_no_protein,1,16.4426,16.4426
Minimal,pb_valid_no_protein,2,16.3331,24.1459
Minimal,pb_valid_no_protein,3,16.4286,29.3397
Minimal,pb_valid_no_protein,5,16.4811,35.9163
Minimal,pb_valid_no_protein,10,16.4920,44.0215
Minimal,pb_valid_no_protein,20,16.4407,51.4246
