arm,metric,k,random_pct,top1_affinity_pct,oracle_pct
Minimal,rmsd_lt_1.0A,1,0.3086,0.3086,0.3086
Minimal,rmsd_lt_1.0A,2,0.3116,0.4653,0.6124
Minimal,rmsd_lt_1.0A,3,0.3325,0.6447,0.9641
Minimal,rmsd_lt_1.0A,5,0.3069,0.7739,1.4258
Minimal,rmsd_lt_1.0A,10,0.3289,1.2225,2.8218
Minimal,rmsd_lt_1.0A,20,0.3245,1.5993,4.8445
Minimal,rmsd_lt_1.0A,40,0.3230,1.9139,7.6555
Minimal,rmsd_lt_2.0A,1,5.3672,5.3672,5.3672
Minimal,rmsd_lt_2.0A,2,5.3648,7.4593,9.9916
Minimal,rmsd_lt_2.0A,3,5.3700,8.7931,14.0144
Minimal,rmsd_lt_2.0A,5,5.3371,10.6053,20.7560
Minimal,rmsd_lt_2.0A,10,5.3211,13.3624,32.6902
Minimal,rmsd_lt_2.0A,20,5.3340,16.3146,46.8864
Minimal,rmsd_lt_2.0A,40,5.3349,20.0957,59.8086
Minimal,rmsd_lt_2.5A,1,11.2847,11.2847,11.2847
Minimal,rmsd_lt_2.5A,2,11.1495,14.1435,19.7907
Minimal,rmsd_lt_2.5A,3,11.2384,15.9677,26.8971
Minimal,rmsd_lt_2.5A,5,11.2388,18.3541,37.2261
Minimal,rmsd_lt_2.5A,10,11.2167,21.4115,52.6208
Minimal,rmsd_lt_2.5A,20,11.1907,24.1603,66.2285
Minimal,rmsd_lt_2.5A,40,11.1962,27.7512,75.5981
Minimal,rmsd_lt_3.0A,1,19.7691,19.7691,19.7691
Minimal,rmsd_lt_3.0A,2,19.6717,23.0897,32.4234
Minimal,rmsd_lt_3.0A,3,19.7811,25.3469,41.7859
Minimal,rmsd_lt_3.0A,5,19.7880,28.0215,53.8672
Minimal,rmsd_lt_3.0A,10,19.7600,31.1998,68.1962
Minimal,rmsd_lt_3.0A,20,19.7416,34.4533,78.4928
Minimal,rmsd_lt_3.0A,40,19.7368,37.7990,85.1675
Minimal,pb_valid_no_protein,1,33.8660,33.8660,33.8660
Minimal,pb_valid_no_protein,2,33.9348,34.3792,45.7177
Minimal,pb_valid_no_protein,3,33.8864,34.6435,52.4964
Minimal,pb_valid_no_protein,5,33.8105,34.8732,60.3278
Minimal,pb_valid_no_protein,10,33.8559,35.2644,70.0431
Minimal,pb_valid_no_protein,20,33.8742,36.0467,77.2859
