arm,metric,k,random_pct,oracle_pct
Minimal,rmsd_lt_1.0A,1,0.1974,0.1974
Minimal,rmsd_lt_1.0A,2,0.2016,0.3983
Minimal,rmsd_lt_1.0A,3,0.2073,0.6124
Minimal,rmsd_lt_1.0A,5,0.2007,0.9665
Minimal,rmsd_lt_1.0A,10,0.2062,1.9222
Minimal,rmsd_lt_1.0A,20,0.2042,3.5646
Minimal,rmsd_lt_1.0A,40,0.2033,6.2201
Minimal,rmsd_lt_2.0A,1,5.3684,5.3684
Minimal,rmsd_lt_2.0A,2,5.4103,9.9868
Minimal,rmsd_lt_2.0A,3,5.4123,13.9522
Minimal,rmsd_lt_2.0A,5,5.3852,20.4629
Minimal,rmsd_lt_2.0A,10,5.4248,31.8230
Minimal,rmsd_lt_2.0A,20,5.4172,43.3983
Minimal,rmsd_lt_2.0A,40,5.4187,54.0670
Minimal,rmsd_lt_2.5A,1,11.7990,11.7990
Minimal,rmsd_lt_2.5A,2,11.8020,20.6627
Minimal,rmsd_lt_2.5A,3,11.8373,27.4079
Minimal,rmsd_lt_2.5A,5,11.7792,37.3266
Minimal,rmsd_lt_2.5A,10,11.7932,51.4689
Minimal,rmsd_lt_2.5A,20,11.7900,63.7787
Minimal,rmsd_lt_2.5A,40,11.7943,72.2488
Minimal,rmsd_lt_3.0A,1,20.4785,20.4785
Minimal,rmsd_lt_3.0A,2,20.6669,33.6675
Minimal,rmsd_lt_3.0A,3,20.7863,42.8864
Minimal,rmsd_lt_3.0A,5,20.7031,54.2464
Minimal,rmsd_lt_3.0A,10,20.6767,67.7931
Minimal,rmsd_lt_3.0A,20,20.6606,77.3134
Minimal,rmsd_lt_3.0A,40,20.6699,82.7751
Minimal,pb_valid_no_protein,1,16.2763,16.2763
Minimal,pb_valid_no_protein,2,16.2165,24.0132
Minimal,pb_valid_no_protein,3,16.2867,29.2967
Minimal,pb_valid_no_protein,5,16.2435,35.7978
Minimal,pb_valid_no_protein,10,16.2620,44.5550
Minimal,pb_valid_no_protein,20,16.2752,53.3409
Minimal,pb_valid_no_protein,40,16.2799,61.7225
Minimal,pb_valid_with_protein,1,4.0490,4.0490
Minimal,pb_valid_with_protein,2,4.0096,6.9749
Minimal,pb_valid_with_protein,3,4.0526,9.3959
Minimal,pb_valid_with_protein,5,4.0325,13.0945
Minimal,pb_valid_with_protein,10,4.0172,19.3780
Minimal,pb_valid_with_protein,20,4.0266,26.7667
Minimal,pb_valid_with_protein,40,4.0191,33.9713
Minimal,lt2A_and_valid_no_protein,1,2.6184,2.6184
Minimal,lt2A_and_valid_no_protein,2,2.5227,4.7679
Minimal,lt2A_and_valid_no_protein,3,2.5917,6.8876
Minimal,lt2A_and_valid_no_protein,5,2.5945,10.4151
Minimal,lt2A_and_valid_no_protein,10,2.5696,16.8301
Minimal,lt2A_and_valid_no_protein,20,2.5672,24.6711
Minimal,lt2A_and_valid_no_protein,40,2.5718,33.0144
Minimal,lt2A_and_valid_with_protein,1,0.8098,0.8098
Minimal,lt2A_and_valid_with_protein,2,0.7847,1.5407
Minimal,lt2A_and_valid_with_protein,3,0.8070,2.2751
Minimal,lt2A_and_valid_with_protein,5,0.8086,3.5933
Minimal,lt2A_and_valid_with_protein,10,0.7933,6.2620
Minimal,lt2A_and_valid_with_protein,20,0.7976,10.1830
Minimal,lt2A_and_valid_with_protein,40,0.8014,14.3541
Separate,rmsd_lt_1.0A,1,0.3158,0.3158
Separate,rmsd_lt_1.0A,2,0.3373,0.6579
Separate,rmsd_lt_1.0A,3,0.3166,0.8708
Separate,rmsd_lt_1.0A,5,0.3153,1.3565
Separate,rmsd_lt_1.0A,10,0.3071,2.2476
Separate,rmsd_lt_1.0A,20,0.3119,3.6543
Separate,rmsd_lt_1.0A,40,0.3110,5.7416
Separate,rmsd_lt_2.0A,1,5.3816,5.3816
Separate,rmsd_lt_2.0A,2,5.4671,10.0730
Separate,rmsd_lt_2.0A,3,5.5271,14.0383
Separate,rmsd_lt_2.0A,5,5.4907,20.3636
Separate,rmsd_lt_2.0A,10,5.5364,31.5526
Separate,rmsd_lt_2.0A,20,5.5119,44.1184
Separate,rmsd_lt_2.0A,40,5.5144,57.4163
Separate,rmsd_lt_2.5A,1,12.2237,12.2237
Separate,rmsd_lt_2.5A,2,12.1017,21.1220
Separate,rmsd_lt_2.5A,3,12.1077,28.0957
Separate,rmsd_lt_2.5A,5,11.9447,37.9665
Separate,rmsd_lt_2.5A,10,12.1063,52.9318
Separate,rmsd_lt_2.5A,20,12.0811,66.5455
Separate,rmsd_lt_2.5A,40,12.0813,75.5981
Separate,rmsd_lt_3.0A,1,21.1830,21.1830
Separate,rmsd_lt_3.0A,2,21.1352,34.3086
Separate,rmsd_lt_3.0A,3,21.0921,42.9988
Separate,rmsd_lt_3.0A,5,21.0653,54.5132
Separate,rmsd_lt_3.0A,10,21.1555,68.3373
Separate,rmsd_lt_3.0A,20,21.1071,78.3816
Separate,rmsd_lt_3.0A,40,21.1005,84.2105
Separate,pb_valid_no_protein,1,16.8900,16.8900
Separate,pb_valid_no_protein,2,16.9689,24.5455
Separate,pb_valid_no_protein,3,16.9697,29.4821
Separate,pb_valid_no_protein,5,17.0388,35.5383
Separate,pb_valid_no_protein,10,16.9999,43.8278
Separate,pb_valid_no_protein,20,17.0228,51.6722
Separate,pb_valid_no_protein,40,16.9976,59.8086
Separate,pb_valid_with_protein,1,4.8409,4.8409
Separate,pb_valid_with_protein,2,4.9246,8.4031
Separate,pb_valid_with_protein,3,4.9258,11.0227
Separate,pb_valid_with_protein,5,4.9455,15.1124
Separate,pb_valid_with_protein,10,4.9539,21.5885
Separate,pb_valid_with_protein,20,4.9611,28.4187
Separate,pb_valid_with_protein,40,4.9641,35.4067
Separate,lt2A_and_valid_no_protein,1,2.5825,2.5825
Separate,lt2A_and_valid_no_protein,2,2.6388,4.8469
Separate,lt2A_and_valid_no_protein,3,2.6204,6.7081
Separate,lt2A_and_valid_no_protein,5,2.6476,10.0144
Separate,lt2A_and_valid_no_protein,10,2.6347,15.4522
Separate,lt2A_and_valid_no_protein,20,2.6332,21.9175
Separate,lt2A_and_valid_no_protein,40,2.6316,28.7081
