arm,metric,k,random_pct,top1_affinity_pct,oracle_pct
Minimal,valid_ohne_protein,1,33.7141,33.5634,33.7488
Separate,valid_ohne_protein,1,34.8864,34.9498,34.9115
SigmaDock,valid_ohne_protein,1,28.2775,28.3325,28.2703
Minimal,valid_ohne_protein,2,33.7141,34.0144,45.3254
Separate,valid_ohne_protein,2,34.8864,35.5873,46.0335
SigmaDock,valid_ohne_protein,2,28.2775,28.8900,36.7715
Minimal,valid_ohne_protein,3,33.7141,34.6878,51.7309
Separate,valid_ohne_protein,3,34.8864,36.0538,52.3122
SigmaDock,valid_ohne_protein,3,28.2775,29.1579,41.9498
Minimal,valid_ohne_protein,5,33.7141,34.7620,59.8062
Separate,valid_ohne_protein,5,34.8864,36.7572,60.2787
SigmaDock,valid_ohne_protein,5,28.2775,28.7548,48.0395
Minimal,valid_ohne_protein,10,33.7141,35.1699,69.7775
Separate,valid_ohne_protein,10,34.8864,37.4139,70.2787
SigmaDock,valid_ohne_protein,10,28.2775,28.5371,56.2273
Minimal,valid_ohne_protein,20,33.7141,35.5024,78.1974
Separate,valid_ohne_protein,20,34.8864,37.7201,78.5897
SigmaDock,valid_ohne_protein,20,28.2775,27.6555,64.0060
Minimal,valid_ohne_protein,40,33.7141,36.2165,84.3935
Separate,valid_ohne_protein,40,34.8864,38.2943,84.1148
SigmaDock,valid_ohne_protein,40,28.2775,26.9797,71.2596
Minimal,valid_ohne_protein,80,33.7141,37.3206,89.4737
Separate,valid_ohne_protein,80,34.8864,37.7990,87.5598
SigmaDock,valid_ohne_protein,80,28.2775,27.2727,78.4689
Minimal,valid_mit_protein,1,6.6208,6.6711,6.5897
Separate,valid_mit_protein,1,7.1651,7.1950,7.2010
SigmaDock,valid_mit_protein,1,5.8373,5.8696,5.8577
Minimal,valid_mit_protein,2,6.6208,10.0873,11.4414
Separate,valid_mit_protein,2,7.1651,10.9785,12.0730
SigmaDock,valid_mit_protein,2,5.8373,8.6555,9.5502
Minimal,valid_mit_protein,3,6.6208,12.1340,14.8935
Separate,valid_mit_protein,3,7.1651,13.5562,15.7452
SigmaDock,valid_mit_protein,3,5.8373,10.3517,12.3218
Minimal,valid_mit_protein,5,6.6208,15.3182,20.0778
Separate,valid_mit_protein,5,7.1651,16.7560,21.4725
SigmaDock,valid_mit_protein,5,5.8373,12.2584,16.5359
Minimal,valid_mit_protein,10,6.6208,19.1435,28.3744
Separate,valid_mit_protein,10,7.1651,20.8529,29.8254
SigmaDock,valid_mit_protein,10,5.8373,14.9306,22.4964
Minimal,valid_mit_protein,20,6.6208,22.4115,36.9378
Separate,valid_mit_protein,20,7.1651,24.1280,38.5144
SigmaDock,valid_mit_protein,20,5.8373,17.0335,29.2691
Minimal,valid_mit_protein,40,6.6208,25.4127,45.1268
Separate,valid_mit_protein,40,7.1651,27.0419,47.0431
SigmaDock,valid_mit_protein,40,5.8373,18.7572,36.2859
Minimal,valid_mit_protein,80,6.6208,28.7081,52.1531
Separate,valid_mit_protein,80,7.1651,29.1866,55.9809
SigmaDock,valid_mit_protein,80,5.8373,20.5742,42.5837
