arm,nfe,complex,n,basis_mixed,basis_f24,n_cl0.5,elim0.5,weg0.5,n_cl1.0,elim1.0,weg1.0
SigmaDock,25,5SAK_ZRY,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,5SB2_1K2,40,True,True,1,True,ein Cluster,0,True,Rueckfall
SigmaDock,25,5SD5_HWI,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,5SIS_JSM,40,True,True,0,True,Rueckfall,1,True,ein Cluster
SigmaDock,25,6M2B_EZO,40,False,False,2,True,mehrere,2,False,mehrere
SigmaDock,25,6M73_FNR,40,True,True,1,True,ein Cluster,1,True,ein Cluster
SigmaDock,25,6T88_MWQ,40,True,True,1,True,ein Cluster,2,True,mehrere
SigmaDock,25,6TW5_9M2,40,True,True,2,False,mehrere,3,False,mehrere
SigmaDock,25,6TW7_NZB,40,False,False,0,False,Rueckfall,5,True,mehrere
SigmaDock,25,6VTA_AKN,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,6WTN_RXT,40,True,True,4,True,mehrere,0,True,Rueckfall
SigmaDock,25,6XBO_5MC,40,True,True,3,True,mehrere,1,True,ein Cluster
SigmaDock,25,6XCT_478,40,False,False,1,True,ein Cluster,2,False,mehrere
SigmaDock,25,6XG5_TOP,40,True,True,7,True,mehrere,3,True,mehrere
SigmaDock,25,6XHT_V2V,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,6XM9_V55,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,6YJA_2BA,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,6YMS_OZH,40,False,False,0,False,Rueckfall,0,False,Rueckfall
SigmaDock,25,6YQV_8K2,40,True,True,11,True,mehrere,8,True,mehrere
SigmaDock,25,6YQW_82I,40,True,True,5,True,mehrere,3,True,mehrere
SigmaDock,25,6YR2_T1C,40,True,True,0,True,Rueckfall,0,True,Rueckfall
SigmaDock,25,6YRV_PJ8,40,True,True,0,True,Rueckfall,3,True,mehrere
