complex,arm,n,moden,gross_anteil,hat_korrekte,n_korrekt,gross_richtig,wahl_gross,trifft
5SAK_ZRY,SigmaDock,40,35,0.1,False,0,False,False,False
5SB2_1K2,SigmaDock,40,38,0.075,False,0,False,True,False
5SD5_HWI,SigmaDock,40,40,0.025,False,0,False,False,False
5SIS_JSM,SigmaDock,40,40,0.025,False,0,False,False,False
6M2B_EZO,SigmaDock,41,41,0.024390243902439025,False,0,False,False,False
6M73_FNR,SigmaDock,40,40,0.025,False,0,False,False,False
6T88_MWQ,SigmaDock,40,20,0.5,True,1,False,True,True
6TW5_9M2,SigmaDock,40,40,0.025,False,0,False,False,False
6TW7_NZB,SigmaDock,40,40,0.025,False,0,False,False,False
6VTA_AKN,SigmaDock,40,40,0.025,False,0,False,False,False
6WTN_RXT,SigmaDock,40,33,0.1,False,0,False,False,False
6XBO_5MC,SigmaDock,40,38,0.05,False,0,False,False,False
6XCT_478,SigmaDock,40,40,0.025,False,0,False,False,False
6XG5_TOP,SigmaDock,40,39,0.05,False,0,False,True,False
6XHT_V2V,SigmaDock,40,40,0.025,False,0,False,False,False
6XM9_V55,SigmaDock,40,31,0.2,False,0,False,False,False
6YJA_2BA,SigmaDock,40,40,0.025,False,0,False,False,False
6YMS_OZH,SigmaDock,40,40,0.025,False,0,False,False,False
6YQV_8K2,SigmaDock,41,32,0.14634146341463414,True,2,False,False,True
6YQW_82I,SigmaDock,40,32,0.15,False,0,False,False,False
6YR2_T1C,SigmaDock,40,40,0.025,False,0,False,False,False
6YRV_PJ8,SigmaDock,40,40,0.025,False,0,False,False,False
6YSP_PAL,SigmaDock,40,36,0.125,False,0,False,True,False
6YT6_PKE,SigmaDock,41,40,0.04878048780487805,False,0,False,False,False
6YYO_Q1K,SigmaDock,41,38,0.07317073170731707,False,0,False,True,False
6Z0R_Q4H,SigmaDock,41,21,0.21951219512195122,True,2,False,False,True
6Z14_Q4Z,SigmaDock,40,33,0.2,False,0,False,True,False
6Z1C_7EY,SigmaDock,40,36,0.1,False,0,False,False,False
6Z2C_Q5E,SigmaDock,40,40,0.025,False,0,False,False,False
6Z4N_Q7B,SigmaDock,40,39,0.05,False,0,False,False,False
6ZAE_ACV,SigmaDock,40,40,0.025,False,0,False,False,False
6ZC3_JOR,SigmaDock,41,38,0.07317073170731707,False,0,False,False,False
6ZCY_QF8,SigmaDock,41,41,0.024390243902439025,False,0,False,False,False
6ZK5_IMH,SigmaDock,40,34,0.1,False,0,False,True,False
6ZPB_3D1,SigmaDock,40,34,0.15,False,0,False,False,False
