arm,complex,n,trifft,konz_avg,neg_eff_moden,konz_complete,konz_single,konz_dbscan,konz_hdbscan,p_agree,neg_mittel_rmsd,neg_nn_median,lokal_dichte,stabil_halb,z_marge
SigmaDock,6TW5_9M2,40,True,0.25,-8.106615664824663,0.25,0.25,0.25,0.15,0.13076923076923078,-4.9546323676904045,-0.899983823299408,0.1,0.14,2.217234445522879
SigmaDock,6TW7_NZB,40,False,0.325,-6.698306704841966,0.325,0.35,0.35,0.35,0.1987179487179487,-4.414822234175144,-0.8280043601989746,0.3,0.0,0.850490831984934
SigmaDock,6VTA_AKN,40,False,0.05,-38.637453156993885,0.05,0.05,0.025,0.375,0.001282051282051282,-6.906450578188285,-3.129986882209778,0.025,0.0,1.0057027664946119
SigmaDock,6WTN_RXT,40,True,0.95,-1.2195906179141718,0.95,1.0,1.0,0.375,0.9282051282051282,-0.8196457419639979,-0.2190037965774536,0.975,1.0,1.430275122386885
SigmaDock,6Z4N_Q7B,40,False,0.375,-6.785631963182009,0.15,0.375,0.375,0.4,0.15897435897435896,-3.701921276251475,-1.3236870765686035,0.15,0.15,1.6709629574737785
SigmaDock,6ZPB_3D1,40,False,0.45,-2.6722391469741877,0.275,0.55,0.55,0.425,0.3243589743589744,-2.0856341941234393,-0.6625361442565918,0.325,0.666,1.9015586736709091
SigmaDock,7B2C_TP7,41,True,0.6097560975609756,-2.8690717764050557,0.2682926829268293,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.3926829268292683,-2.32195193077006,-0.9990318417549133,0.4634146341463415,0.971,2.6680867782158275
SigmaDock,7BTT_F8R,40,True,0.35,-9.732006673049918,0.35,0.375,0.375,0.375,0.14743589743589744,-4.330839659159,-1.0887497663497925,0.35,0.985,1.3672891172897996
SigmaDock,7C3U_AZG,41,False,0.5609756097560976,-3.341088419947457,0.5609756097560976,0.7317073170731707,0.7317073170731707,0.5609756097560976,0.4402439024390244,-1.9137424186598964,-0.21438686549663544,0.07317073170731707,0.471,1.5856789143480248
SigmaDock,7C8Q_DSG,40,True,0.525,-1.9975005204422753,0.3,0.525,0.525,0.525,0.46025641025641023,-2.787408080735268,-0.6455135643482208,0.45,0.667,2.8571821515655373
SigmaDock,7CD9_FVR,40,False,0.275,-12.733740816171762,0.15,0.275,0.275,0.9,0.1,-4.8276806277342335,-1.380598783493042,0.1,0.266,2.3260188323868576
SigmaDock,7CIJ_G0C,40,True,0.575,-2.1747958347599017,0.4,0.575,0.575,0.575,0.46923076923076923,-3.52219430937981,-0.6442206799983978,0.425,0.99,2.2983109293466395
SigmaDock,7D5C_GV6,40,True,0.875,-1.551652456782203,0.85,1.0,1.0,0.85,0.8871794871794871,-1.4017787117224474,-0.7375205159187317,0.95,1.0,3.712955696335319
SigmaDock,7DQL_4CL,40,False,0.575,-2.306645017667931,0.575,0.575,0.575,0.275,0.46025641025641023,-1.4574799140867514,-0.08439642190933228,0.575,0.568,2.8945960027357067
SigmaDock,7ES1_UDP,40,True,0.85,-1.7381886618574347,0.85,0.975,0.975,0.375,0.8115384615384615,-1.358982168099819,-0.42434823513031006,0.875,1.0,1.4803278495091379
SigmaDock,7F8T_FAD,40,False,0.075,-26.96574350062712,0.075,0.1,0.1,0.7,0.016666666666666666,-5.016946363754761,-1.959690511226654,0.025,0.0,1.588688817115612
SigmaDock,7JG0_GAR,40,True,0.925,-1.36905815578532,0.45,0.975,0.975,0.15,0.7025641025641025,-1.7870378399506592,-0.7473887503147125,0.8,1.0,1.6996437129003954
SigmaDock,7JMV_4NC,40,True,0.375,-3.5957295452565154,0.375,0.725,0.725,0.375,0.35,-2.606633120851639,-0.2849547863006592,0.425,0.992,1.6231206341011084
SigmaDock,7JY3_VUD,40,False,0.2,-9.327741347892127,0.2,0.3,0.3,0.3,0.12435897435897436,-3.63644240796566,-0.7272735834121704,0.2,0.177,1.2353966116435238
SigmaDock,7KB1_WBJ,40,True,0.7,-2.0075500478657684,0.575,0.7,0.7,0.7,0.5192307692307693,-2.8922627507876126,-0.6073400378227234,0.675,0.972,2.5714426719569743
SigmaDock,7L00_XCJ,42,True,0.42857142857142855,-2.935875713809044,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.3403019744483159,-5.784636356447078,-0.8812873959541321,0.42857142857142855,0.999,1.3994052664046235
SigmaDock,7LCU_XTA,41,False,0.3902439024390244,-4.207293977450889,0.21951219512195122,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.35609756097560974,-5.792780329323397,-1.1648759841918945,0.4878048780487805,0.475,1.3663350711119493
SigmaDock,7N6F_0I1,40,True,0.65,-2.7059970271977862,0.425,0.65,0.65,0.65,0.4641025641025641,-2.5847557201981544,-0.876728892326355,0.625,1.0,0.4795729281692714
SigmaDock,7NFB_GEN,40,True,0.725,-1.8006879338394017,0.725,0.725,0.725,0.45,0.591025641025641,-1.3267004882057125,-0.08122428134083748,0.725,1.0,0.6850095103082868
SigmaDock,7NLV_UJE,40,True,1.0,-1.0,1.0,1.0,1.0,0.375,1.0,-1.0204590159922073,-0.39858172833919525,1.0,1.0,1.4094365313735935
SigmaDock,7NR8_UOE,40,True,0.45,-5.1693149149471616,0.4,0.8,0.8,0.8,0.38846153846153847,-5.618612173543527,-0.9127735793590546,0.575,1.0,1.76765589857027
SigmaDock,7NUT_GLP,42,False,0.40476190476190477,-3.5568230851008575,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.2868757259001161,-3.5631481761093338,-0.6858639717102051,0.19047619047619047,0.526,2.169648713982257
SigmaDock,7O1T_5X8,40,True,0.725,-1.9580394737110087,0.275,1.0,1.0,0.725,0.49230769230769234,-1.9473098940574205,-0.9200085997581482,0.4,0.923,3.459107867159067
SigmaDock,7ODY_DGI,40,True,0.5,-2.2087015352140016,0.35,0.5,0.5,0.35,0.4217948717948718,-1.973610637203241,-0.46382924914360046,0.5,1.0,2.3603459285800463
SigmaDock,7OEO_V9Z,40,False,0.125,-20.043610745609417,0.075,0.15,0.15,0.275,0.035897435897435895,-4.733388877526307,-1.833741545677185,0.075,0.0,1.4590504789854526
SigmaDock,7OP9_06K,40,False,0.5,-3.0678945567467557,0.5,0.5,0.5,0.5,0.391025641025641,-1.9604503452968902,-0.12128147855401039,0.5,1.0,0.9654967295167278
