complex,seed,rmsd
5SAK_ZRY,0,0.2365
5SAK_ZRY,1,0.3735
5SAK_ZRY,10,0.4540
5SAK_ZRY,11,0.5377
5SAK_ZRY,12,0.4554
5SAK_ZRY,13,2.5417
5SAK_ZRY,14,0.4296
5SAK_ZRY,15,3.1424
5SAK_ZRY,16,6.4779
5SAK_ZRY,17,0.2266
5SAK_ZRY,18,6.6101
5SAK_ZRY,19,0.5638
5SAK_ZRY,2,0.9671
5SAK_ZRY,20,0.5090
5SAK_ZRY,21,2.6195
5SAK_ZRY,22,0.2589
5SAK_ZRY,23,0.3530
5SAK_ZRY,24,0.2746
5SAK_ZRY,25,0.4546
5SAK_ZRY,26,0.6784
5SAK_ZRY,27,0.6955
5SAK_ZRY,28,0.4093
5SAK_ZRY,29,7.0764
5SAK_ZRY,3,0.3641
5SAK_ZRY,30,0.4736
5SAK_ZRY,31,1.2880
5SAK_ZRY,32,0.6596
5SAK_ZRY,33,6.3521
5SAK_ZRY,34,0.6567
5SAK_ZRY,35,0.4203
5SAK_ZRY,36,0.5247
5SAK_ZRY,37,0.8534
5SAK_ZRY,38,0.3824
5SAK_ZRY,39,0.4146
5SAK_ZRY,4,0.7016
5SAK_ZRY,5,0.5520
5SAK_ZRY,6,0.9058
5SAK_ZRY,7,0.5971
5SAK_ZRY,8,0.3169
5SAK_ZRY,9,0.5146
5SB2_1K2,0,0.5753
5SB2_1K2,1,0.3600
5SB2_1K2,10,0.5706
5SB2_1K2,11,0.9202
5SB2_1K2,12,1.4344
5SB2_1K2,13,0.7832
5SB2_1K2,14,0.8208
5SB2_1K2,15,1.5221
5SB2_1K2,16,1.3806
5SB2_1K2,17,1.4469
5SB2_1K2,18,0.5662
5SB2_1K2,19,1.3621
5SB2_1K2,2,0.8224
5SB2_1K2,20,1.2401
5SB2_1K2,21,2.1426
5SB2_1K2,22,4.2122
5SB2_1K2,23,0.5347
5SB2_1K2,24,0.8003
5SB2_1K2,25,0.9306
5SB2_1K2,26,1.8940
5SB2_1K2,27,1.6487
5SB2_1K2,28,1.0553
5SB2_1K2,29,0.3817
5SB2_1K2,3,1.2825
5SB2_1K2,30,0.7011
5SB2_1K2,31,0.4433
5SB2_1K2,32,1.6093
5SB2_1K2,33,0.9036
5SB2_1K2,34,0.7553
5SB2_1K2,35,0.8760
5SB2_1K2,36,1.4435
5SB2_1K2,37,1.8058
5SB2_1K2,38,0.6906
5SB2_1K2,39,0.4017
5SB2_1K2,4,0.8553
5SB2_1K2,5,1.6478
5SB2_1K2,6,0.3628
5SB2_1K2,7,0.9741
5SB2_1K2,8,0.4837
5SB2_1K2,9,0.5247
5SD5_HWI,0,5.0954
5SD5_HWI,1,3.0507
5SD5_HWI,10,3.0079
5SD5_HWI,11,4.8172
5SD5_HWI,12,3.2593
5SD5_HWI,13,2.8235
5SD5_HWI,14,3.2293
5SD5_HWI,15,3.7859
5SD5_HWI,16,2.7572
5SD5_HWI,17,4.8998
5SD5_HWI,18,2.9595
5SD5_HWI,19,4.3731
5SD5_HWI,2,4.9530
5SD5_HWI,20,2.9822
5SD5_HWI,21,3.0627
5SD5_HWI,22,4.3700
5SD5_HWI,23,1.6245
5SD5_HWI,24,2.9905
5SD5_HWI,25,2.4571
5SD5_HWI,26,3.7833
5SD5_HWI,27,3.8920
5SD5_HWI,28,3.8827
5SD5_HWI,29,1.3188
5SD5_HWI,3,4.6650
5SD5_HWI,30,3.1525
5SD5_HWI,31,2.9084
5SD5_HWI,32,2.9037
5SD5_HWI,33,4.4343
5SD5_HWI,34,2.9952
5SD5_HWI,35,5.2104
5SD5_HWI,36,2.2433
5SD5_HWI,37,5.0663
5SD5_HWI,38,2.5664
5SD5_HWI,39,4.8514
5SD5_HWI,4,2.1658
5SD5_HWI,4,3.6195
5SD5_HWI,5,4.2657
5SD5_HWI,6,3.1583
5SD5_HWI,7,5.5752
5SD5_HWI,8,2.7177
5SD5_HWI,9,3.1821
5SIS_JSM,0,1.0816
5SIS_JSM,1,2.1017
5SIS_JSM,10,2.1009
5SIS_JSM,11,3.8383
5SIS_JSM,12,2.3229
5SIS_JSM,13,1.7725
5SIS_JSM,14,1.2573
5SIS_JSM,15,1.4931
5SIS_JSM,16,2.2306
5SIS_JSM,17,0.9346
5SIS_JSM,18,3.2674
5SIS_JSM,19,2.7619
5SIS_JSM,2,1.4453
5SIS_JSM,20,2.7434
5SIS_JSM,21,2.4779
5SIS_JSM,22,1.4231
5SIS_JSM,23,0.9041
5SIS_JSM,24,1.0439
5SIS_JSM,25,1.4002
5SIS_JSM,26,1.4169
5SIS_JSM,27,1.7124
5SIS_JSM,28,1.1498
5SIS_JSM,29,1.1132
5SIS_JSM,3,1.7049
5SIS_JSM,30,1.9500
5SIS_JSM,31,2.2022
5SIS_JSM,32,3.2498
5SIS_JSM,32,1.4753
5SIS_JSM,33,1.3548
5SIS_JSM,34,1.5037
5SIS_JSM,35,1.9138
5SIS_JSM,36,2.8668
5SIS_JSM,37,1.5768
