complex,fragments,state_dimension,atoms,torsions,sigmadock_rmsd_seed0,sigmadock_rmsd_best,sigmadock_success_2A_oracle,sigmaflow_rmsd_seed0,sigmaflow_rmsd_best,sigmaflow_success_2A_oracle
7U3J_L6U,11,66,38,17,5.980,3.756,0,7.930,3.084,0
8DP2_UMA,11,66,49,17,6.730,3.637,0,9.670,5.075,0
8EAB_VN2,10,60,49,12,4.965,3.709,0,4.697,2.973,0
7EPV_FDA,9,54,53,13,8.246,5.551,0,13.779,5.158,0
7F8T_FAD,9,54,53,13,4.993,3.005,0,5.941,5.063,0
7MMH_ZJY,9,54,57,13,10.849,6.128,0,9.610,6.000,0
7RUI_7QZ,9,54,51,12,6.661,3.894,0,4.556,4.556,0
8C5D_GTB,9,54,30,15,7.981,2.070,0,7.259,4.180,0
6VTA_AKN,8,48,40,11,5.736,3.512,0,8.222,4.147,0
6YRV_PJ8,8,48,17,14,4.165,3.014,0,4.126,2.382,0
7JGW_V9S,8,48,45,12,6.513,5.530,0,9.232,4.065,0
7MFP_Z7P,8,48,50,13,8.774,5.034,0,5.639,2.669,0
7NR8_UOE,8,48,45,10,9.959,6.845,0,8.626,5.560,0
7OCB_V88,8,48,41,13,5.001,4.118,0,10.292,3.068,0
7OEO_V9Z,8,48,32,10,5.805,3.251,0,6.487,3.070,0
7OMX_CNA,8,48,44,11,3.222,3.217,0,9.840,2.646,0
7REE_4LY,8,48,42,8,9.346,3.926,0,10.839,4.320,0
7RH3_59O,8,48,34,9,6.114,4.592,0,6.069,3.386,0
7SNE_9XR,8,48,45,12,8.902,2.197,0,5.963,4.013,0
7UTW_NAI,8,48,44,11,1.867,1.867,1,10.355,6.405,0
7VWF_K55,8,48,33,13,8.289,3.285,0,6.228,4.507,0
8AEU_M0L,8,48,41,8,7.363,3.244,0,6.306,5.163,0
8DHG_T78,8,48,35,9,7.740,2.920,0,6.945,2.764,0
5SD5_HWI,7,42,29,9,6.472,4.319,0,5.594,2.665,0
5SIS_JSM,7,42,32,9,3.272,2.608,0,2.630,2.626,0
7L5F_XNG,7,42,18,13,7.908,1.660,1,7.083,2.909,0
7NA4_1I9,7,42,38,8,7.673,4.488,0,7.281,4.842,0
7OFK_VCH,7,42,35,8,7.277,2.822,0,8.778,3.810,0
7T9O_GEI,7,42,41,10,6.610,5.736,0,7.652,6.515,0
7TB0_UD1,7,42,39,11,4.233,2.736,0,7.759,4.029,0
7TH4_FFO,7,42,34,11,6.101,3.429,0,9.688,2.005,0
7U0U_FK5,7,42,57,7,7.648,2.941,0,7.577,5.872,0
7UAS_MBU,7,42,40,8,6.165,3.751,0,5.104,3.242,0
7WPW_F15,7,42,17,13,5.066,1.649,1,3.977,2.076,0
7XFA_D9J,7,42,41,6,5.031,3.211,0,9.265,3.548,0
7XIJ_EJ3,7,42,33,7,5.264,3.406,0,3.983,3.168,0
8A2D_KXY,7,42,49,9,4.610,3.405,0,9.765,7.133,0
8D5D_5DK,7,42,27,11,6.445,4.514,0,8.367,2.085,0
8EAD_UY0,7,42,38,11,6.386,3.359,0,7.259,3.752,0
6YDY_K73,6,36,28,9,2.970,1.662,1,6.499,2.845,0
6ZCY_QF8,6,36,33,7,2.903,2.903,0,5.043,1.473,1
7AVI_S2Q,6,36,27,6,4.161,3.812,0,4.175,4.175,0
7BJ6_TVK,6,36,37,8,2.739,2.341,0,7.511,4.182,0
7M6K_YRJ,6,36,33,10,8.496,1.570,1,7.973,3.807,0
7MS7_ZQ1,6,36,29,7,5.556,3.298,0,6.511,2.212,0
7MYU_ZR7,6,36,35,6,4.634,2.529,0,3.751,1.717,1
7NTG_F6R,6,36,16,7,2.248,1.249,1,4.575,2.090,0
7P2W_4QR,6,36,34,8,8.153,3.119,0,7.081,3.021,0
7R3D_APR,6,36,36,9,2.676,2.104,0,4.776,2.474,0
7UEY_N0R,6,36,27,7,7.916,6.431,0,11.529,4.863,0
7V14_ORU,6,36,35,7,4.112,4.112,0,8.875,3.739,0
7W6F_8I6,6,36,20,9,3.260,1.780,1,9.906,2.823,0
7WQQ_5Z6,6,36,27,6,7.833,1.187,1,2.338,1.297,1
8C7Y_TXV,6,36,34,6,2.655,1.758,1,3.566,2.006,0
8DZT_G4P,6,36,36,10,8.473,2.264,0,6.488,1.914,1
8EYE_X4I,6,36,33,9,7.880,3.239,0,2.545,2.545,0
8HFN_XGC,6,36,24,7,5.138,3.171,0,5.332,3.102,0
6TW5_9M2,5,30,31,7,4.879,3.145,0,3.596,3.302,0
6XG5_TOP,5,30,21,5,6.059,2.187,0,5.111,2.816,0
6XUM_30L,5,30,25,8,7.912,3.592,0,6.662,3.865,0
6Y7L_QMG,5,30,25,5,3.712,2.378,0,3.526,3.526,0
7AMC_73B,5,30,31,5,6.641,1.775,1,3.790,3.243,0
7CIJ_G0C,5,30,21,8,5.160,1.310,1,5.704,2.658,0
7EN7_J79,5,30,24,8,2.941,2.941,0,5.571,3.427,0
7FRX_O88,5,30,30,6,10.016,2.944,0,7.922,1.668,1
