complex,arm,wahl_im_groessten,wahl_modusgroesse,groesster_anteil,wahl_trifft,n_moden
5SAK_ZRY,SigmaDock,True,0.75,0.75,True,3
5SAK_ZRY,Minimal,True,0.8,0.8,True,7
5SAK_ZRY,Separate,True,0.825,0.825,True,5
5SB2_1K2,SigmaDock,True,1.0,1.0,True,1
5SB2_1K2,Minimal,True,1.0,1.0,True,1
5SB2_1K2,Separate,True,0.95,0.95,True,3
5SD5_HWI,SigmaDock,False,0.3,0.525,False,7
5SD5_HWI,Minimal,False,0.075,0.125,False,22
5SD5_HWI,Separate,False,0.024390243902439025,0.17073170731707318,False,22
5SIS_JSM,SigmaDock,True,0.95,0.95,True,3
5SIS_JSM,Minimal,True,0.4,0.4,True,12
5SIS_JSM,Separate,True,0.5365853658536586,0.5365853658536586,True,13
6M2B_EZO,SigmaDock,True,0.975609756097561,0.975609756097561,False,2
6M2B_EZO,Minimal,False,0.14634146341463414,0.2682926829268293,False,14
6M2B_EZO,Separate,True,0.2682926829268293,0.2682926829268293,True,7
6M73_FNR,SigmaDock,True,0.725,0.725,True,4
6M73_FNR,Minimal,True,0.7,0.7,True,6
6M73_FNR,Separate,True,0.55,0.55,True,7
6T88_MWQ,SigmaDock,True,0.825,0.825,True,3
6T88_MWQ,Minimal,True,0.875,0.875,True,3
6T88_MWQ,Separate,True,0.975,0.975,True,2
6TW5_9M2,SigmaDock,False,0.1,0.25,True,11
6TW5_9M2,Minimal,False,0.05,0.15,True,20
6TW5_9M2,Separate,False,0.15,0.175,False,18
6TW7_NZB,SigmaDock,False,0.3,0.325,False,12
6TW7_NZB,Minimal,False,0.1,0.275,True,14
6TW7_NZB,Separate,True,0.4,0.4,True,11
6VTA_AKN,SigmaDock,False,0.025,0.05,False,39
6VTA_AKN,Minimal,False,0.025,0.025,False,40
6VTA_AKN,Separate,False,0.025,0.025,False,40
6WTN_RXT,SigmaDock,True,0.95,0.95,True,2
6WTN_RXT,Minimal,False,0.3,0.375,True,5
6WTN_RXT,Separate,False,0.375,0.4,False,5
6XBO_5MC,SigmaDock,True,0.95,0.95,True,3
6XBO_5MC,Minimal,True,0.65,0.65,True,4
6XBO_5MC,Separate,True,0.6,0.6,True,4
6XCT_478,SigmaDock,False,0.175,0.325,False,13
6XCT_478,Minimal,False,0.175,0.375,True,15
6XCT_478,Separate,False,0.175,0.3,True,14
6XG5_TOP,SigmaDock,False,0.35,0.6,True,4
6XG5_TOP,Minimal,True,0.45,0.45,True,6
