arm,complex,n,trifft,konz_avg,neg_eff_moden,konz_complete,konz_single,konz_dbscan,konz_hdbscan,p_agree,neg_mittel_rmsd,neg_nn_median,lokal_dichte,stabil_halb,z_marge
SigmaDock,6TW5_9M2,40,True,0.25,-8.106615664824663,0.25,0.25,0.25,0.15,0.13076923076923078,-4.939453531152163,-0.8135786056518555,0.1,0.14,2.217234445522879
SigmaDock,6TW7_NZB,40,False,0.325,-6.698306704841966,0.325,0.35,0.35,0.35,0.1987179487179487,-4.398124579168283,-0.8018888235092163,0.3,0.0,0.850490831984934
SigmaDock,6VTA_AKN,40,False,0.05,-38.637453156993885,0.05,0.05,0.025,0.375,0.001282051282051282,-6.906450578188285,-3.129986882209778,0.025,0.0,1.0057027664946119
SigmaDock,6WTN_RXT,40,True,1.0,-1.0,0.95,1.0,1.0,0.425,0.9602564102564103,-0.6817547190647859,-0.2190037965774536,0.975,1.0,1.430275122386885
SigmaDock,6Z4N_Q7B,40,False,0.375,-6.157062323136433,0.2,0.375,0.375,0.4,0.18974358974358974,-3.5461427743236222,-0.767228752374649,0.15,0.15,1.6709629574737785
SigmaDock,6ZPB_3D1,40,False,0.45,-2.6722391469741877,0.275,0.55,0.55,0.425,0.3243589743589744,-2.0856341941234393,-0.6625361442565918,0.325,0.666,1.9015586736709091
SigmaDock,7B2C_TP7,41,True,0.7073170731707317,-2.160241704129786,0.3170731707317073,0.7073170731707317,0.7073170731707317,0.6341463414634146,0.45121951219512196,-2.1718788911656635,-0.8267734050750732,0.5121951219512195,0.971,2.6680867782158275
SigmaDock,7BTT_F8R,40,True,0.35,-9.732006673049918,0.35,0.375,0.375,0.35,0.14871794871794872,-4.294480703389033,-1.0344420969486237,0.35,0.985,1.3672891172897996
SigmaDock,7C3U_AZG,41,False,0.5609756097560976,-3.341088419947457,0.5609756097560976,0.7317073170731707,0.7317073170731707,0.5609756097560976,0.4402439024390244,-1.9137424186598964,-0.21438686549663544,0.07317073170731707,0.471,1.5856789143480248
SigmaDock,7C8Q_DSG,40,True,0.525,-1.9975005204422753,0.325,0.525,0.525,0.525,0.4794871794871795,-2.6987003890367656,-0.6224947273731232,0.475,0.721,2.8571821515655373
SigmaDock,7CD9_FVR,40,False,0.275,-12.299982857453413,0.225,0.275,0.275,0.9,0.1064102564102564,-4.76433663895497,-1.2432371973991394,0.1,0.266,2.3260188323868576
SigmaDock,7CIJ_G0C,40,True,0.575,-1.97754189985451,0.45,0.575,0.575,0.575,0.48846153846153845,-3.3865830338536163,-0.5490381717681885,0.425,0.99,2.2983109293466395
SigmaDock,7D5C_GV6,40,True,0.875,-1.551652456782203,0.85,1.0,1.0,0.85,0.8871794871794871,-1.4016597877710293,-0.7375205159187317,0.95,1.0,3.712955696335319
SigmaDock,7DQL_4CL,40,False,0.575,-2.306645017667931,0.575,0.575,0.575,0.275,0.46025641025641023,-1.4574799140867514,-0.08439642190933228,0.575,0.568,2.8945960027357067
SigmaDock,7ES1_UDP,40,True,0.875,-1.551652456782203,0.875,0.975,0.975,0.525,0.8538461538461538,-1.1547843055274243,-0.36380255222320557,0.9,1.0,1.4803278495091379
SigmaDock,7F8T_FAD,40,False,0.075,-26.965743500627134,0.075,0.1,0.1,0.7,0.016666666666666666,-5.0024882302834435,-1.959690511226654,0.025,0.0,1.588688817115612
SigmaDock,7JG0_GAR,40,True,0.95,-1.2625993881725737,0.525,0.975,0.975,0.275,0.7717948717948718,-1.589824196199576,-0.5667136907577515,0.875,1.0,1.6996437129003954
SigmaDock,7JMV_4NC,40,True,0.375,-3.5957295452565154,0.375,0.725,0.725,0.375,0.41794871794871796,-2.4937817267213878,-0.21736569702625275,0.5,0.997,1.6231206341011084
SigmaDock,7JY3_VUD,40,False,0.2,-9.327741347892127,0.2,0.3,0.3,0.3,0.12435897435897436,-3.63644240796566,-0.7272735834121704,0.2,0.177,1.2353966116435238
