arm,complex,n,moden,moden_echt,gross,eff_moden,p_agree,dmax_intra,hat_korrekte,n_korrekt,gross_richtig,wahl_gross,wahl_anteil,trifft
SigmaDock,1G9V_RQ3,40,12,10,0.225,9.794141965568846,0.258974358974359,1.9902853965759277,True,21,True,False,0.1,False
SigmaDock,1GKC_NFH,40,14,12,0.2,11.783489828243647,0.1423076923076923,1.9628098011016846,True,1,False,False,0.075,False
SigmaDock,1GM8_SOX,40,6,5,0.575,3.6887591519604883,0.5871794871794872,1.9471027851104736,True,29,True,True,0.575,True
SigmaDock,1GPK_HUP,40,2,2,0.8,1.6493848884661177,0.6717948717948717,1.2790236473083496,True,2,False,True,0.8,False
SigmaDock,1HNN_SKF,40,2,2,0.95,1.2195906179141718,0.9384615384615385,1.4405323266983032,True,33,True,True,0.95,True
SigmaDock,1HP0_AD3,40,2,2,0.825,1.589987953549394,0.7987179487179488,1.6928263902664185,True,7,False,True,0.825,False
SigmaDock,1HQ2_PH2,40,3,3,0.85,1.67897957501336,0.7282051282051282,1.1601399183273315,True,9,False,True,0.85,True
SigmaDock,1HVY_D16,40,14,12,0.15,12.44354932786705,0.19615384615384615,1.817538857460022,True,5,False,False,0.05,False
SigmaDock,1HWI_115,40,7,5,0.7,3.0716956423922173,0.5166666666666667,1.9270358085632324,True,5,False,True,0.7,True
SigmaDock,1HWW_SWA,40,2,2,0.875,1.4575692649810903,0.7756410256410257,1.7153922319412231,False,0,False,True,0.875,False
SigmaDock,1IA1_TQ3,40,2,2,0.85,1.5260902731141495,0.7384615384615385,1.770204782485962,True,34,True,True,0.85,True
SigmaDock,1IG3_VIB,40,10,9,0.2,8.858639408521245,0.2064102564102564,1.909991979598999,True,6,False,False,0.125,True
SigmaDock,1J3J_CP6,40,3,2,0.875,1.551652456782203,0.7717948717948718,1.675859808921814,True,35,True,True,0.875,True
SigmaDock,1JD0_AZM,40,1,1,1.0,1.0,1.0,1.1791008710861206,True,39,True,True,1.0,True
SigmaDock,1JJE_BYS,40,7,4,0.6,3.487222474898754,0.45384615384615384,1.978084683418274,True,12,False,True,0.6,True
SigmaDock,1JLA_TNK,40,4,3,0.45,3.015993868832357,0.691025641025641,1.8568674325942993,True,29,True,True,0.45,True
SigmaDock,1K3U_IAD,40,7,7,0.375,5.217836351823576,0.5282051282051282,1.9152944087982178,True,1,False,True,0.375,True
SigmaDock,1KE5_LS1,40,1,1,1.0,1.0,1.0,1.7643417119979858,True,37,True,True,1.0,True
SigmaDock,1KZK_JE2,40,11,7,0.3,7.924281031564804,0.25769230769230766,1.7193107604980469,False,0,False,False,0.175,False
SigmaDock,1L2S_STC,40,5,4,0.45,3.196713956135686,0.8435897435897436,1.7380521297454834,True,1,False,True,0.45,True
SigmaDock,1L7F_BCZ,40,6,3,0.525,3.236526579802617,0.7051282051282052,1.7561954259872437,True,18,True,True,0.525,True
SigmaDock,1LPZ_CMB,40,17,8,0.25,11.492126580736825,0.23205128205128206,1.9025020599365234,True,2,False,True,0.25,True
SigmaDock,1LRH_NLA,40,2,2,0.9,1.384145488461686,0.8153846153846154,1.4887590408325195,True,35,True,True,0.9,True
SigmaDock,1M2Z_DEX,40,3,2,0.75,1.9033317211476086,0.632051282051282,1.7202774286270142,True,28,True,True,0.75,True
SigmaDock,1MEH_MOA,40,22,10,0.15,18.3338687402128,0.06025641025641026,1.8642632961273193,False,0,False,False,0.05,False
SigmaDock,1MMV_3AR,40,6,6,0.425,4.519894117595608,0.7743589743589744,1.9884817600250244,True,3,False,False,0.075,False
SigmaDock,1MZC_BNE,40,33,7,0.05,31.383363915870042,0.011538461538461539,1.8389850854873657,False,0,False,False,0.05,False
SigmaDock,1N1M_A3M,40,5,5,0.475,3.9344913567571043,0.5846153846153846,1.852873682975769,True,10,False,False,0.2,True
SigmaDock,1N2J_PAF,40,7,5,0.425,4.504987996610771,0.7807692307692308,1.855970025062561,True,28,True,True,0.425,True
SigmaDock,1N2V_BDI,40,2,2,0.55,1.9900083082219462,0.49230769230769234,1.1119366884231567,True,35,True,True,0.55,True
SigmaDock,1N46_PFA,40,3,3,0.55,2.3282414889191574,0.8756410256410256,1.8832930326461792,True,1,False,False,0.05,True
SigmaDock,1NAV_IH5,40,3,2,0.6,2.152281259368073,0.6025641025641025,1.9304840564727783,True,38,True,True,0.6,True
SigmaDock,1OF1_SCT,40,2,2,0.925,1.305236777831472,0.8576923076923076,1.9964003562927246,True,30,True,True,0.925,True
SigmaDock,1OF6_DTY,40,1,1,1.0,1.0,1.0,1.9307503700256348,True,18,False,True,1.0,True
SigmaDock,1OPK_P16,40,4,4,0.475,3.00857131065362,0.7038461538461539,1.5669251680374146,True,34,True,False,0.375,True
SigmaDock,1OQ5_CEL,40,3,2,0.525,2.2030392477543637,0.4846153846153846,1.6390589475631714,True,18,False,True,0.525,False
SigmaDock,1OWE_675,40,2,2,0.8,1.6493848884661177,0.9012820512820513,1.722083330154419,True,40,True,True,0.8,True
SigmaDock,1OYT_FSN,40,2,2,0.95,1.2195906179141718,0.9487179487179487,1.804979920387268,True,27,True,True,0.95,True
SigmaDock,1P2Y_NCT,40,9,9,0.2,8.24513089439544,0.2358974358974359,1.978064775466919,True,2,False,False,0.175,False
SigmaDock,1P62_GEO,40,3,2,0.925,1.36905815578532,0.941025641025641,1.6039481163024902,False,0,False,True,0.925,False
SigmaDock,1PMN_984,40,4,3,0.875,1.6630199262584078,0.7653846153846153,1.9599840641021729,True,35,True,True,0.875,True
SigmaDock,1Q1G_MTI,40,1,1,1.0,1.0,1.0,1.7803678512573242,True,37,True,True,1.0,True
SigmaDock,1Q41_IXM,40,5,3,0.75,2.3499775082738052,0.5756410256410256,1.181739091873169,True,30,True,True,0.75,True
