complex,arm,n,moden,gross_anteil,hat_korrekte,n_korrekt,gross_richtig,wahl_gross,trifft
1G9V_RQ3,SigmaDock,40,9,0.325,True,21,True,False,False
1GKC_NFH,SigmaDock,40,11,0.2,True,1,False,False,False
1GM8_SOX,SigmaDock,40,3,0.725,True,29,True,True,True
1GPK_HUP,SigmaDock,40,2,0.8,True,2,False,True,False
1HNN_SKF,SigmaDock,40,2,0.95,True,33,True,True,True
1HP0_AD3,SigmaDock,40,2,0.825,True,7,False,True,False
1HQ2_PH2,SigmaDock,40,3,0.85,True,9,False,True,True
1HVY_D16,SigmaDock,40,9,0.225,True,5,False,False,False
1HWI_115,SigmaDock,40,6,0.75,True,5,False,True,True
1HWW_SWA,SigmaDock,40,2,0.875,False,0,False,True,False
1IA1_TQ3,SigmaDock,40,2,0.85,True,34,True,True,True
1IG3_VIB,SigmaDock,40,8,0.25,True,6,False,False,True
1J3J_CP6,SigmaDock,40,3,0.875,True,35,True,True,True
1JD0_AZM,SigmaDock,40,1,1.0,True,39,True,True,True
1JJE_BYS,SigmaDock,40,6,0.6,True,12,False,True,True
1JLA_TNK,SigmaDock,40,3,0.825,True,29,True,True,True
1K3U_IAD,SigmaDock,40,4,0.45,True,1,False,False,True
1KE5_LS1,SigmaDock,40,1,1.0,True,37,True,True,True
1KZK_JE2,SigmaDock,40,8,0.475,False,0,False,True,False
1L2S_STC,SigmaDock,40,3,0.925,True,1,False,True,True
1L7F_BCZ,SigmaDock,40,5,0.85,True,18,True,True,True
1LPZ_CMB,SigmaDock,40,15,0.525,True,2,False,True,True
1LRH_NLA,SigmaDock,40,2,0.9,True,35,True,True,True
1M2Z_DEX,SigmaDock,40,2,0.775,True,28,True,True,True
1MEH_MOA,SigmaDock,40,20,0.15,False,0,False,False,False
1MMV_3AR,SigmaDock,40,3,0.9,True,3,False,False,False
1MZC_BNE,SigmaDock,40,32,0.075,False,0,False,False,False
1N1M_A3M,SigmaDock,40,2,0.8,True,10,False,True,True
1N2J_PAF,SigmaDock,40,4,0.9,True,28,True,True,True
1N2V_BDI,SigmaDock,40,2,0.55,True,35,True,True,True
1N46_PFA,SigmaDock,40,1,1.0,True,1,False,True,True
1NAV_IH5,SigmaDock,40,2,0.625,True,38,True,True,True
1OF1_SCT,SigmaDock,40,2,0.925,True,30,True,True,True
1OF6_DTY,SigmaDock,40,1,1.0,True,18,False,True,True
1OPK_P16,SigmaDock,40,3,0.85,True,34,True,True,True
1OQ5_CEL,SigmaDock,40,2,0.55,True,18,False,True,False
1OWE_675,SigmaDock,40,1,1.0,True,40,True,True,True
1OYT_FSN,SigmaDock,40,2,0.95,True,27,True,True,True
1P2Y_NCT,SigmaDock,40,5,0.3,True,2,False,False,False
1P62_GEO,SigmaDock,40,2,0.975,False,0,False,True,False
1PMN_984,SigmaDock,40,4,0.875,True,35,True,True,True
1Q1G_MTI,SigmaDock,40,1,1.0,True,37,True,True,True
1Q41_IXM,SigmaDock,40,5,0.75,True,30,True,True,True
1Q4G_BFL,SigmaDock,40,2,0.975,False,0,False,True,False
1R1H_BIR,SigmaDock,40,2,0.9,True,8,False,True,True
1R55_097,SigmaDock,40,4,0.575,True,10,False,True,True
1R58_AO5,SigmaDock,40,8,0.45,True,7,False,True,True
1R9O_FLP,SigmaDock,40,1,1.0,True,14,False,True,True
1S19_MC9,SigmaDock,40,2,0.725,False,0,False,True,False
1S3V_TQD,SigmaDock,40,6,0.3,True,11,True,True,True
1SG0_STL,SigmaDock,40,4,0.3,True,4,False,False,False
1SJ0_E4D,SigmaDock,40,2,0.975,True,8,False,True,True
1SQ5_PAU,SigmaDock,40,8,0.4,True,4,False,True,False
1SQN_NDR,SigmaDock,40,2,0.85,True,3,False,True,True
1T40_ID5,SigmaDock,40,3,0.525,True,2,False,False,True
1T46_STI,SigmaDock,40,1,1.0,True,5,False,True,True
1T9B_1CS,SigmaDock,40,6,0.375,True,7,False,False,True
1TOW_CRZ,SigmaDock,40,3,0.5,True,38,True,False,True
1TT1_KAI,SigmaDock,40,2,0.95,True,33,True,True,True
1TZ8_DES,SigmaDock,40,9,0.25,True,5,False,False,False
1U1C_BAU,SigmaDock,40,8,0.5,True,19,True,True,True
1U4D_DBQ,SigmaDock,40,5,0.525,True,10,False,False,True
1UML_FR4,SigmaDock,40,2,0.925,True,19,True,True,True
1UNL_RRC,SigmaDock,40,2,0.875,True,2,False,True,True
1UOU_CMU,SigmaDock,40,3,0.525,True,18,False,False,True
1V0P_PVB,SigmaDock,40,9,0.75,True,4,False,True,True
1V48_HA1,SigmaDock,40,2,0.9,True,21,True,True,True
1V4S_MRK,SigmaDock,40,3,0.875,True,32,True,True,True
1VCJ_IBA,SigmaDock,40,3,0.375,True,4,False,True,True
1W1P_GIO,SigmaDock,40,2,0.6,True,13,False,True,False
1W2G_THM,SigmaDock,40,2,0.975,True,14,False,True,True
1X8X_TYR,SigmaDock,40,1,1.0,True,40,True,True,True
1XM6_5RM,SigmaDock,40,2,0.975,True,30,True,True,True
1XOQ_ROF,SigmaDock,40,11,0.375,True,10,True,True,True
1XOZ_CIA,SigmaDock,40,5,0.45,True,14,False,False,True
1Y6B_AAX,SigmaDock,40,12,0.475,True,14,True,True,True
1YGC_905,SigmaDock,40,17,0.2,False,0,False,True,False
1YQY_915,SigmaDock,40,1,1.0,True,5,False,True,True
1YV3_BIT,SigmaDock,40,1,1.0,False,0,False,True,False
1YVF_PH7,SigmaDock,40,2,0.925,True,30,True,True,True
1YWR_LI9,SigmaDock,40,4,0.8,True,1,False,True,True
1Z95_198,SigmaDock,40,3,0.6,True,19,True,True,True
2BM2_PM2,SigmaDock,40,6,0.325,True,3,False,True,False
2BR1_PFP,SigmaDock,40,2,0.7,True,28,True,True,True
2BSM_BSM,SigmaDock,40,3,0.8,True,30,True,True,True
1G9V_RQ3,Minimal,40,15,0.15,True,14,False,False,True
1GKC_NFH,Minimal,40,14,0.625,True,4,False,True,True
1GM8_SOX,Minimal,40,7,0.275,True,8,False,False,True
1GPK_HUP,Minimal,40,5,0.6,True,6,False,True,False
1HNN_SKF,Minimal,40,4,0.575,True,18,True,True,True
1HP0_AD3,Minimal,40,3,0.65,True,8,False,True,False
1HQ2_PH2,Minimal,40,5,0.675,True,6,False,True,True
1HVY_D16,Minimal,40,17,0.2,True,1,False,False,True
1HWI_115,Minimal,40,5,0.9,True,2,False,True,True
1HWW_SWA,Minimal,40,2,0.725,True,2,False,True,True
1IA1_TQ3,Minimal,40,3,0.7,True,22,True,True,True
1IG3_VIB,Minimal,40,8,0.275,True,6,False,True,True
1J3J_CP6,Minimal,40,4,0.625,True,20,True,True,True
1JD0_AZM,Minimal,40,2,0.975,True,28,True,True,True
1JJE_BYS,Minimal,40,6,0.65,True,10,False,True,True
1JLA_TNK,Minimal,40,13,0.4,True,9,True,True,True
1K3U_IAD,Minimal,40,4,0.625,False,0,False,False,False
1KE5_LS1,Minimal,40,5,0.825,True,25,True,True,True
1KZK_JE2,Minimal,40,18,0.225,True,4,False,True,True
1L2S_STC,Minimal,40,10,0.325,True,1,False,False,True
1L7F_BCZ,Minimal,40,10,0.75,True,5,False,True,True
1LPZ_CMB,Minimal,40,23,0.15,False,0,False,False,False
1LRH_NLA,Minimal,40,5,0.425,True,14,False,False,True
1M2Z_DEX,Minimal,40,5,0.575,True,16,True,True,True
1MEH_MOA,Minimal,40,13,0.2,True,5,False,True,True
1MMV_3AR,Minimal,40,10,0.675,True,2,False,True,False
1MZC_BNE,Minimal,40,39,0.05,False,0,False,False,False
1N1M_A3M,Minimal,40,1,1.0,True,6,False,True,True
1N2J_PAF,Minimal,40,7,0.55,True,20,True,True,True
1N2V_BDI,Minimal,40,2,0.625,True,34,True,True,True
1N46_PFA,Minimal,40,2,0.5,True,11,False,True,True
1NAV_IH5,Minimal,40,6,0.5,True,27,True,True,True
1OF1_SCT,Minimal,40,4,0.7,True,17,True,True,True
1OF6_DTY,Minimal,40,1,1.0,True,18,False,True,True
1OPK_P16,Minimal,40,4,0.525,True,19,True,True,True
1OQ5_CEL,Minimal,40,5,0.55,True,17,True,False,True
1OWE_675,Minimal,40,3,0.575,True,24,True,True,True
1OYT_FSN,Minimal,40,2,0.975,True,20,True,True,True
1P2Y_NCT,Minimal,40,11,0.275,True,7,False,True,False
1P62_GEO,Minimal,40,9,0.325,True,4,False,True,True
